"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","f37228f5dba3",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201135111/vertx-web-kotlinx-postgresql/db/stats.txt",,,,"Date:","01 Feb 2026 13:54:21 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769954061.289,0.116,0.104,99.654,0.126,0,460.408,0,243.235,0,4555.329,0,2608.389,0,130635.192,1381880.490,107700.589,1141863.341,195.190,4.255,4.432,0,5233.620,3705485.577,3444.463,2500776.253,144480.324,1442622.635,49.640,0,0,0,0,0,3322740736,24654962688,38332624896,63451197440,514.410,747.276,1,17,1.803,2.410,1.970,0.880,0.019,0.982,2.410,1.970,0.880,3322707968,24654962688,38332657664,63451254784,1,17,1.803,0.005,0,0.002,0,0.015,0,0.009,0,0.645,1.321,0.937,0.862,0.001,0.000,0.000,0,0.018,0.432,0.021,0.368,0.415,1.864,0.002,0,0,2528,150687,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0.177,287.800,710.105,840.486,0.000,0.000,0.000,0.000,0.250,0.228,0.000,0,0.009,0.077,0.025,0.000
1769954062.289,35.852,16.964,10.646,36.538,0,0,0,0,0,0,0,0,0,0,6848512,0,4980736,0,0,0,0,0,0,0,103940096,0,1212416,0,0,672,0,0,0,3405279232,24571691008,38333329408,63368761344,130712,264716,8,12,120,2.410,1.970,0.880,0,2,2.410,1.970,0.880,3405279232,24571691008,38333329408,63368761344,8,13,120,0,0,0,0,0,0,0,0,0,84,0,54,0,0,0,0,0,0,0,115,0,20,0,0,0,2560,151015,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,11541,35922,17665,0,0,0,0,0.600,0.800,0,0,0,3.700,0,0
1769954063.289,31.930,18.807,13.544,35.719,0,0,0,0,0,0,0,0,0,0,131072,0,32768,0,0,0,0,0,32768,0,0,0,98304,0,0,336,0,0,0,3440226304,24536645632,38333423616,63334031360,167231,326910,10,11,12,2.780,2.050,0.910,0,0,2.780,2.050,0.910,3440226304,24536645632,38333423616,63334031360,8,11,12,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,2560,151022,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,2646,11280,8394,0,0,0,0,0.100,0.100,0,0,0,0,0,0
1769954064.289,32.514,18.610,13.343,35.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,336,0,0,0,3453550592,24523292672,38333452288,63320707072,165276,325407,7,14,4,2.780,2.050,0.910,0,2,2.780,2.050,0.910,3453550592,24523292672,38333452288,63320707072,8,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2592,151027,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,772,7344,6798,0,0,0,0,0,0,0,0,0,0,0,0
1769954065.289,33.029,17.920,13.001,36.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,3448958976,24527876096,38333460480,63325306880,166958,326352,8,11,8,2.780,2.050,0.910,0,0,2.780,2.050,0.910,3448958976,24527876096,38333460480,63325306880,8,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2592,151027,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,4134,3733,10712,0,0,0,0,0,0,0,0,0,0,0,0
1769954066.289,31.955,18.220,14.085,35.739,0,0,0,0,0,0,0,0,0,0,327680,0,0,0,0,0,0,0,0,0,720896,0,0,0,0,0,0,0,0,3414618112,24562204672,38333468672,63359664128,167738,328349,7,10,1,2.780,2.050,0.910,0,2,2.780,2.050,0.910,3414618112,24562204672,38333468672,63359664128,8,10,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2528,150781,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,139,276,1002,0,0,0,0,0,0,0,0,0,0.300,0,0
1769954067.289,6.487,4.689,26.333,62.492,0,0,0,0,0,0,0,0,0,0,884736,0,2588672,0,0,0,0,0,0,0,0,0,720896,0,0,0,0,0,0,3422334976,24554491904,38333460480,63351984128,39977,75206,1,17,52,2.780,2.050,0.910,0,0,2.780,2.050,0.910,3422334976,24554491904,38333460480,63351984128,1,17,52,0,0,0,0,0,0,0,0,0,6,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,2496,150876,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,8959,14244,10816,0,0,0,0,0.200,0.200,0,0,0,0,0.100,0
1769954068.289,1.005,1.382,4.962,92.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441180672,24535408640,38333644800,63333130240,7485,9998,0,17,79,2.630,2.040,0.910,0,2,2.630,2.040,0.910,3441180672,24535408640,38333644800,63333130240,0,17,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2464,150771,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,11433,30164,34037,0,0,0,0,0,0,0,0,0,0,0,0
1769954069.289,1.753,1.816,0,96.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20185088,0,0,0,0,0,0,3438637056,24537944064,38333652992,63335669760,3579,4381,0,17,31,2.630,2.040,0.910,0,0,2.630,2.040,0.910,3438637056,24537944064,38333652992,63335669760,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,2496,150783,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,5303,4229,4282,0,0,0,0,0,0,0,0,0,0,0.700,0
