"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","f37228f5dba3",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201135111/vertx-web-kotlinx-postgresql/fortune/stats.txt",,,,"Date:","01 Feb 2026 14:00:26 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769954426.660,0.539,0.298,98.906,0.257,0,456.796,0,241.326,0,4519.592,0,2587.926,0,129610.357,1720508.998,106868.341,1478410.140,193.659,4.221,4.397,0,5192.562,3676508.171,3417.441,2660553.862,143427.785,1434819.604,49.250,0,0,0,0,0,3994267648,21553045504,40716328960,62792507392,785.432,1764.641,1,17,1.977,24.010,18.030,8.650,0.019,0.982,24.010,18.030,8.650,3994267648,21553045504,40716328960,62792507392,1,17,1.977,0.005,0,0.002,0,0.015,0,0.009,0,0.640,1.476,0.929,0.974,0.001,0.000,0.000,0,0.018,0.431,0.021,0.411,0.412,1.883,0.002,0,0,2496,150504,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0.176,319.118,845.399,958.560,0.000,0.000,0.000,0.000,0.310,0.294,0.000,0,0.009,0.084,0.025,0.000
1769954427.660,32.739,16.541,15.374,35.347,0,0,0,0,0,0,0,0,0,0,5832704,0,3964928,0,0,0,0,0,0,0,0,0,884736,0,0,672,0,0,0,4032307200,21514145792,40717156352,62754725888,133717,261725,8,11,128,24.010,18.030,8.650,0,0,24.010,18.030,8.650,4032307200,21514145792,40717156352,62754725888,8,11,128,0,0,0,0,0,0,0,0,0,80,0,55,0,0,0,0,0,0,0,0,0,4,0,0,0,2496,150967,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,18949,26496,19857,0,0,0,0,0.800,1,0,0,0,0,0.100,0
1769954428.660,32.938,18.004,14.306,34.752,0,0,0,0,0,0,0,0,0,0,0,0,983040,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,3993436160,21553012736,40717160448,62793650176,159527,310910,7,13,7,22.800,17.880,8.650,0,2,22.800,17.880,8.650,3993436160,21553012736,40717160448,62793650176,8,14,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2528,151011,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,2634,10331,13912,0,0,0,0,0,0,0,0,0,0.200,0,0
1769954429.660,33.821,17.085,14.923,34.170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,32768,0,0,336,0,0,0,3983187968,21563240448,40717180928,62803886080,160011,311349,8,13,10,22.800,17.880,8.650,0,0,22.800,17.880,8.650,3983187968,21563240448,40717180928,62803886080,8,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2560,151009,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,1153,3301,5911,0,0,0,0,0,0,0,0,0,0,0,0
1769954430.660,33.868,18.606,15.610,31.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3924582400,21621809152,40717217792,62862516224,158530,309708,8,12,20,22.800,17.880,8.650,0,2,22.800,17.880,8.650,3924582400,21621809152,40717217792,62862516224,8,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2592,150826,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,6668,6844,18462,0,0,0,0,0,0,0,0,0,0,0,0
1769954431.660,32.819,17.251,16.059,33.871,0,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0,0,0,0,0,0,0,0,5210112,0,0,0,0,0,0,3902103552,21644288000,40717217792,62884995072,159408,310615,9,11,6,22.800,17.880,8.650,0,0,22.800,17.880,8.650,3902103552,21644288000,40717217792,62884995072,8,15,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,2592,150799,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,962,2980,7799,0,0,0,0,0,0,0,0,0,0,0,0
1769954432.660,7.391,4.434,22.558,65.617,0,0,0,0,0,0,0,0,0,0,5799936,0,2228224,0,0,0,0,0,0,0,0,0,884736,0,0,0,0,0,0,3922665472,21623664640,40717279232,62864449536,40252,76693,1,17,32,22.800,17.880,8.650,0,2,22.800,17.880,8.650,3922665472,21623664640,40717279232,62864449536,1,17,32,0,0,0,0,0,0,0,0,0,53,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,2592,150832,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,7239,10888,8933,0,0,0,0,1.200,0.200,0,0,0,0,0,0
1769954433.660,0.563,0.563,24.703,74.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,98304,0,0,0,0,0,0,3913936896,21632352256,40717320192,62873141248,2156,3109,0,17,2,20.980,17.580,8.610,0,0,20.980,17.580,8.610,3913936896,21632352256,40717320192,62873141248,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2560,150784,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,970,1003,3309,0,0,0,0,0,0,0,0,0,0,0,0
1769954434.660,0.250,0.751,24.546,74.452,0,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,3914977280,21631287296,40717344768,62872100864,1866,2593,0,17,15,20.980,17.580,8.610,0,2,20.980,17.580,8.610,3914977280,21631287296,40717344768,62872100864,0,17,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2560,150794,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,3401,1997,2155,0,0,0,0,0,0,0,0,0,0,0,0
