"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","f37228f5dba3",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201135111/vertx-web-kotlinx-postgresql/query/stats.txt",,,,"Date:","01 Feb 2026 13:56:34 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769954194.574,0.259,0.187,99.380,0.173,0,459.084,0,242.535,0,4542.226,0,2600.886,0,130259.452,1379209.029,107390.814,1139558.380,194.629,4.243,4.419,0,5218.566,3694863.001,3434.556,2496509.351,144088.802,1439953.946,49.497,0,0,0,0,0,3330142208,24637071360,38342664192,63444459520,618.149,1221.872,2,17,1.867,24.830,10.590,4.180,0.019,0.982,24.830,10.590,4.180,3330142208,24637071360,38342664192,63444459520,3,17,1.867,0.005,0,0.002,0,0.015,0,0.009,0,0.643,1.334,0.934,0.871,0.001,0.000,0.000,0,0.018,0.432,0.021,0.377,0.414,1.873,0.002,0,0,2496,150443,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0.177,298.519,743.799,873.786,0.000,0.000,0.000,0.000,0.249,0.227,0.000,0,0.009,0.077,0.025,0.000
1769954195.574,37.613,19.153,11.659,31.575,0,0,0,0,0,0,0,0,0,0,5341184,0,3866624,0,0,0,0,0,0,0,0,0,622592,0,0,672,0,0,0,3357364224,24608714752,38343733248,63417704448,130571,266384,11,13,98,24.830,10.590,4.180,0,2,24.830,10.590,4.180,3357364224,24608714752,38343733248,63417704448,8,12,98,0,0,0,0,0,0,0,0,0,78,0,55,0,0,0,0,0,0,0,0,0,3,0,0,0,2496,150920,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,14083,13123,6993,0,0,0,0,0.400,0.700,0,0,0,0,0,0
1769954196.574,37.817,20.423,12.183,29.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,3357843456,24608210944,38343757824,63417217024,149258,294057,10,13,4,24.830,10.590,4.180,0,0,24.830,10.590,4.180,3357843456,24608210944,38343757824,63417217024,10,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2528,150958,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,705,606,593,0,0,0,0,0,0,0,0,0,0,0,0
1769954197.574,38.299,20.520,12.930,28.250,0,0,0,0,0,0,0,0,0,0,294912,0,0,0,0,0,0,0,0,0,262144,0,32768,0,0,336,0,0,0,3360206848,24605822976,38343782400,63414870016,148895,294070,10,13,15,24.830,10.590,4.180,0,2,24.830,10.590,4.180,3360206848,24605822976,38343782400,63414870016,8,16,15,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2496,150957,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,2453,2063,2526,0,0,0,0,0,0,0,0,0,0.300,0,0
1769954198.574,37.779,20.042,13.338,28.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425984,0,0,0,0,0,0,0,0,3307597824,24658427904,38343786496,63467499520,148961,292896,9,9,11,23.560,10.560,4.210,0,0,23.560,10.560,4.210,3307597824,24658427904,38343786496,63467499520,8,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2496,150717,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,3657,3269,10735,0,0,0,0,0,0,0,0,0,0,0,0
1769954199.574,37.938,20.266,12.062,29.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,98304,0,0,0,0,0,0,3307876352,24658132992,38343802880,63467212800,148864,293648,8,12,14,23.560,10.560,4.210,0,2,23.560,10.560,4.210,3307876352,24658132992,38343802880,63467212800,11,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2496,150711,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,2713,2171,2705,0,0,0,0,0,0,0,0,0,0,0,0
1769954200.574,7.216,4.215,21.456,67.114,0,0,0,0,0,0,0,0,0,0,786432,0,2457600,0,0,0,0,0,98304,0,30310400,0,655360,0,0,0,0,0,0,3338481664,24613736448,38357590016,63422935040,33011,62234,1,17,46,23.560,10.560,4.210,0,0,23.560,10.560,4.210,3338481664,24613736448,38357590016,63422935040,1,17,49,0,0,0,0,0,0,0,0,0,6,0,43,0,0,0,0,0,2,0,85,0,5,0,0,0,2496,150739,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,10321,27746,20210,0,0,0,0,0.100,6.300,0,0,0,0.400,0,0
1769954201.574,0.816,1.255,15.747,82.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327680,0,0,0,0,0,0,3362992128,24602845184,38343954432,63412113408,6616,9119,0,17,65,23.560,10.560,4.210,0,2,23.560,10.560,4.210,3362992128,24602845184,38343954432,63412113408,0,17,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2496,150703,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,7059,13845,21651,0,0,0,0,0,0,0,0,0,0,0.100,0
1769954202.574,0.188,0.438,12.461,86.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,3365560320,24600256512,38343974912,63409541120,1102,1388,0,17,9,23.560,10.560,4.210,0,0,23.560,10.560,4.210,3365560320,24600256512,38343974912,63409541120,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2496,150703,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,945,3297,3323,0,0,0,0,0,0,0,0,0,0,0,0
