"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","f37228f5dba3",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201135111/vertx-web-kotlinx-postgresql/update/stats.txt",,,,"Date:","01 Feb 2026 13:58:30 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769954310.591,0.399,0.247,99.141,0.214,0,457.937,0,241.929,0,4530.883,0,2594.391,0,129934.150,1377291.725,107122.623,1137935.567,194.143,4.232,4.408,0,5205.534,3685669.540,3425.979,2491832.807,143748.008,1437342.541,49.373,0,0,0,0,0,4199129088,23759990784,38350508032,62577098752,705.289,1443.489,2,17,1.921,25.810,15.480,6.700,0.019,0.982,25.810,15.480,6.700,4199129088,23759990784,38350508032,62577098752,3,17,1.921,0.005,0,0.002,0,0.015,0,0.009,0,0.642,1.350,0.932,0.882,0.001,0.000,0.000,0,0.018,0.431,0.021,0.384,0.413,1.877,0.002,0,0,2496,150512,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0.176,308.125,797.207,922.186,0.000,0.000,0.000,0.000,0.249,0.227,0.000,0,0.009,0.077,0.025,0.000
1769954311.591,38.451,17.459,8.967,35.122,0,0,0,0,0,0,0,0,0,0,57212928,0,54853632,0,0,0,0,0,0,0,0,0,425984,0,0,672,0,0,0,4262174720,23694090240,38353375232,62513643520,117001,228454,11,12,109,25.810,15.480,6.700,0,0,25.810,15.480,6.700,4262174720,23694090240,38353375232,62513643520,9,14,106,0,0,0,0,0,0,0,0,0,99,0,68,0,0,0,0,0,0,0,0,0,3,0,0,0,2624,150911,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,29263,21867,14508,0,0,0,0,11.500,12.500,0,0,0,0,0,0
1769954312.591,38.705,17.424,11.433,32.438,0,0,0,0,0,0,0,0,0,0,49741824,589824,49152000,0,0,0,0,0,0,0,0,0,131072,0,0,336,0,0,0,4278919168,23676325888,38354378752,62496698368,134843,260754,9,14,7,25.810,15.480,6.700,0,2,25.810,15.480,6.700,4278919168,23676325888,38354378752,62496698368,7,12,7,0,0,0,0,0,0,0,0,0,18,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,2592,150965,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,1,4446,8412,9194,0,0,0,0,10,10.600,0,0,0,0,0,0
1769954313.591,39.655,18.414,10.759,31.172,0,0,0,0,0,0,0,0,0,0,42434560,0,41943040,0,0,0,0,0,0,0,164429824,0,131072,0,0,336,0,0,0,4295430144,23674351616,38340214784,62480121856,134036,264893,8,15,85,24.470,15.370,6.720,0,0,24.470,15.370,6.720,4295430144,23674351616,38340214784,62480121856,11,11,85,0,0,0,0,0,0,0,0,0,15,0,11,0,0,0,0,0,0,0,91,0,2,0,0,0,2560,151001,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,11912,31586,35098,0,0,0,0,8.100,8.700,0,0,0,1,0.100,0
1769954314.591,38.531,17.325,11.573,32.571,0,0,0,0,0,0,0,0,0,0,33685504,0,33292288,0,0,0,0,0,98304,0,491520,0,11993088,0,0,0,0,0,0,4238327808,23726940160,38344613888,62537248768,137666,265572,10,11,11,24.470,15.370,6.720,0,2,24.470,15.370,6.720,4238327808,23726940160,38344613888,62537248768,11,13,11,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,2,0,2,0,236,0,0,0,2528,150761,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,5399,5715,11428,0,0,0,0,6.200,6.600,0,0,0,0.300,0.300,0
1769954315.591,37.890,17.904,13.255,30.951,0,0,0,0,0,0,0,0,0,0,42237952,0,41353216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4240363520,23719481344,38349905920,62535127040,138146,267525,8,13,12,24.470,15.370,6.720,0,0,24.470,15.370,6.720,4240363520,23719481344,38349905920,62535127040,8,13,12,0,0,0,0,0,0,0,0,0,26,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2528,150749,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,1074,11407,13021,0,0,0,0,7.800,8,0,0,0,0,0,0
1769954316.591,7.284,3.514,19.425,69.776,0,0,0,0,0,0,0,0,0,0,11141120,0,10747904,0,0,0,0,0,0,0,0,0,720896,0,0,0,0,0,0,4244983808,23713837056,38351065088,62530539520,29505,56041,0,17,25,24.470,15.370,6.720,0,2,24.470,15.370,6.720,4244983808,23713837056,38351065088,62530539520,0,17,25,0,0,0,0,0,0,0,0,0,52,0,48,0,0,0,0,0,0,0,0,0,2,0,0,0,2496,150728,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,4428,10199,10050,0,0,0,0,1.700,1.800,0,0,0,0,0,0
1769954317.591,0.563,1.313,18.449,79.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4242522112,23716257792,38351106048,62532976640,3422,5265,0,17,8,24.470,15.370,6.720,0,0,24.470,15.370,6.720,4242522112,23716257792,38351106048,62532976640,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2528,150712,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,1890,1548,1832,0,0,0,0,0,0,0,0,0,0,0,0
1769954318.591,0.501,0.564,18.660,80.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,4239872000,23718866944,38351147008,62535634944,2108,3117,0,17,14,22.510,15.110,6.680,0,2,22.510,15.110,6.680,4239872000,23718866944,38351147008,62535634944,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2528,150700,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,1497,1083,1103,0,0,0,0,0,0,0,0,0,0,0,0
