"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","c5e73f625e5d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201144451/vertx-web-kotlinx-postgresql/db/stats.txt",,,,"Date:","01 Feb 2026 14:47:18 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769957238.553,0.801,0.395,98.430,0.374,0,430.787,0,227.586,0,4262.256,0,2440.575,0,153782.767,2427905.867,128636.534,2191397.178,182.633,3.981,4.147,0,4896.909,3473498.437,3222.860,3324973.862,135407.956,1373789.282,46.446,0,0,0,0,0,9466601472,2889793536,53499777024,57404010496,1065.757,2454.184,2,17,3.131,1.750,1.790,1.640,0.017,0.982,1.750,1.790,1.640,9467117568,2889277440,53499777024,57403494400,2,17,3.131,0.005,0,0.001,0,0.014,0,0.009,0,0.690,1.913,0.943,1.408,0.001,0.000,0.000,0,0.017,0.421,0.020,0.600,0.389,1.938,0.002,0,0,3872,241678,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0.187,601.529,1482.176,1496.509,0.000,0.000,0.000,0.000,0.402,0.393,0.000,0,0.009,0.124,0.025,0.000
1769957239.553,38.456,17.760,10.314,33.470,0,0,0,0,0,0,0,0,0,0,6750208,0,4096000,0,0,0,0,0,0,0,0,0,753664,0,0,672,0,0,0,9533419520,2820755456,53501947904,57337888768,130538,270782,8,15,131,1.750,1.790,1.640,0,0,1.750,1.790,1.640,9533419520,2820755456,53501947904,57337888768,10,10,131,0,0,0,0,0,0,0,0,0,89,0,60,0,0,0,0,0,0,0,0,0,4,0,0,0,3936,241869,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,12890,45078,35915,0,0,0,0,0.900,1.100,0,0,0,0,0,0
1769957240.553,32.911,19.058,14.416,33.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,336,0,0,0,9575194624,2778906624,53501956096,57296142336,165562,324537,7,15,14,1.750,1.790,1.640,0,2,1.750,1.790,1.640,9575194624,2778906624,53501956096,57296142336,8,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3904,241886,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,4660,12703,9298,0,0,0,0,0,0,0,0,0,0,0,0
1769957241.553,32.817,17.887,14.225,35.070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5668864,0,0,336,0,0,0,9582661632,2771439616,53501956096,57288679424,165423,324342,8,12,1,1.750,1.790,1.640,0,0,1.750,1.790,1.640,9582661632,2771439616,53501956096,57288679424,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3904,241874,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,175,6940,6478,0,0,0,0,0,0,0,0,0,0,0,0
1769957242.553,32.746,19.085,16.197,31.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,9542209536,2811858944,53501988864,57329106944,166333,325648,8,14,16,1.750,1.790,1.640,0,2,1.750,1.790,1.640,9542209536,2811858944,53501988864,57329106944,8,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3872,241640,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,5745,4474,12115,0,0,0,0,0,0,0,0,0,0,0.100,0
1769957243.553,34.831,19.663,16.011,29.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,9543593984,2810454016,53502009344,57327734784,160242,318947,7,12,24,2.250,1.890,1.670,0,0,2.250,1.890,1.670,9543593984,2810454016,53502009344,57327734784,8,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3840,241634,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,6304,4900,4371,0,0,0,0,0,0,0,0,0,0,0,0
1769957244.553,6.914,4.481,19.910,68.694,0,0,0,0,0,0,0,0,0,0,2686976,0,2392064,0,0,0,0,0,131072,0,98304,0,720896,0,0,0,0,0,0,9549991936,2803953664,53502111744,57321373696,37407,72236,1,17,24,2.250,1.890,1.670,0,2,2.250,1.890,1.670,9549991936,2803953664,53502111744,57321373696,2,17,26,0,0,0,0,0,0,0,0,0,41,0,37,0,0,0,0,0,2,0,2,0,2,0,0,0,3840,241686,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,8108,12606,3876,0,0,0,0,0.500,0.700,0,0,0,0.200,0,0
1769957245.553,0.752,0.878,9.279,89.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89391104,0,0,0,0,0,0,0,0,9540841472,2813054976,53502160896,57330495488,4231,5277,0,17,26,2.250,1.890,1.670,0,0,2.250,1.890,1.670,9540841472,2813054976,53502160896,57330495488,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,3840,241622,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,2926,2341,11421,0,0,0,0,0,0,0,0,0,0.700,0,0
1769957246.553,0.250,0.813,1.501,97.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9541582848,2812313600,53502160896,57329754112,1929,2666,0,17,7,2.250,1.890,1.670,0,2,2.250,1.890,1.670,9541582848,2812313600,53502160896,57329754112,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840,241629,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,2377,1682,1685,0,0,0,0,0,0,0,0,0,0,0,0
