"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","c5e73f625e5d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201144451/vertx-web-kotlinx-postgresql/fortune/stats.txt",,,,"Date:","01 Feb 2026 14:53:24 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769957604.045,1.190,0.573,97.747,0.491,0,427.623,0,225.914,0,4230.944,0,2422.646,0,152653.677,2739086.950,127691.519,2500328.335,181.291,3.952,4.117,0,4860.934,3448192.173,3199.183,3483317.488,134425.052,1367116.548,46.105,0,0,0,0,0,10110926848,646574080,55070724096,56766730240,1331.220,3391.842,2,17,3.284,23.360,18.310,9.380,0.017,0.982,23.360,18.310,9.380,10115379200,642121728,55070724096,56762277888,3,17,3.284,0.005,0,0.001,0,0.014,0,0.008,0,0.685,2.065,0.936,1.515,0.001,0.000,0.000,0,0.017,0.421,0.020,0.647,0.387,1.954,0.002,0,0,3904,240078,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0.185,632.988,1604.909,1608.277,0.000,0.000,0.000,0.000,0.461,0.457,0.000,0,0.009,0.130,0.025,0.000
1769957605.045,32.897,18.169,14.728,34.205,0,0,0,0,0,0,0,0,0,0,6062080,0,3899392,0,0,0,0,0,0,0,0,0,688128,0,0,672,0,0,0,10184040448,571998208,55072186368,56693903360,140435,274632,8,14,126,23.360,18.310,9.380,0,2,23.360,18.310,9.380,10184040448,571998208,55072186368,56693903360,8,11,126,0,0,0,0,0,0,0,0,0,78,0,54,0,0,0,0,0,0,0,0,0,4,0,0,0,3808,240576,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,19434,26296,21731,0,0,0,0,0.900,1.200,0,0,0,0,0.100,0
1769957606.045,35.052,18.328,17.003,29.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,917504,0,32768,0,0,336,0,0,0,10165186560,590766080,55072272384,56712749056,156533,309777,9,10,15,23.360,18.310,9.380,0,0,23.360,18.310,9.380,10165186560,590766080,55072272384,56712749056,7,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,1,0,0,0,3872,240610,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,1557,3241,8310,0,0,0,0,0,0.100,0,0,0,0.200,0,0
1769957607.045,32.845,18.480,18.828,29.847,0,0,0,0,0,0,0,0,0,0,0,0,1376256,0,0,0,0,0,131072,0,0,0,0,0,0,336,0,0,0,10142748672,613199872,55072276480,56735199232,158382,309465,8,13,7,23.360,18.310,9.380,0,2,23.360,18.310,9.380,10142748672,613199872,55072276480,56735199232,7,12,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3872,240613,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,3017,3761,6295,0,0,0,0,0,0,0,0,0,0,0,0
1769957608.045,34.029,18.511,16.284,31.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10045644800,710291456,55072288768,56832319488,158918,308933,8,11,85,23.360,18.310,9.380,0,0,23.360,18.310,9.380,10045644800,710291456,55072288768,56832319488,8,11,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840,240386,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,14648,34165,46148,0,0,0,0,0,0,0,0,0,0,0,0
1769957609.045,33.821,17.573,14.644,33.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10041114624,714813440,55072296960,56836841472,159332,310437,8,13,13,22.290,18.170,9.380,0,2,22.290,18.170,9.380,10041114624,714813440,55072296960,56836841472,8,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,240387,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,3790,4858,6570,0,0,0,0,0,0,0,0,0,0,0,0
1769957610.045,6.270,3.391,18.106,72.233,0,0,0,0,0,0,0,0,0,0,4784128,0,4915200,0,0,0,0,0,0,0,0,0,655360,0,0,0,0,0,0,10026209280,729649152,55072366592,56851750912,32331,62776,0,17,2,22.290,18.170,9.380,0,0,22.290,18.170,9.380,10026209280,729649152,55072366592,56851750912,0,17,2,0,0,0,0,0,0,0,0,0,59,0,45,0,0,0,0,0,0,0,0,0,3,0,0,0,3808,240350,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,990,772,3256,0,0,0,0,0.600,0.600,0,0,0,0,0,0
1769957611.045,1.255,1.506,18.130,79.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,0,0,0,0,10037989376,717774848,55072460800,56839913472,6254,9062,0,17,42,22.290,18.170,9.380,0,2,22.290,18.170,9.380,10037989376,717774848,55072460800,56839913472,0,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3872,240377,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,9058,12766,12771,0,0,0,0,0,0,0,0,0,0,0,0
1769957612.045,0.063,0.313,18.773,80.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10046599168,709160960,55072464896,56831369216,814,1116,0,17,1,22.290,18.170,9.380,0,0,22.290,18.170,9.380,10046599168,709160960,55072464896,56831369216,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872,240362,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,122,2274,1684,0,0,0,0,0,0,0,0,0,0,0,0
