"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","c5e73f625e5d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201144451/vertx-web-kotlinx-postgresql/query/stats.txt",,,,"Date:","01 Feb 2026 14:49:31 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769957371.758,0.931,0.470,98.181,0.418,0,429.629,0,226.974,0,4250.791,0,2434.010,0,153369.108,2422764.026,128290.515,2186524.921,182.141,3.970,4.136,0,4883.736,3464236.482,3214.190,3318602.838,135043.723,1371480.920,46.321,0,0,0,0,0,9472032768,2872799232,53510955008,57400766464,1177.740,2882.763,3,18,3.188,26.150,10.750,4.930,0.017,0.982,26.150,10.750,4.930,9472016384,2872799232,53510971392,57400827904,2,19,3.188,0.005,0,0.001,0,0.014,0,0.008,0,0.688,1.927,0.941,1.417,0.001,0.000,0.000,0,0.017,0.421,0.020,0.609,0.388,1.945,0.002,0,0,3840,241350,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0.186,612.562,1512.666,1527.105,0.000,0.000,0.000,0.000,0.401,0.392,0.000,0,0.009,0.124,0.025,0.000
1769957372.759,38.962,19.446,9.619,31.972,0,0,0,0,0,0,0,0,0,0,7471104,0,3833856,0,0,0,0,0,0,0,0,0,720896,0,0,672,0,0,0,9521836032,2821566464,53512368128,57351151616,127970,254498,8,12,135,26.150,10.750,4.930,0,0,26.150,10.750,4.930,9521836032,2821566464,53512368128,57351151616,9,12,135,0,0,0,0,0,0,0,0,0,83,0,56,0,0,0,0,0,0,0,0,0,3,0,0,0,3904,241840,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,18781,22775,17133,0,0,0,0,1.200,1.600,0,0,0,0,0,0
1769957373.759,41.246,21.289,12.395,25.070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,336,0,0,0,9516228608,2827157504,53512384512,57356861440,140062,280518,10,10,29,24.770,10.720,4.950,0,2,24.770,10.720,4.950,9516228608,2827157504,53512384512,57356861440,8,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3936,241836,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,4413,2759,3254,0,0,0,0,0,0,0,0,0,0,0,0
1769957374.759,38.219,20.266,14.025,27.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,336,0,0,0,9515200512,2828173312,53512396800,57357893632,147211,291431,8,13,7,24.770,10.720,4.950,0,0,24.770,10.720,4.950,9515200512,2828173312,53512396800,57357893632,9,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3936,241852,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,4014,1737,2435,0,0,0,0,0,0,0,0,0,0,0,0
1769957375.759,38.483,19.593,13.483,28.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,98304,0,0,0,0,0,0,9479958528,2863382528,53512429568,57393139712,147387,290711,9,13,17,24.770,10.720,4.950,0,2,24.770,10.720,4.950,9479958528,2863382528,53512429568,57393139712,9,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3904,241649,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,4641,3920,11412,0,0,0,0,0,0,0,0,0,0,0,0
1769957376.759,38.456,20.912,11.088,29.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9477672960,2865643520,53512454144,57395429376,145964,298498,10,11,13,24.770,10.720,4.950,0,0,24.770,10.720,4.950,9477672960,2865643520,53512454144,57395429376,11,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904,241644,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,3955,6357,7050,0,0,0,0,0.100,0.100,0,0,0,0.500,0,0
1769957377.759,7.944,4.869,13.965,73.222,0,0,0,0,0,0,0,0,0,0,2981888,0,2523136,0,0,0,0,0,98304,0,33095680,0,1048576,0,0,0,0,0,0,9463930880,2879258624,53512577024,57409179648,33084,64817,0,17,26,24.770,10.720,4.950,0,2,24.770,10.720,4.950,9463930880,2879258624,53512577024,57409179648,0,17,26,0,0,0,0,0,0,0,0,0,47,0,33,0,0,0,0,0,2,0,100,0,3,0,0,0,3904,241624,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,4472,10661,11207,0,0,0,0,0.400,0.400,0,0,0,0,0,0
1769957378.759,0.626,1.127,11.960,86.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,9464524800,2878611456,53512630272,57408602112,3137,4486,1,17,15,22.790,10.550,4.920,0,0,22.790,10.550,4.920,9464524800,2878611456,53512630272,57408602112,1,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3904,241629,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,4039,2214,2284,0,0,0,0,0,0,0,0,0,0,0.100,0
1769957379.759,0.125,0.375,12.508,86.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9464762368,2878353408,53512650752,57408364544,716,999,0,17,1,22.790,10.550,4.920,0,2,22.790,10.550,4.920,9464762368,2878353408,53512650752,57408364544,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904,241618,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,158,229,228,0,0,0,0,0,0,0,0,0,0,0,0
1769957380.759,0.188,0.814,9.643,89.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,0,229376,0,0,0,0,0,0,9464373248,2878734336,53512658944,57408765952,1986,2568,0,17,17,22.790,10.550,4.920,0,0,22.790,10.550,4.920,9464373248,2878734336,53512658944,57408765952,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3904,241635,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,5205,3185,2999,0,0,0,0,0,0,0,0,0,0,0,0
1769957381.759,1.128,1.253,6.140,91.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,9503469568,2826145792,53526151168,57356193792,6314,8900,1,17,74,22.790,10.550,4.920,0,2,22.790,10.550,4.920,9503469568,2826145792,53526151168,57356193792,1,17,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3840,241678,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,12103,30183,30050,0,0,0,0,0,0,0,0,0,0,0,0
1769957382.759,53.567,24.718,1.752,19.962,0,0,0,0,0,0,0,0,0,0,1048576,0,1015808,0,0,0,0,0,0,0,622592,0,655360,0,0,0,0,0,0,9434206208,2908618752,53512810496,57438969856,28723,68056,36,2,32,22.790,10.550,4.920,0,0,22.790,10.550,4.920,9434206208,2908618752,53512810496,57438969856,40,1,32,0,0,0,0,0,0,0,0,0,14,0,21,0,0,0,0,0,0,0,2,0,2,0,0,0,4608,242657,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,7474,24440,19869,0,0,0,0,0.300,0.200,0,0,0,0.300,0.100,0
1769957383.759,68.441,30.996,0.376,0.188,0,0,0,0,0,0,0,0,0,0,0,0,163840,0,0,0,0,0,98304,0,0,0,32768,0,0,0,0,0,0,9475375104,2867359744,53512900608,57397784576,35037,93940,40,2,56,23.690,10.940,5.080,0,2,23.690,10.940,5.080,9475375104,2867359744,53512900608,57397784576,40,2,56,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,4704,242658,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,8766,63558,50551,0,0,0,0,0,0,0,0,0,0,0,0
