"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","c5e73f625e5d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201144451/vertx-web-kotlinx-postgresql/update/stats.txt",,,,"Date:","01 Feb 2026 14:51:27 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769957487.836,1.060,0.526,97.961,0.453,0,428.624,0,226.443,0,4240.850,0,2428.318,0,153010.426,2418854.031,127990.484,2182750.840,181.715,3.961,4.126,0,4872.315,3456203.383,3206.673,3312638.689,134739.781,1369275.616,46.213,0,0,0,0,0,10332495872,2000891904,53522030592,56541941760,1257.492,3096.252,1,17,3.236,26.770,15.850,7.460,0.017,0.982,26.770,15.850,7.460,10332495872,2000891904,53522030592,56541941760,1,17,3.236,0.005,0,0.001,0,0.014,0,0.008,0,0.686,1.944,0.939,1.429,0.001,0.000,0.000,0,0.017,0.421,0.020,0.619,0.387,1.950,0.002,0,0,3872,241325,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0.186,622.661,1560.530,1570.594,0.000,0.000,0.000,0.000,0.400,0.392,0.000,0,0.009,0.124,0.025,0.000
1769957488.836,39.098,17.977,9.228,33.698,0,0,0,0,0,0,0,0,0,0,49217536,0,46366720,0,0,0,0,0,0,0,0,0,458752,0,0,672,0,0,0,10406674432,1919000576,53529661440,56467398656,108935,227611,10,14,145,25.260,15.720,7.460,0,2,25.260,15.720,7.460,10406674432,1919000576,53529661440,56467398656,9,12,145,0,0,0,0,0,0,0,0,0,99,0,68,0,0,0,0,0,0,0,0,0,3,0,0,0,3904,241783,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,34438,42112,34118,0,0,0,0,13.500,14.300,0,0,0,0,0.100,0
1769957489.836,39.396,18.051,10.158,32.395,0,0,0,0,0,0,0,0,0,0,49872896,0,49283072,0,0,0,0,0,131072,0,0,0,524288,0,0,336,0,0,0,10402770944,1916088320,53536325632,56471007232,133953,259707,9,13,15,25.260,15.720,7.460,0,0,25.260,15.720,7.460,10402770944,1916088320,53536325632,56471007232,8,13,15,0,0,0,0,0,0,0,0,0,18,0,12,0,0,0,0,0,2,0,0,0,15,0,0,0,3904,241833,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,7420,6354,4643,0,0,0,0,10.100,10,0,0,0.100,0,0,0
1769957490.836,38.774,17.011,11.295,32.920,0,0,0,0,0,0,0,0,0,0,42434560,0,41943040,0,0,0,0,0,0,0,0,0,98304,0,0,336,0,0,0,10402238464,1926971392,53526278144,56471474176,136215,263478,8,13,1,25.260,15.720,7.460,0,2,25.260,15.720,7.460,10402238464,1926971392,53526278144,56471474176,9,12,1,0,0,0,0,0,0,0,0,0,15,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,3904,241821,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,229,1882,4473,0,0,0,0,9,10.100,0,0,0,0,0.100,0
1769957491.836,38.141,18.655,10.749,32.455,0,0,0,0,0,0,0,0,0,0,41713664,0,41222144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10386624512,1931472896,53537087488,56487219200,137362,265391,10,13,17,25.260,15.720,7.460,0,0,25.260,15.720,7.460,10386624512,1931472896,53537087488,56487219200,10,12,17,0,0,0,0,0,0,0,0,0,18,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3904,241603,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,7201,18259,24518,0,0,0,0,8.200,9,0,0,0,0,0,0
1769957492.836,38.893,16.747,11.488,32.872,0,0,0,0,0,0,0,0,0,0,34242560,0,33751040,0,0,0,0,0,0,0,360448,0,98304,0,0,0,0,0,0,10379272192,1932193792,53543563264,56494477312,136518,265162,8,13,6,25.260,15.720,7.460,0,2,25.260,15.720,7.460,10379272192,1932193792,53543563264,56494477312,9,13,6,0,0,0,0,0,0,0,0,0,19,0,14,0,0,0,0,0,0,0,2,0,1,0,0,0,3904,241586,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,1032,2424,958,0,0,0,0,7,7.400,0,0,0,0.300,0,0
1769957493.836,9.295,4.808,17.051,68.846,0,0,0,0,0,0,0,0,0,0,16973824,0,15761408,0,0,0,0,0,0,0,201326592,0,622592,0,0,0,0,0,0,10374402048,1934884864,53545689088,56499470336,35566,67513,2,17,20,23.240,15.460,7.420,0,0,23.240,15.460,7.420,10374402048,1934884864,53545689088,56499470336,1,17,20,0,0,0,0,0,0,0,0,0,62,0,43,0,0,0,0,0,0,0,31,0,2,0,0,0,3904,241592,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,7382,11786,3164,0,0,0,0,3.100,3.300,0,0,0,0.900,0,0
1769957494.836,1.381,1.695,21.155,75.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,10358657024,1950732288,53545570304,56515440640,9294,12395,0,17,97,23.240,15.460,7.420,0,2,23.240,15.460,7.420,10358657024,1950732288,53545570304,56515440640,0,17,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3808,241586,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,12299,30040,38492,0,0,0,0,0,0,0,0,0,0,0,0
1769957495.836,0.188,0.813,24.703,74.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10359844864,1949339648,53545775104,56514048000,1806,2588,0,17,7,23.240,15.460,7.420,0,0,23.240,15.460,7.420,10359844864,1949339648,53545775104,56514048000,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,241591,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,3522,1680,1722,0,0,0,0,0,0,0,0,0,0,0,0
