"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","3606c82e1518",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201151750/vertx-web-kotlinx-postgresql/db/stats.txt",,,,"Date:","01 Feb 2026 15:20:24 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769959224.328,1.366,0.646,97.396,0.591,0,414.135,0,218.788,0,4097.497,0,2346.234,0,148532.247,2849014.575,124611.920,2611575.006,175.573,3.827,3.987,0,4707.617,3340311.768,3098.279,3568159.094,130494.568,1335909.650,44.651,0,0,0,0,0,9938833408,3519717376,52388175872,56970432512,1500.445,3856.171,0,17,3.895,16.400,4.820,4.150,0.017,0.982,16.400,4.820,4.150,9938833408,3519717376,52388175872,56970432512,0,17,3.895,0.005,0,0.001,0,0.014,0,0.008,0,0.666,2.393,0.912,1.813,0.001,0.000,0.000,0,0.016,0.421,0.019,0.745,0.377,1.989,0.002,0,0,3808,247864,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0.180,812.530,1930.578,1955.120,0.000,0.000,0.000,0.000,0.474,0.473,0.000,0,0.008,0.136,0.025,0.000
1769959225.328,39.630,18.344,11.294,30.732,0,0,0,0,0,0,0,0,0,0,5734400,0,3964928,0,0,0,0,0,0,0,0,0,491520,0,0,672,0,0,0,9985798144,3471339520,52389588992,56923787264,124131,271829,9,11,82,16.400,4.820,4.150,0,2,16.400,4.820,4.150,9985798144,3471339520,52389588992,56923787264,8,12,82,0,0,0,0,0,0,0,0,0,80,0,56,0,0,0,0,0,0,0,0,0,3,0,0,0,3904,248142,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,8841,22872,8392,0,0,0,0,0.300,0.800,0,0,0,0,0,0
1769959226.328,32.022,18.610,16.643,32.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163840,0,0,336,0,0,0,10030686208,3426332672,52389707776,56878903296,165886,324624,8,11,12,16.400,4.820,4.150,0,0,16.400,4.820,4.150,10030686208,3426332672,52389707776,56878903296,8,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3904,248157,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,3835,14767,8436,0,0,0,0,0,0,0,0,0,0,0,0
1769959227.328,32.256,18.974,15.460,33.310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,10034839552,3422171136,52389715968,56874749952,166806,326387,8,14,12,16.400,4.820,4.150,0,2,16.400,4.820,4.150,10034839552,3422171136,52389715968,56874749952,9,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904,248141,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,3188,8882,8580,0,0,0,0,0,0,0,0,0,0,0,0
1769959228.328,36.389,20.014,12.876,30.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,10019045376,3437715456,52389965824,56890327040,156925,312199,8,14,56,16.400,4.820,4.150,0,0,16.400,4.820,4.150,10019045376,3437715456,52389965824,56890327040,8,11,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3840,248165,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,12934,15461,22985,0,0,0,0,0,0,0,0,0,0,0,0
1769959229.328,32.514,19.382,17.346,30.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327680,0,0,0,0,0,0,0,0,0,0,10008104960,3448803328,52389818368,56901480448,165704,329180,10,12,7,15.720,4.870,4.170,0,2,15.720,4.870,4.170,10008104960,3448803328,52389818368,56901480448,9,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3776,247911,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,2395,1708,1729,0,0,0,0,0,0,0,0,0,0,0,0
1769959230.328,6.731,3.910,26.667,62.692,0,0,0,0,0,0,0,0,0,0,917504,0,2850816,0,0,0,0,0,0,0,98304,0,1867776,0,0,0,0,0,0,10007519232,3449331712,52389875712,56902045696,36550,70875,0,17,5,15.720,4.870,4.170,0,0,15.720,4.870,4.170,10007519232,3449331712,52389875712,56902045696,0,17,5,0,0,0,0,0,0,0,0,0,6,0,45,0,0,0,0,0,0,0,2,0,8,0,0,0,3776,247880,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,2575,1387,1696,0,0,0,0,0.200,0.200,0,0,0,0.300,0,0
1769959231.328,0.313,1.001,24.828,73.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26378240,0,0,0,0,0,0,10008080384,3448750080,52389896192,56901509120,2327,2811,0,17,18,15.720,4.870,4.170,0,2,15.720,4.870,4.170,10008080384,3448750080,52389896192,56901509120,1,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,3776,247963,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,4559,3221,3111,0,0,0,0,0,0,0,0,0,0,0.300,0
1769959232.328,0.063,0.376,24.859,74.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,10007056384,3449774080,52389896192,56902561792,846,1041,0,17,6,15.720,4.870,4.170,0,0,15.720,4.870,4.170,10007056384,3449774080,52389896192,56902561792,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3744,247888,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,2096,0,0,1,0,0,106,0,106,0,994,724,918,0,0,0,0,0,0,0,0,0,0,0.100,0
