"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","3606c82e1518",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201151750/vertx-web-kotlinx-postgresql/fortune/stats.txt",,,,"Date:","01 Feb 2026 15:26:29 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769959589.799,1.738,0.816,96.756,0.690,0,411.210,0,217.243,0,4068.553,0,2329.660,0,147483.010,3135252.058,123731.657,2895896.715,174.333,3.800,3.959,0,4674.362,3316899.350,3076.393,3688261.685,129575.916,1330068.956,44.335,0,0,0,0,0,10362363904,656314368,54781124608,56560259072,1748.421,4741.765,1,19,4.045,23.700,19.550,11.260,0.017,0.982,23.700,19.550,11.260,10362355712,656314368,54781132800,56560263168,1,17,4.045,0.005,0,0.001,0,0.013,0,0.008,0,0.661,2.534,0.905,1.921,0.001,0.000,0.000,0,0.016,0.421,0.019,0.786,0.374,2.011,0.002,0,0,3776,247610,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0.179,843.097,2043.962,2054.611,0.000,0.000,0.000,0.000,0.529,0.533,0.000,0,0.008,0.142,0.025,0.000
1769959590.799,32.647,15.981,17.353,34.019,0,0,0,0,0,0,0,0,0,0,10158080,0,6684672,0,0,0,0,0,0,0,1262518272,0,720896,0,0,672,0,0,0,10408771584,608145408,54782885888,56514703360,133871,260689,8,11,114,23.700,19.550,11.260,0,0,23.700,19.550,11.260,10408771584,608145408,54782885888,56514703360,8,15,114,0,0,0,0,0,0,0,0,0,124,0,85,0,0,0,0,0,0,0,133,0,3,0,0,0,3872,248054,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,16384,45620,37265,0,0,0,0,0.800,1.100,0,0,0,55.400,0.100,0
1769959591.799,34.358,19.693,14.665,31.285,0,0,0,0,0,0,0,0,0,0,0,0,1179648,0,0,0,0,0,0,0,845643776,0,1572864,0,0,336,0,0,0,10427105280,589774848,54782922752,56496365568,156504,305776,9,12,93,23.700,19.550,11.260,0,2,23.700,19.550,11.260,10427105280,589774848,54782922752,56496365568,12,11,93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,201,0,14,0,0,0,3872,248162,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,16099,47830,48659,0,0,0,0,0,0,0,0,0,56,0,0
1769959592.799,35.282,19.346,13.083,32.289,0,0,0,0,0,0,0,0,0,0,1703936,0,32768,0,0,0,0,0,98304,0,0,0,0,0,0,336,0,0,0,10407653376,609361920,54782787584,56516009984,154886,303821,8,14,46,23.700,19.550,11.260,0,0,23.700,19.550,11.260,10407653376,609361920,54782787584,56516009984,9,12,46,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,3840,248182,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,5404,12570,13190,0,0,0,0,0.400,0.400,0,0,0,0,0,0
1769959593.799,33.823,19.147,15.024,32.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10341253120,675500032,54783049728,56582242304,157425,315137,8,12,18,23.700,19.550,11.260,0,2,23.700,19.550,11.260,10341253120,675500032,54783049728,56582242304,8,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,248011,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,7444,7029,23292,0,0,0,0,0,0,0,0,0,0,0,0
1769959594.799,32.797,17.483,15.594,34.126,0,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0,0,0,0,0,0,0,0,131072,0,0,0,0,0,0,10325176320,691568640,54783057920,56598319104,158274,307846,8,13,6,22.440,19.360,11.240,0,0,22.440,19.360,11.240,10325176320,691568640,54783057920,56598319104,8,12,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3808,247944,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,1114,2829,8407,0,0,0,0,0,0,0,0,0,0,0,0
1769959595.799,7.234,4.609,17.734,70.423,0,0,0,0,0,0,0,0,0,0,3014656,0,2883584,0,0,0,0,0,0,0,589824,0,753664,0,0,0,0,0,0,10326310912,690315264,54783176704,56597131264,38207,73704,2,17,5,22.440,19.360,11.240,0,2,22.440,19.360,11.240,10326310912,690315264,54783176704,56597131264,2,17,5,0,0,0,0,0,0,0,0,0,8,0,44,0,0,0,0,0,0,0,2,0,2,0,0,0,3808,247931,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,2853,2219,2422,0,0,0,0,0.500,0.600,0,0,0,0.300,0,0
1769959596.799,0.313,0.815,18.358,80.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,0,1081344,0,0,0,0,0,0,10324332544,692269056,54783201280,56599191552,2528,3558,1,17,14,22.440,19.360,11.240,0,0,22.440,19.360,11.240,10324332544,692269056,54783201280,56599191552,1,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,3776,247927,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,1057,809,985,0,0,0,0,0,0,0,0,0,0,0.100,0
1769959597.799,0.689,0.877,18.159,80.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229376,0,0,0,98304,0,0,0,0,0,0,10325504000,691073024,54783225856,56598036480,2528,3644,0,17,4,22.440,19.360,11.240,0,2,22.440,19.360,11.240,10325504000,691073024,54783225856,56598036480,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,3776,247928,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,688,4162,3724,0,0,0,0,0,0,0,0,0,0,0,0
