"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","3606c82e1518",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201151750/vertx-web-kotlinx-postgresql/query/stats.txt",,,,"Date:","01 Feb 2026 15:22:37 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769959357.526,1.491,0.718,97.163,0.628,0,413.064,0,218.223,0,4086.901,0,2340.166,0,148148.115,2843083.072,124289.651,2605922.280,175.119,3.817,3.976,0,4695.442,3331736.086,3090.266,3560619.692,130157.085,1333914.222,44.535,0,0,0,0,0,9928392704,3520307200,52397666304,56982589440,1603.683,4264.449,0,17,3.955,29.290,13.300,7.330,0.017,0.982,29.290,13.300,7.330,9928392704,3520307200,52397666304,56982638592,1,17,3.955,0.005,0,0.001,0,0.013,0,0.008,0,0.664,2.406,0.909,1.823,0.001,0.000,0.000,0,0.016,0.421,0.019,0.754,0.376,1.998,0.002,0,0,3744,247661,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0.180,825.193,1959.195,1983.656,0.000,0.000,0.000,0.000,0.473,0.472,0.000,0,0.008,0.136,0.025,0.000
1769959358.526,37.491,18.263,12.267,31.978,0,0,0,0,0,0,0,0,0,0,5734400,0,3768320,0,0,0,0,0,0,0,0,0,425984,0,0,672,0,0,0,9946996736,3500806144,52398596096,56964313088,131903,260548,10,14,93,29.290,13.300,7.330,0,2,29.290,13.300,7.330,9946996736,3500806144,52398596096,56964313088,9,11,93,0,0,0,0,0,0,0,0,0,74,0,50,0,0,0,0,0,0,0,0,0,3,0,0,0,3872,248065,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,13096,12149,6017,0,0,0,0,0.600,0.900,0,0,0,0,0,0
1769959359.526,38.128,20.950,15.363,25.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,336,0,0,0,9949794304,3497984000,52398620672,56961503232,147210,291721,8,12,15,27.910,13.280,7.350,0,0,27.910,13.280,7.350,9949794304,3497984000,52398620672,56961503232,10,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3904,248117,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,3782,2587,2783,0,0,0,0,0,0,0,0,0,0,0.100,0
1769959360.526,39.958,21.134,12.386,26.522,0,0,0,0,0,0,0,0,0,0,131072,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,9953525760,3494219776,52398653440,56957775872,142077,283515,11,14,46,27.910,13.280,7.350,0,2,27.910,13.280,7.350,9953525760,3494219776,52398653440,56957775872,10,15,46,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3904,248159,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,10136,12474,9508,0,0,0,0,0,0,0,0,0,0,0,0
1769959361.526,41.094,22.300,12.482,24.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048576,0,0,0,0,0,0,9922301952,3525386240,52398710784,56989016064,139741,282800,10,13,39,27.910,13.280,7.350,0,0,27.910,13.280,7.350,9922301952,3525386240,52398710784,56989016064,9,12,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3872,247947,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,9948,7107,18141,0,0,0,0,0,0,0,0,0,0,0,0
1769959362.526,38.219,20.547,13.885,27.349,0,0,0,0,0,0,0,0,0,0,294912,0,0,0,0,0,0,0,0,0,31358976,0,0,0,0,0,0,0,0,9909051392,3538599936,52398747648,57002258432,146764,299770,8,12,10,27.910,13.280,7.350,0,2,27.910,13.280,7.350,9909051392,3538599936,52398747648,57002258432,11,11,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,3872,247945,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,2283,5641,6359,0,0,0,0,0,0,0,0,0,0.400,0,0
1769959363.526,6.828,4.148,33.312,55.712,0,0,0,0,0,0,0,0,0,0,819200,0,2719744,0,0,0,0,0,131072,0,0,0,12845056,0,0,0,0,0,0,9899876352,3547668480,52398854144,57011408896,30621,58832,0,17,9,27.910,13.280,7.350,0,0,27.910,13.280,7.350,9899876352,3547668480,52398854144,57011408896,0,17,9,0,0,0,0,0,0,0,0,0,6,0,45,0,0,0,0,0,2,0,0,0,262,0,0,0,3840,247927,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,3806,2500,2916,0,0,0,0,0.200,0.200,0,0,0,0,0.500,0
1769959364.526,0.375,0.500,31,68.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,9900351488,3547164672,52398882816,57010929664,1320,1850,0,17,10,25.670,13.060,7.310,0,2,25.670,13.060,7.310,9900351488,3547164672,52398882816,57010929664,0,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3840,247927,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,1030,825,1455,0,0,0,0,0,0,0,0,0,0,0,0
1769959365.526,0.564,1.252,30.996,67.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9903697920,3543810048,52398891008,57007587328,2267,2678,1,17,27,25.670,13.060,7.310,0,0,25.670,13.060,7.310,9903697920,3543810048,52398891008,57007587328,1,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,247933,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,5418,3692,2937,0,0,0,0,0,0,0,0,0,0,0,0
