"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","3606c82e1518",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201151750/vertx-web-kotlinx-postgresql/update/stats.txt",,,,"Date:","01 Feb 2026 15:24:33 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769959473.680,1.614,0.771,96.957,0.658,0,412.135,0,217.731,0,4077.704,0,2334.900,0,147814.743,2838338.363,124009.966,2601375.443,174.725,3.809,3.967,0,4684.876,3324292.753,3083.312,3554287.631,129867.371,1331932.662,44.435,0,0,0,0,0,10681081856,2759221248,52405989376,56231170048,1679.143,4463.612,1,17,4.000,27.390,17.470,9.530,0.017,0.982,27.390,17.470,9.530,10681081856,2759221248,52405989376,56231170048,1,17,4.000,0.005,0,0.001,0,0.013,0,0.008,0,0.663,2.422,0.907,1.834,0.001,0.000,0.000,0,0.016,0.421,0.019,0.763,0.375,2.003,0.002,0,0,3776,247642,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0.179,834.240,2002.512,2023.157,0.000,0.000,0.000,0.000,0.472,0.471,0.000,0,0.008,0.135,0.025,0.000
1769959474.680,38.730,17.350,12.500,31.421,0,0,0,0,0,0,0,0,0,0,57212928,0,54853632,0,0,0,0,0,360448,0,0,0,1736704,0,0,672,0,0,0,10711658496,2720169984,52414238720,56200531968,119626,232211,7,12,96,26,17.340,9.530,0,2,26,17.340,9.530,10711658496,2720169984,52414238720,56200531968,8,14,96,0,0,0,0,0,0,0,0,0,95,0,66,0,0,0,0,0,5,0,0,0,7,0,0,0,3808,248147,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,20536,10612,9005,0,0,0,0,13.900,14.800,0,0,0,0,0,0
1769959475.680,39.187,16.942,11.639,32.231,0,0,0,0,0,0,0,0,0,0,41320448,0,49119232,0,0,0,0,0,0,0,114982912,0,32768,0,0,336,0,0,0,10697003008,2729500672,52419448832,56215076864,134927,260146,9,17,10,26,17.340,9.530,0,0,26,17.340,9.530,10697003008,2729500672,52419448832,56215076864,11,12,10,0,0,0,0,0,0,0,0,0,19,0,14,0,0,0,0,0,0,0,99,0,1,0,0,0,3904,248139,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,4543,2821,2508,0,0,0,0,12.800,13.500,0,0,0,0.900,0,0
1769959476.680,40.567,19.005,10.850,29.578,0,0,0,0,0,0,0,0,0,0,42434560,0,33554432,0,0,0,0,0,0,0,622592,0,98304,0,0,336,0,0,0,10715185152,2721824768,52408811520,56196870144,132836,258202,9,13,30,26,17.340,9.530,0,0,26,17.340,9.530,10715185152,2721824768,52408811520,56196870144,11,11,30,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,2,0,1,0,0,0,3872,248154,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,9250,14362,8039,0,0,0,0,8.900,9.200,0,0,0,0.700,0,0
1769959477.680,39.394,19.077,12.603,28.926,0,0,0,0,0,0,0,0,0,0,41385984,0,40894464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10683781120,2747723776,52414316544,56228257792,134289,274952,7,11,37,26,17.340,9.530,0,2,26,17.340,9.530,10683781120,2747723776,52414316544,56228257792,11,10,37,0,0,0,0,0,0,0,0,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3840,247950,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,4909,5364,20690,0,0,0,0,8.700,9.400,0,0,0,0,0,0
1769959478.680,38.583,19.051,13.480,28.886,0,0,0,0,0,0,0,0,0,0,34570240,0,34078720,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,10704621568,2708590592,52432609280,56193568768,135534,263913,10,12,86,26,17.340,9.530,0,0,26,17.340,9.530,10704621568,2708590592,52432609280,56193568768,9,16,86,0,0,0,0,0,0,0,0,0,16,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,3840,247997,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,14955,38372,39334,0,0,0,0,7.400,7.900,0,0,0,0,0,0
1769959479.680,7.330,3.569,25.239,63.862,0,0,0,0,0,0,0,0,0,0,15269888,0,14352384,0,0,0,0,0,0,0,0,0,1998848,0,0,0,0,0,0,10674712576,2750726144,52420382720,56237236224,28358,54144,1,17,5,23.920,17.050,9.480,0,2,23.920,17.050,9.480,10674712576,2750726144,52420382720,56237236224,1,17,5,0,0,0,0,0,0,0,0,0,70,0,55,0,0,0,0,0,0,0,0,0,6,0,0,0,3840,247920,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,866,1091,1220,0,0,0,0,2.900,3.200,0,0,0,0,0,0
1769959480.680,0.501,0.939,24.671,73.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,0,262144,0,0,0,0,0,0,10676203520,2749194240,52420423680,56235913216,2477,3209,1,17,12,23.920,17.050,9.480,0,0,23.920,17.050,9.480,10676203520,2749194240,52420423680,56235913216,1,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,3808,247960,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,3471,2213,2149,0,0,0,0,0,0,0,0,0,0,0,0
1769959481.680,0.188,0.375,24.906,74.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,0,0,10676461568,2748936192,52420423680,56235679744,1709,2350,0,17,4,23.920,17.050,9.480,0,2,23.920,17.050,9.480,10676461568,2748936192,52420423680,56235679744,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3808,247905,0,0,0,0,0,0,0,110,1,1,0,0,1,0,0,0,0,0,1,0,0,106,0,106,0,68,151,334,0,0,0,0,0,0,0,0,0,0.200,0,0
