"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","beb1a633dcfe",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201153730/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/db/stats.txt",,,,"Date:","01 Feb 2026 15:39:58 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769960398.528,1.879,0.882,96.448,0.790,0,404.881,0,213.899,0,4005.933,0,2293.804,0,145924.631,3261546.429,122332.421,3020869.903,171.649,3.742,3.898,0,4602.419,3266219.160,3029.044,3837132.998,127592.830,1316404.512,43.653,0,0,0,0,0,10028175360,2399113216,53385670656,56926703616,1880.720,5154.807,2,17,4.376,1.020,2.990,6.630,0.016,0.982,1.020,2.990,6.630,10028175360,2399113216,53385670656,56926703616,1,17,4.376,0.005,0,0.001,0,0.013,0,0.008,0,0.654,2.802,0.894,2.150,0.001,0.000,0.000,0,0.016,0.421,0.019,0.853,0.369,2.047,0.001,0,0,3872,251129,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0.176,916.773,2212.627,2234.171,0.000,0.000,0.000,0.000,0.545,0.551,0.000,0,0.008,0.149,0.025,0.000
1769960399.528,46.333,16,13.467,24.200,0,0,0,0,0,0,0,0,0,0,5734400,0,3964928,0,0,0,0,0,0,0,0,0,589824,0,0,672,0,0,0,10064506880,2361966592,53386452992,56890679296,100197,228180,8,15,53,1.660,3.090,6.640,0,0,1.660,3.090,6.640,10064506880,2361966592,53386452992,56890679296,8,12,53,0,0,0,0,0,0,0,0,0,77,0,53,0,0,0,0,0,0,0,0,0,5,0,0,0,3872,251326,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,3769,27585,24947,0,0,0,0,0.500,0.700,0,0,0,0,0.100,0
1769960400.528,33.543,18.029,12.788,35.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106135552,589824,98304,0,0,336,0,0,0,10066403328,2359930880,53386559488,56888774656,159318,310515,6,13,17,1.660,3.090,6.640,0,2,1.660,3.090,6.640,10066403328,2359930880,53386559488,56888774656,7,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,10,2,0,0,0,3936,251389,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,4093,2737,2654,0,0,0,0,0,0,0,0,0,3,0.300,0
1769960401.528,33.125,17.361,16.181,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,0,0,0,0,336,0,0,0,10065641472,2360688640,53386563584,56889536512,160245,312360,8,14,1,1.660,3.090,6.640,0,0,1.660,3.090,6.640,10065641472,2360688640,53386563584,56889536512,9,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3936,251391,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,129,300,292,0,0,0,0,0,0,0,0,0,0,0,0
1769960402.528,38.446,21.582,13.810,26.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10042916864,2383409152,53386584064,56912302080,144247,303068,8,12,88,1.660,3.090,6.640,0,2,1.660,3.090,6.640,10042916864,2383409152,53386584064,56912302080,8,14,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872,251220,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,18821,19548,24116,0,0,0,0,0,0,0,0,0,0,0,0
1769960403.528,34.054,17.655,16.609,31.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10045829120,2380439552,53386641408,56909373440,159183,318263,8,14,7,1.660,3.090,6.640,0,0,1.660,3.090,6.640,10045829120,2380439552,53386641408,56909373440,8,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872,251160,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,1409,14428,16369,0,0,0,0,0,0,0,0,0,0,0,0
1769960404.528,6.607,4.490,16.677,72.226,0,0,0,0,0,0,0,0,0,0,2523136,0,2326528,0,0,0,0,0,0,0,819200,0,917504,0,0,0,0,0,0,10047782912,2378223616,53386903552,56907223040,37707,71639,2,17,34,1.520,3.030,6.610,0,2,1.520,3.030,6.610,10047782912,2378223616,53386903552,56907223040,1,17,34,0,0,0,0,0,0,0,0,0,40,0,37,0,0,0,0,0,0,0,2,0,3,0,0,0,3840,251145,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,9164,19754,11671,0,0,0,0,0.500,0.500,0,0,0,0.300,0,0
1769960405.528,0.689,0.877,0,98.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163840,0,0,0,0,0,0,10042744832,2383441920,53386723328,56912506880,4977,6382,0,17,58,1.520,3.030,6.610,0,0,1.520,3.030,6.610,10042744832,2383441920,53386723328,56912506880,0,17,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3840,251106,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,4969,11417,20184,0,0,0,0,0,0,0,0,0,0,0,0
1769960406.528,0.250,0.814,0,98.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10050301952,2375884800,53386723328,56904949760,2041,2755,0,17,7,1.520,3.030,6.610,0,2,1.520,3.030,6.610,10050301952,2375884800,53386723328,56904949760,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,251106,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,2579,4773,4440,0,0,0,0,0,0,0,0,0,0,0,0
