"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","beb1a633dcfe",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201153730/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/fortune/stats.txt",,,,"Date:","01 Feb 2026 15:46:04 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769960764.327,2.278,1.015,95.812,0.895,0,402.082,0,212.420,0,3978.238,0,2277.946,0,144921.979,3502797.376,121491.015,3261104.422,170.463,3.716,3.871,0,4570.600,3243807.949,3008.102,3939772.826,126721.868,1310618.094,43.351,0,0,0,0,0,12090146816,602726400,53136805888,54708523008,2103.634,5876.832,1,17,4.534,18.100,16.750,12.040,0.016,0.982,18.100,16.750,12.040,12090138624,602726400,53136814080,54708523008,1,19,4.534,0.005,0,0.001,0,0.013,0,0.008,0,0.649,2.911,0.888,2.242,0.001,0.000,0.000,0,0.016,0.421,0.018,0.891,0.366,2.065,0.001,0,0,3776,248238,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0.175,951.922,2322.324,2341.852,0.000,0.000,0.000,0.000,0.589,0.600,0.000,0,0.008,0.153,0.025,0.000
1769960765.327,33.196,15.264,14.442,37.098,0,0,0,0,0,0,0,0,0,0,7503872,0,5242880,0,0,0,0,0,262144,0,0,688128,851968,0,0,672,0,0,0,12095840256,595808256,53137965056,54703009792,127102,248876,8,13,115,18.100,16.750,12.040,0,2,18.100,16.750,12.040,12095840256,595808256,53137965056,54703009792,8,14,115,0,0,0,0,0,0,0,0,0,86,0,57,0,0,0,0,0,5,0,0,1,4,0,0,0,3776,248668,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1,14201,17133,17003,0,0,0,0,1,1.200,0,0,0,0,0.200,0
1769960766.327,34.464,16.886,13.702,34.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,12069666816,621981696,53137965056,54729183232,152307,294082,10,15,7,18.100,16.750,12.040,0,0,18.100,16.750,12.040,12069666816,621981696,53137965056,54729183232,8,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,248734,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2361,4717,11596,0,0,0,0,0,0,0,0,0,0,0,0
1769960767.327,34.097,16.181,15.625,34.097,0,0,0,0,0,0,0,0,0,0,0,0,1900544,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,12036927488,654721024,53137965056,54761930752,151572,293431,8,13,2,18.100,16.750,12.040,0,2,18.100,16.750,12.040,12036927488,654721024,53137965056,54761930752,8,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,248720,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,173,3162,9449,0,0,0,0,0,0,0,0,0,0,0,0
1769960768.327,35.152,18.094,15.608,31.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360448,0,32768,0,0,0,0,0,0,12013170688,678453248,53137989632,54785679360,151325,292707,10,14,44,18.100,16.750,12.040,0,0,18.100,16.750,12.040,12013170688,678453248,53137989632,54785679360,9,10,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3808,248777,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9884,17105,29039,0,0,0,0,0,0,0,0,0,0.200,0,0
1769960769.327,36.351,19.350,14.375,29.924,0,0,0,0,0,0,0,0,0,0,0,0,1540096,0,0,0,0,0,0,0,0,0,12681216,0,0,0,0,0,0,11954794496,736714752,53138087936,54844063744,147859,287680,8,12,35,17.530,16.650,12.030,0,2,17.530,16.650,12.030,11954794496,736714752,53138087936,54844063744,8,14,35,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,283,0,0,0,3744,248552,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5470,5414,12609,0,0,0,0,0,0,0,0,0,0,0.400,0
1769960770.327,7.742,3.967,27.383,60.909,0,0,0,0,0,0,0,0,0,0,4521984,0,950272,0,0,0,0,0,0,0,0,0,753664,0,0,0,0,0,0,11942834176,748544000,53138214912,54856028160,36815,70927,0,17,2,17.530,16.650,12.030,0,0,17.530,16.650,12.030,11942834176,748544000,53138214912,54856028160,0,17,2,0,0,0,0,0,0,0,0,0,43,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,3744,248526,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,285,890,1234,0,0,0,0,1.100,1.100,0,0,0,0,0.100,0
1769960771.327,0.125,0.751,24.796,74.327,0,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0,0,0,0,98304,0,0,0,0,0,0,0,0,0,0,11942973440,748216320,53138403328,54855892992,1712,2455,0,17,7,17.530,16.650,12.030,0,2,17.530,16.650,12.030,11942973440,748216320,53138403328,54855892992,0,17,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3712,248534,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2375,1682,1698,0,0,0,0,0,0,0,0,0,0,0,0
1769960772.327,0.125,0.313,24.969,74.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,11942973440,748216320,53138403328,54855892992,907,1116,0,17,1,17.530,16.650,12.030,0,0,17.530,16.650,12.030,11942973440,748216320,53138403328,54855892992,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3712,248534,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,149,250,230,0,0,0,0,0,0,0,0,0,0,0,0
