"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","beb1a633dcfe",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201153730/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/query/stats.txt",,,,"Date:","01 Feb 2026 15:42:11 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769960531.789,2.005,0.948,96.217,0.830,0,403.856,0,213.358,0,3995.799,0,2288.001,0,145558.599,3254544.198,122024.826,3014204.676,171.215,3.732,3.888,0,4590.776,3258022.620,3021.381,3830208.036,127281.258,1314350.851,43.542,0,0,0,0,0,9940807680,2478419968,53393371136,57015676928,1975.634,5538.700,1,17,4.433,25.240,11.360,9.200,0.016,0.982,25.240,11.360,9.200,9940803584,2478419968,53393375232,57015676928,1,19,4.433,0.005,0,0.001,0,0.013,0,0.008,0,0.652,2.812,0.892,2.157,0.001,0.000,0.000,0,0.016,0.421,0.018,0.862,0.368,2.054,0.001,0,0,3808,250789,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0.176,927.344,2240.692,2262.306,0.000,0.000,0.000,0.000,0.544,0.550,0.000,0,0.008,0.149,0.025,0.000
1769960532.790,38.004,15.995,11.415,34.586,0,0,0,0,0,0,0,0,0,0,14614528,0,9699328,0,0,0,0,0,0,0,0,0,524288,0,0,672,0,0,0,10003521536,2413834240,53395189760,56953368576,119071,235710,9,12,116,25.240,11.360,9.200,0,0,25.240,11.360,9.200,10003521536,2413834240,53395189760,56953368576,9,11,116,0,0,0,0,0,0,0,0,0,187,0,126,0,0,0,0,0,0,0,0,0,3,0,0,0,3904,251236,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1,14770,13969,6915,0,0,0,0,1.300,1.500,0,0,0,0,0,0
1769960533.790,40.264,20.932,13.491,25.313,0,0,0,0,0,0,0,0,0,0,131072,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,10009976832,2407354368,53395214336,56946929664,134358,267632,11,12,27,25.240,11.360,9.200,0,2,25.240,11.360,9.200,10009976832,2407354368,53395214336,56946929664,12,12,27,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3840,251330,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7598,4870,3913,0,0,0,0,0,0,0,0,0,0,0,0
1769960534.790,40.223,19.204,12.430,28.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,10009681920,2407636992,53395226624,56947216384,137185,272515,10,12,6,23.860,11.310,9.200,0,0,23.860,11.310,9.200,10009681920,2407636992,53395226624,56947216384,9,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872,251326,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3947,9491,3542,0,0,0,0,0,0,0,0,0,0,0,0
1769960535.790,40.182,19.427,13.557,26.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,0,98304,0,65536,0,0,0,0,0,0,9979346944,2437902336,53395296256,56977575936,137800,280650,10,9,36,23.860,11.310,9.200,0,2,23.860,11.310,9.200,9979346944,2437902336,53395296256,56977575936,10,14,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,3744,251137,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6445,5299,20909,0,0,0,0,0,0,0,0,0,0.200,0,0
1769960536.790,39.318,19.485,13.918,27.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,0,0,0,0,9982582784,2434629632,53395333120,56974327808,138395,274075,9,10,20,23.860,11.310,9.200,0,0,23.860,11.310,9.200,9982582784,2434629632,53395333120,56974327808,9,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3744,251130,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2598,1947,2871,0,0,0,0,0,0,0,0,0,0,0,0
1769960537.790,8.729,4.942,19.705,66.624,0,0,0,0,0,0,0,0,0,0,2654208,0,2129920,0,0,0,0,0,0,0,0,0,5734400,0,0,0,0,0,0,10004029440,2412998656,53395513344,56952922112,38148,71585,0,17,75,23.860,11.310,9.200,0,2,23.860,11.310,9.200,10004029440,2412998656,53395513344,56952922112,0,17,75,0,0,0,0,0,0,0,0,0,43,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,3744,251112,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,10956,29616,29991,0,0,0,0,0.500,0.500,0,0,0,0,0.100,0
1769960538.790,1.500,1.688,13.188,83.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10007896064,2409127936,53395517440,56949055488,2664,3131,0,17,27,23.860,11.310,9.200,0,0,23.860,11.310,9.200,10007896064,2409127936,53395517440,56949055488,0,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3712,251115,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5391,3752,3758,0,0,0,0,0,0,0,0,0,0,0,0
1769960539.790,1.942,1.566,8.208,88.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10003734528,2413289472,53395517440,56953217024,2846,3188,0,17,24,22.030,11.140,9.150,0,2,22.030,11.140,9.150,10003734528,2413289472,53395517440,56953217024,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3680,251116,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5279,7452,7421,0,0,0,0,0,0,0,0,0,0,0,0
