"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","beb1a633dcfe",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201153730/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","01 Feb 2026 15:44:07 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769960648.001,2.131,0.993,96.014,0.863,0,402.967,0,212.888,0,3987.003,0,2282.965,0,145240.657,3248961.267,121758.069,3008844.208,170.838,3.724,3.879,0,4580.670,3250908.297,3014.730,3823438.555,127001.067,1312459.261,43.447,0,0,0,0,0,12232052736,802078720,52789403648,54726053888,2046.739,5688.551,1,19,4.484,26.250,16.130,11.180,0.016,0.982,26.250,16.130,11.180,12232052736,802078720,52789403648,54726115328,1,19,4.484,0.005,0,0.001,0,0.013,0,0.008,0,0.651,2.824,0.890,2.165,0.001,0.000,0.000,0,0.016,0.421,0.018,0.869,0.367,2.058,0.001,0,0,3776,250157,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0.176,939.675,2291.330,2310.810,0.000,0.000,0.000,0.000,0.543,0.549,0.000,0,0.008,0.149,0.025,0.000
1769960649.001,39.757,14.807,11.089,34.348,0,0,0,0,0,0,0,0,0,0,65961984,0,61112320,0,0,0,0,0,0,0,327680,0,786432,0,0,672,0,0,0,12266754048,756936704,52799844352,54690164736,103502,204012,7,15,111,26.250,16.130,11.180,0,2,26.250,16.130,11.180,12266737664,756936704,52799860736,54690164736,9,13,111,0,0,0,0,0,0,0,0,0,210,0,142,0,0,0,0,0,0,0,2,0,3,0,0,0,3808,250613,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,27364,16607,6981,0,0,0,0,14.900,15.800,0,0,0,0.300,0.100,0
1769960650.001,41.986,17.603,11.438,28.973,0,0,0,0,0,0,0,0,0,0,54099968,0,53411840,0,0,0,0,0,0,0,0,0,720896,0,0,336,0,0,0,12267761664,746893312,52808880128,54688002048,123396,240667,13,13,35,24.950,16.020,11.180,0,0,24.950,16.020,11.180,12267761664,746893312,52808880128,54688002048,11,13,35,0,0,0,0,0,0,0,0,0,21,0,14,0,0,0,0,0,0,0,0,0,18,0,0,0,3840,250682,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,13720,15822,3707,0,0,0,0,15,15.800,0,0,0,0,0,0
1769960651.001,40.300,17.155,13.751,28.795,0,0,0,0,0,0,0,0,0,0,59408384,0,58720256,0,0,0,0,0,0,0,0,0,98304,0,0,336,0,0,0,12267048960,753848320,52803059712,54687346688,122727,238702,9,13,70,24.950,16.020,11.180,0,2,24.950,16.020,11.180,12267048960,753848320,52803059712,54687346688,8,12,70,0,0,0,0,0,0,0,0,0,21,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,3808,250669,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8803,22687,34070,0,0,0,0,10.200,10.800,0,0,0,0,0,0
1769960652.001,42.575,17.234,10.763,29.428,0,0,0,0,0,0,0,0,0,0,59408384,0,58720256,0,0,0,0,0,0,0,201326592,0,32768,0,0,0,0,0,0,12247769088,761442304,52814745600,54704664576,119801,235991,17,10,53,24.950,16.020,11.180,0,0,24.950,16.020,11.180,12247769088,761442304,52814745600,54704664576,9,13,53,0,0,0,0,0,0,0,0,0,22,0,20,0,0,0,0,0,0,0,63,0,1,0,0,0,3776,250529,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,12554,19257,23821,0,0,0,0,12.500,13.200,0,0,0,0.800,0.100,0
1769960653.001,41.621,16.140,10.027,32.212,0,0,0,0,0,0,0,0,0,0,187531264,0,186744832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12242477056,760139776,52821348352,54708789248,128117,249755,10,15,6,24.950,16.020,11.180,0,2,24.950,16.020,11.180,12242477056,760139776,52821348352,54708789248,9,11,6,0,0,0,0,0,0,0,0,0,44,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,250515,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1687,10596,8145,0,0,0,0,41,42.400,0,0,0,0,0,0
1769960654.001,10.563,5.250,19.910,64.277,0,0,0,0,0,0,0,0,0,0,19824640,0,19005440,0,0,0,0,0,98304,0,327680,0,13074432,0,0,0,0,0,0,12243931136,757637120,52822396928,54707101696,32869,60672,0,17,29,24.950,16.020,11.180,0,0,24.950,16.020,11.180,12243931136,757637120,52822396928,54707101696,0,17,29,0,0,0,0,0,0,0,0,0,63,0,54,0,0,0,0,0,2,0,2,0,271,0,0,0,3744,250498,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7355,4713,4872,0,0,0,0,4,4.300,0,0,0,0.300,0.300,0
1769960655.001,0.063,0.313,9.267,90.357,0,0,0,0,0,0,0,0,0,0,393216,0,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12241772544,759734272,52822458368,54709276672,763,1076,0,17,1,22.950,15.760,11.120,0,2,22.950,15.760,11.120,12241772544,759734272,52822458368,54709276672,0,17,1,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3744,250496,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,773,248,227,0,0,0,0,0.100,0.200,0,0,0,0,0,0
1769960656.001,1.501,1.751,10.131,86.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12246405120,755097600,52822462464,54704713728,2579,2866,1,17,28,22.950,15.760,11.120,0,0,22.950,15.760,11.120,12246405120,755097600,52822462464,54704713728,0,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3744,250496,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8000,4375,4362,0,0,0,0,0,0,0,0,0,0,0,0
