"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","beb1a633dcfe",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201153730/vertx-web-kotlinx-postgresql/db/stats.txt",,,,"Date:","01 Feb 2026 15:50:47 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769961047.263,2.437,1.077,95.487,0.999,0,399.943,0,211.291,0,3957.078,0,2265.829,0,144164.691,3662715.745,120873.140,3418663.441,169.556,3.696,3.850,0,4546.289,3226690.872,2992.102,4088633.783,126071.858,1307382.995,43.121,0,0,0,0,0,9967132672,2785984512,53067005952,57016164352,2227.822,6276.459,1,17,4.711,3.800,12.750,11.970,0.016,0.982,3.800,12.750,11.970,9967906816,2785210368,53067005952,57015390208,2,17,4.711,0.005,0,0.001,0,0.013,0,0.008,0,0.646,3.144,0.884,2.454,0.001,0.000,0.000,0,0.016,0.422,0.018,0.943,0.365,2.103,0.001,0,0,3840,251752,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0.174,995.545,2440.519,2470.258,0.000,0.000,0.000,0.000,0.612,0.625,0.000,0,0.008,0.158,0.025,0.000
1769961048.263,36.982,16.655,12.576,33.787,0,0,0,0,0,0,0,0,0,0,6848512,0,4980736,0,0,0,0,0,0,0,0,0,491520,0,0,672,0,0,0,10063831040,2688131072,53068111872,56919674880,120271,245941,10,13,137,3.800,12.750,11.970,0,2,3.800,12.750,11.970,10063831040,2688131072,53068111872,56919674880,8,12,135,0,0,0,0,0,0,0,0,0,90,0,61,0,0,0,0,0,0,0,0,0,3,0,0,0,3840,252054,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,14788,36875,20424,0,0,0,0,0.700,1.100,0,0,0,0,0,0
1769961049.263,34.677,20.987,12.648,31.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21364736,0,0,336,0,0,0,10104086528,2648023040,53067964416,56879620096,152417,317774,8,15,86,3.800,12.750,11.970,0,0,3.800,12.750,11.970,10104086528,2648023040,53067964416,56879620096,8,12,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,3872,252130,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,17884,39893,34389,0,0,0,0,0,0,0,0,0,0,0.500,0
1769961050.263,31.975,17.850,15.109,35.067,0,0,0,0,0,0,0,0,0,0,131072,0,32768,0,0,0,0,0,0,0,0,0,32768,0,0,336,0,0,0,10116501504,2635345920,53068226560,56867008512,165827,324167,8,13,9,4.140,12.670,11.940,0,2,4.140,12.670,11.940,10116501504,2635345920,53068226560,56867008512,8,16,9,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3904,252129,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,956,6512,6025,0,0,0,0,0.100,0.100,0,0,0,0,0.100,0
1769961051.263,34.008,20.112,14.106,31.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102596608,0,0,0,0,0,0,0,0,10107478016,2644348928,53068247040,56876036096,157784,312773,8,12,27,4.140,12.670,11.940,0,0,4.140,12.670,11.940,10107478016,2644348928,53068247040,56876036096,8,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,3904,252129,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,10323,4878,4854,0,0,0,0,0,0,0,0,0,5.100,0,0
1769961052.263,31.818,18.042,17.413,32.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10056679424,2695139328,53068255232,56926830592,164946,323477,8,13,1,4.140,12.670,11.940,0,2,4.140,12.670,11.940,10056679424,2695139328,53068255232,56926830592,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872,251883,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,1761,1831,9453,0,0,0,0,0,0,0,0,0,0,0,0
1769961053.263,7.648,5.334,22.622,64.396,0,0,0,0,0,0,0,0,0,0,3211264,0,2490368,0,0,0,0,0,98304,0,655360,0,1605632,0,0,0,0,0,0,10037923840,2713812992,53068337152,56945606656,43645,84615,0,17,19,4.140,12.670,11.940,0,0,4.140,12.670,11.940,10037923840,2713812992,53068337152,56945606656,0,17,19,0,0,0,0,0,0,0,0,0,47,0,35,0,0,0,0,0,2,0,2,0,23,0,0,0,3840,251926,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,5841,3532,4259,0,0,0,0,0.900,1,0,0,0,0.200,0.100,0
1769961054.263,1.065,1.065,5.952,91.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10034544640,2717024256,53068505088,56948961280,5204,7305,0,17,36,4.140,12.670,11.940,0,2,4.140,12.670,11.940,10034544640,2717024256,53068505088,56948961280,0,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,251872,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,5784,10832,10980,0,0,0,0,0,0,0,0,0,0,0,0
1769961055.263,0.313,0.877,6.203,92.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,0,0,0,0,10031738880,2719789056,53068546048,56951754752,2377,3151,0,17,17,3.880,12.480,11.890,0,0,3.880,12.480,11.890,10031738880,2719789056,53068546048,56951754752,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3776,251879,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,4562,2424,2484,0,0,0,0,0,0,0,0,0,0,0,0
