"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","beb1a633dcfe",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201153730/vertx-web-kotlinx-postgresql/fortune/stats.txt",,,,"Date:","01 Feb 2026 15:56:52 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/loop8",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/loop8",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","loo8","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/loop8:read","dsk/loop8:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/loop8:read","io/loop8:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","loo8:util","sda:util","sdb:util","sdc:util","sr0:util"
1769961412.789,2.787,1.239,94.875,1.099,0,397.978,0,210.155,0,3930.226,0,4095.872,0,143180.833,3937728.268,120048.237,3691868.300,168.399,3.671,317.526,0,171.458,0,4515.263,3204842.731,2971.683,4205788.751,142193.306,1319637.067,42.826,0,0,0,0,0,10431512576,737746944,54615728128,56567095296,2462.196,7128.654,1,17,4.860,23.930,21.560,16.350,0.016,0.982,23.930,21.560,16.350,10431512576,737746944,54615728128,56567095296,1,17,4.860,0.005,0,0.001,0,0.013,0,0.013,0,0.642,3.274,0.878,2.553,0.001,0.000,0.004,0,0.001,0,0.016,0.422,0.018,0.979,0.379,2.144,0.001,0,0,3744,252228,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0.177,1025.618,2549.260,2569.415,0.000,0.000,0.000,0.000,0.664,0.684,0.000,0.000,0.000,0.008,0.163,0.026,0.000
1769961413.789,31.023,15.854,14.207,38.916,0,0,0,0,0,0,0,0,0,0,14450688,0,10616832,0,0,0,0,0,0,0,0,0,436207616,0,589824,0,0,672,0,0,0,10437464064,730066944,54617456640,56561467392,136000,264734,8,12,111,23.930,21.560,16.350,0,0,23.930,21.560,16.350,10437464064,730066944,54617456640,56561467392,8,12,111,0,0,0,0,0,0,0,0,0,185,0,126,0,0,0,0,0,0,0,0,0,81,0,3,0,0,0,3808,252673,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,14945,22470,17492,0,0,0,0,0.800,1.100,0,0,0,0,2.100,0.100,0
1769961414.789,33.542,18.580,15.170,32.707,0,0,0,0,0,0,0,0,0,0,131072,0,32768,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,336,0,0,0,10421022720,746405888,54617526272,56577925120,157381,313894,9,14,26,22.810,21.370,16.310,0,2,22.810,21.370,16.310,10421022720,746405888,54617526272,56577925120,9,13,26,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3840,252719,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4904,13280,18402,0,0,0,0,0,0.200,0,0,0,0,0,0,0
1769961415.789,36.332,18.828,14.365,30.474,0,0,0,0,0,0,0,0,0,0,0,0,1376256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,10403897344,763502592,54617554944,56595099648,155059,304409,9,13,30,22.810,21.370,16.310,0,0,22.810,21.370,16.310,10403897344,763502592,54617554944,56595099648,9,15,30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,252793,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5362,5182,10670,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961416.789,33.008,17.516,15.352,34.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425984,0,0,0,0,0,0,0,0,10355777536,811610112,54617567232,56643244032,159766,311056,8,12,12,22.810,21.370,16.310,0,2,22.810,21.370,16.310,10355777536,811610112,54617567232,56643244032,7,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3776,252552,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,3951,5689,17878,0,0,0,0,0,0,0,0,0,0,0.300,0,0
1769961417.789,33.934,19.391,15.928,30.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,10388602880,778743808,54617608192,56610410496,160168,312530,8,12,93,22.810,21.370,16.310,0,0,22.810,21.370,16.310,10388602880,778743808,54617608192,56610410496,8,13,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3808,252549,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,15474,34963,38759,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961418.789,7.405,4.765,22.988,64.842,0,0,0,0,0,0,0,0,0,0,2457600,0,4980736,0,0,0,0,0,0,0,98304,0,767983616,0,720896,0,0,0,0,0,0,10377728000,789573632,54617653248,56621301760,40725,78721,0,18,2,22.810,21.370,16.310,0,2,22.810,21.370,16.310,10377728000,789573632,54617653248,56621301760,0,18,2,0,0,0,0,0,0,0,0,0,14,0,47,0,0,0,0,0,0,0,2,0,156,0,3,0,0,0,3808,252520,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,303,607,2548,0,0,0,0,0.500,0.700,0,0,0,0,27.200,0.100,0
1769961419.789,0.376,1.129,24.828,73.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656375808,0,0,0,0,0,0,0,0,10361122816,806162432,54617669632,56637927424,3928,5195,1,17,32,20.990,21.010,16.220,0,0,20.990,21.010,16.220,10361122816,806162432,54617669632,56637927424,1,17,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,3840,252548,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,7282,11418,11359,0,0,0,0,0,0,0,0,0,0,39.600,0,0
1769961420.789,0.814,0.626,20.476,78.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163840,0,0,0,0,0,0,10360745984,806477824,54617731072,56638291968,2733,4196,0,17,4,20.990,21.010,16.220,0,2,20.990,21.010,16.220,10360745984,806477824,54617731072,56638291968,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3808,252538,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,722,577,616,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961421.789,0.250,0.876,14.384,84.490,0,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10361503744,805703680,54617747456,56637542400,2076,2776,0,17,17,20.990,21.010,16.220,0,0,20.990,21.010,16.220,10361503744,805703680,54617747456,56637542400,0,17,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,252541,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5352,3190,2995,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961422.789,0.312,0.500,12.438,86.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,10361290752,805892096,54617772032,56637755392,1290,1670,0,17,15,20.990,21.010,16.220,0,2,20.990,21.010,16.220,10361290752,805892096,54617772032,56637755392,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3808,252535,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1815,1272,1447,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961423.789,50.939,22.778,3.942,22.340,0,0,0,0,0,0,0,0,0,0,7307264,0,1048576,0,0,0,0,0,0,0,0,0,393216,0,622592,0,0,0,0,0,0,10425323520,741740544,54617890816,56573775872,25347,61002,36,2,24,20.990,21.010,16.220,0,0,20.990,21.010,16.220,10425323520,741740544,54617890816,56573775872,31,4,24,0,0,0,0,0,0,0,0,0,53,0,16,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4576,253557,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,6373,139595,111693,0,0,0,0,2,2,0,0,0,0,0.400,0.100,0
1769961424.789,67.334,31.727,0.751,0.188,0,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10728374272,645619712,54414340096,56270508032,33578,84153,40,3,1,21.710,21.160,16.300,0,2,21.710,21.160,16.300,10728833024,645160960,54414340096,56270049280,42,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4576,253560,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,11575,190060,189771,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961425.789,66.416,32.769,0.627,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10996035584,586629120,54210301952,56002813952,34865,109753,29,1,54,21.710,21.160,16.300,0,0,21.710,21.160,16.300,10996035584,586629120,54210301952,56002813952,30,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4704,253572,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,54961,143516,140085,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961426.789,69.173,30.013,0.627,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655360,0,98304,0,0,0,0,0,0,10973495296,609161216,54210310144,56025387008,33061,82623,36,3,11,21.710,21.160,16.300,0,2,21.710,21.160,16.300,10973495296,609161216,54210310144,56025387008,36,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,4736,253570,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,3479,47540,48236,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961427.789,65.811,32.937,1.002,0.250,0,0,0,0,0,0,0,0,0,0,14286848,0,8060928,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,10982563840,806219776,54005690368,56016723968,34031,94952,34,3,93,21.710,21.160,16.300,0,0,21.710,21.160,16.300,10982563840,806219776,54005690368,56016723968,38,2,93,0,0,0,0,0,0,0,0,0,245,0,122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4736,253569,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,15394,74501,125082,0,0,0,0,2.700,3.700,0,0,0,0,0,0,0
1769961428.791,68.329,30.611,0.748,0.312,0,0,0,0,0,0,0,0,0,0,1572864,0,1867776,0,0,0,0,0,0,0,0,0,98304,0,491520,0,0,0,0,0,0,10970484736,817741824,54006247424,56028811264,32429,91358,34,2,2,21.710,21.160,16.300,0,2,21.710,21.160,16.300,10970484736,817741824,54006247424,56028811264,38,1,2,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4704,253564,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1608,44766,45224,0,0,0,0,0.500,0.600,0,0,0,0,0.400,0,0
1769961429.789,68.028,30.842,0.879,0.251,0,0,0,0,0,0,0,0,0,0,720896,0,294912,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,0,0,0,0,10973274112,814854144,54006345728,56026046464,31152,90886,31,1,7,22.530,21.340,16.380,0,0,22.530,21.340,16.380,10973274112,814854144,54006345728,56026046464,39,1,7,0,0,0,0,0,0,0,0,0,16,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4704,253575,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4165,43790,44653,0,0,0,0,0.100,0.200,0,0,0,0,0,0,0
1769961430.789,68.316,30.557,0.877,0.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10970267648,817639424,54006566912,56028864512,30986,96297,37,3,30,22.530,21.340,16.380,0,2,22.530,21.340,16.380,10970267648,817639424,54006566912,56028864512,33,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,253585,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4885,52035,52829,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961431.792,68.040,30.961,0.811,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10959880192,828166144,54006427648,56039456768,30902,118807,31,1,1,22.530,21.340,16.380,0,0,22.530,21.340,16.380,10959880192,828166144,54006427648,56039456768,31,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,253572,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1983,42951,43770,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961432.789,67.716,31.340,0.755,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163840,0,0,0,131072,0,0,0,0,0,0,10956890112,831131648,54006452224,56042442752,29943,93196,32,1,15,22.530,21.340,16.380,0,2,22.530,21.340,16.380,10956890112,831131648,54006452224,56042442752,36,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,4800,253565,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,3002,43153,44198,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961433.789,68.879,30.182,0.814,0.125,0,0,0,0,0,0,0,0,0,0,1277952,0,720896,0,0,0,0,0,0,0,0,0,0,0,491520,0,0,0,0,0,0,10950209536,837726208,54006538240,56049098752,28280,92049,28,1,1,22.530,21.340,16.380,0,0,22.530,21.340,16.380,10950209536,837726208,54006538240,56049098752,26,1,1,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4800,253565,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,128,41798,42715,0,0,0,0,0.500,0.500,0,0,0,0,0,0.100,0
1769961434.789,68.273,30.788,0.814,0.125,0,0,0,0,0,0,0,0,0,0,0,0,688128,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,0,0,10946715648,841216000,54006542336,56052649984,27401,90451,35,3,7,23.530,21.570,16.480,0,2,23.530,21.570,16.480,10946715648,841216000,54006542336,56052649984,39,1,7,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4800,253565,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2920,42844,44065,0,0,0,0,0,0,0,0,0,0,0.300,0,0
1769961435.789,69.028,30.094,0.752,0.125,0,0,0,0,0,0,0,0,0,0,0,0,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10943008768,844906496,54006558720,56056340480,26598,87741,27,3,1,23.530,21.570,16.480,0,0,23.530,21.570,16.480,10942169088,845746176,54006558720,56057180160,38,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,253565,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,147,42336,43294,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961436.789,66.646,31.602,1.627,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229376,0,0,0,0,0,0,0,0,0,0,10956541952,831299584,54006632448,56042815488,29983,120804,31,2,54,23.530,21.570,16.480,0,2,23.530,21.570,16.480,10956541952,831299584,54006632448,56042815488,36,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4768,253566,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,11321,57239,57332,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961437.789,68.358,30.576,0.877,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393216,0,0,0,0,0,0,10978910208,808681472,54006882304,56020234240,29285,96388,38,2,39,23.530,21.570,16.480,0,0,23.530,21.570,16.480,10979155968,808435712,54006882304,56019988480,34,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4768,253576,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,7702,61015,58465,0,0,0,0,0,0,0,0,0,0,0,0.100,0
1769961438.789,22.747,11.405,12.602,53.245,0,0,0,0,0,0,0,0,0,0,1703936,0,524288,0,0,0,0,0,0,0,0,0,0,0,622592,0,0,0,0,0,0,10946498560,841191424,54006816768,56052875264,20314,49758,0,17,49,23.530,21.570,16.480,0,2,23.530,21.570,16.480,10946498560,841191424,54006816768,56052875264,0,17,49,0,0,0,0,0,0,0,0,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3872,252539,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,7219,22105,27840,0,0,0,0,0.300,0.400,0,0,0,0,0,0,0
1769961439.789,0.125,0.438,18.523,80.914,0,0,0,0,0,0,0,0,0,0,131072,0,98304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10949931008,837750784,54006824960,56049442816,1047,1288,0,17,12,21.650,21.210,16.390,0,0,21.650,21.210,16.390,10949931008,837750784,54006824960,56049442816,0,17,12,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,252548,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2483,1789,1529,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961440.789,0.188,0.814,18.273,80.726,0,0,0,0,0,0,0,0,0,0,0,0,360448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10951987200,835686400,54006833152,56047398912,1906,2545,0,17,12,21.650,21.210,16.390,0,2,21.650,21.210,16.390,10951987200,835686400,54006833152,56047398912,0,17,12,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,252542,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,3979,2165,2359,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961441.789,0.688,0.876,18.398,80.038,0,0,0,0,0,0,0,0,0,0,0,0,163840,0,0,0,0,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,10975649792,811978752,54006861824,56023732224,3985,5578,0,17,28,21.650,21.210,16.390,0,0,21.650,21.210,16.390,10975649792,811978752,54006861824,56023732224,0,17,28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3808,252560,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4766,10737,10431,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961442.789,0.626,1.064,17.909,80.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,10976088064,811462656,54006939648,56023248896,3172,4630,0,17,16,21.650,21.210,16.390,0,2,21.650,21.210,16.390,10976088064,811462656,54006939648,56023248896,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3776,252545,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4047,2284,2688,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961443.789,31.989,18.242,11.236,38.533,0,0,0,0,0,0,0,0,0,0,1343488,0,425984,0,0,0,0,0,0,0,0,0,26509312,0,13598720,0,0,0,0,0,0,10980941824,806617088,54006931456,56018472960,72906,215335,18,9,19,21.650,21.210,16.390,0,0,21.650,21.210,16.390,10980941824,806617088,54006931456,56018472960,20,7,19,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,81,0,296,0,0,0,3776,252568,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,998,1169,956,0,0,0,0,0.500,0.500,0,0,0,0,0.600,0.500,0
1769961444.789,51.794,32.498,6.093,9.614,0,0,0,0,0,0,0,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,10981085184,806367232,54007037952,56018341888,111411,343313,17,9,17,21.590,21.210,16.420,0,0,21.590,21.210,16.420,10981085184,806367232,54007037952,56018341888,16,8,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3776,252637,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5334,3302,3586,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961445.789,58.127,33.940,3.251,4.681,0,0,0,0,0,0,0,0,0,0,0,0,425984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10975236096,812208128,54007046144,56024186880,64255,371324,20,4,6,21.590,21.210,16.420,0,2,21.590,21.210,16.420,10975236096,812208128,54007046144,56024186880,20,7,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,252576,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,989,833,2032,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961446.789,61.272,36.209,1.196,1.322,0,0,0,0,0,0,0,0,0,0,0,0,229376,0,0,0,0,0,0,0,65536,0,0,0,32768,0,0,0,0,0,0,10971480064,815923200,54007087104,56027938816,29870,377484,22,5,30,21.590,21.210,16.420,0,0,21.590,21.210,16.420,10971480064,815923200,54007087104,56027938816,22,3,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3776,252586,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5947,3445,3279,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961447.789,56.581,34.516,3.742,5.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5537792,0,0,0,0,0,0,10962989056,824336384,54007164928,56036413440,60597,362662,21,8,32,21.590,21.210,16.420,0,2,21.590,21.210,16.420,10962989056,824336384,54007164928,56036413440,23,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3744,252580,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5655,11663,13047,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961448.789,51.322,32.610,6.644,9.424,0,0,0,0,0,0,0,0,0,0,1441792,0,589824,0,0,0,0,0,0,0,0,0,393216,0,0,0,0,0,0,0,0,11001884672,785342464,54007263232,55997501440,107054,339984,18,7,74,21.590,21.210,16.420,0,0,21.590,21.210,16.420,11001884672,785342464,54007263232,55997501440,16,10,74,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3712,252644,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,14376,30866,31155,0,0,0,0,0.500,0.500,0,0,0,0,0.300,0,0
1769961449.789,52.100,31.978,6.369,9.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589824,0,0,0,0,0,0,10994016256,793186304,54007287808,56005443584,104260,340233,16,6,14,21.150,21.120,16.420,0,2,21.150,21.120,16.420,10994016256,793186304,54007287808,56005443584,18,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3744,252598,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,3147,1933,1763,0,0,0,0,0,0,0,0,0,0,0,0.100,0
