"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","beb1a633dcfe",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201153730/vertx-web-kotlinx-postgresql/query/stats.txt",,,,"Date:","01 Feb 2026 15:53:00 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769961180.507,2.554,1.146,95.264,1.036,0,398.944,0,210.763,0,3947.191,0,2260.168,0,143804.491,3654930.310,120571.135,3411181.772,169.132,3.687,3.840,0,4534.930,3218695.872,2984.626,4081092.998,125756.864,1305376.737,43.013,0,0,0,0,0,9919344640,2825129984,53075484672,57065381888,2325.550,6667.048,1,17,4.766,26.020,18.070,14.020,0.016,0.982,26.020,18.070,14.020,9919344640,2825129984,53075484672,57065381888,1,17,4.766,0.005,0,0.001,0,0.013,0,0.008,0,0.644,3.155,0.882,2.461,0.001,0.000,0.000,0,0.016,0.422,0.018,0.951,0.364,2.109,0.001,0,0,3744,251591,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0.174,1006.203,2465.841,2495.599,0.000,0.000,0.000,0.000,0.611,0.624,0.000,0,0.008,0.158,0.025,0.000
1769961181.507,36.426,19.100,9.754,34.720,0,0,0,0,0,0,0,0,0,0,5570560,0,3801088,0,0,0,0,0,0,0,0,0,655360,0,0,672,0,0,0,10010640384,2719625216,53089693696,56960954368,112526,241881,11,13,171,26.020,18.070,14.020,0,2,26.020,18.070,14.020,10010640384,2719625216,53089693696,56960954368,10,13,171,0,0,0,0,0,0,0,0,0,76,0,53,0,0,0,0,0,0,0,0,0,4,0,0,0,3776,252102,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,29237,60170,43729,0,0,0,0,1.100,1.600,0,0,0,0,0.100,0
1769961182.507,38.317,20.167,12.239,29.277,0,0,0,0,0,0,0,0,0,0,131072,0,32768,0,0,0,0,0,0,0,0,0,131072,0,0,336,0,0,0,10028834816,2714841088,53076267008,56956190720,146108,288159,8,14,32,26.020,18.070,14.020,0,0,26.020,18.070,14.020,10028834816,2714841088,53076267008,56956190720,10,11,32,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,3744,252123,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,6093,3492,11550,0,0,0,0,0.100,0.100,0,0,0,0,0,0
1769961183.507,37.456,19.466,13.141,29.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,10023321600,2720354304,53076267008,56961703936,147220,290870,9,13,1,26.020,18.070,14.020,0,2,26.020,18.070,14.020,10023321600,2720354304,53076267008,56961703936,10,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3744,252112,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1092,266,788,0,0,0,0,0,0,0,0,0,0,0,0
1769961184.507,36.960,20.711,12.692,29.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9980276736,2763395072,53076271104,57004769280,147535,290356,10,14,14,24.660,17.920,13.990,0,0,24.660,17.920,13.990,9980276736,2763395072,53076271104,57004769280,12,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3744,251890,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,6124,4888,12445,0,0,0,0,0,0,0,0,0,0,0,0
1769961185.507,38.435,22.082,12.858,26.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,9976565760,2767065088,53076312064,57008455680,140605,281884,10,12,38,24.660,17.920,13.990,0,2,24.660,17.920,13.990,9976565760,2767065088,53076312064,57008455680,10,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3776,251865,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5062,3164,3982,0,0,0,0,0,0,0,0,0,0,0,0
1769961186.507,9.050,5.135,19.769,66.046,0,0,0,0,0,0,0,0,0,0,2883584,0,2490368,0,0,0,0,0,131072,0,98304,0,13762560,0,0,0,0,0,0,9980907520,2762727424,53076307968,57004376064,39060,75386,0,17,28,24.660,17.920,13.990,0,0,24.660,17.920,13.990,9980907520,2762727424,53076307968,57004376064,0,17,28,0,0,0,0,0,0,0,0,0,43,0,35,0,0,0,0,0,2,0,2,0,284,0,0,0,3776,251878,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4515,11118,7790,0,0,0,0,0.500,0.600,0,0,0,0.200,0.500,0
1769961187.507,0.689,1.127,12.210,85.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,9964544000,2778836992,53076561920,57020518400,3617,5102,0,17,8,24.660,17.920,13.990,0,2,24.660,17.920,13.990,9964544000,2778836992,53076561920,57020518400,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3776,251852,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2889,2044,5680,0,0,0,0,0,0,0,0,0,0,0,0
1769961188.507,0.063,0.313,12.390,87.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9964802048,2778578944,53076561920,57020276736,684,933,0,17,1,24.660,17.920,13.990,0,0,24.660,17.920,13.990,9964802048,2778578944,53076561920,57020276736,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,251852,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,119,220,235,0,0,0,0,0,0,0,0,0,0,0,0
