"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","beb1a633dcfe",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201153730/vertx-web-kotlinx-postgresql/update/stats.txt",,,,"Date:","01 Feb 2026 15:54:56 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/loop8",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/loop8",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","loo8","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/loop8:read","dsk/loop8:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/loop8:read","io/loop8:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","loo8:util","sda:util","sdb:util","sdc:util","sr0:util"
1769961296.633,2.670,1.196,95.069,1.066,0,398.843,0,210.611,0,3938.767,0,4104.773,0,143492.011,3648472.733,120309.140,3404968.741,168.765,3.679,318.216,0,171.831,0,4525.076,3211763.127,2978.141,4073733.916,142500.498,1321375.059,42.919,0,0,0,0,0,10692091904,1787076608,53337145344,56296259584,2396.077,6861.649,1,17,4.819,27.880,20.800,15.450,0.016,0.982,27.880,20.800,15.450,10692091904,1787076608,53337145344,56296259584,1,17,4.819,0.005,0,0.001,0,0.013,0,0.013,0,0.643,3.167,0.880,2.470,0.001,0.000,0.004,0,0.001,0,0.016,0.422,0.018,0.957,0.379,2.138,0.001,0,0,3776,252311,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0.177,1016.701,2511.797,2536.899,0.000,0.000,0.000,0.000,0.610,0.625,0.000,0.000,0.000,0.008,0.158,0.026,0.000
1769961297.633,35.734,15.149,15.693,33.424,0,0,0,0,0,0,0,0,0,0,51511296,0,48463872,0,0,0,0,0,0,0,0,0,0,0,851968,0,0,672,0,0,0,10755198976,1716465664,53344489472,56232980480,116018,222335,9,13,130,27.880,20.800,15.450,0,2,27.880,20.800,15.450,10755198976,1716465664,53344489472,56232980480,10,13,130,0,0,0,0,0,0,0,0,0,141,0,98,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3776,252797,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,30493,27855,15872,0,0,0,0,14,14.700,0,0,0,0,0,0.100,0
1769961298.633,40.414,18.552,11.931,29.103,0,0,0,0,0,0,0,0,0,0,49741824,0,49152000,0,0,0,0,0,0,0,0,0,106004480,0,0,0,0,336,0,0,0,10755973120,1712386048,53347737600,56231849984,132500,258695,8,10,11,27.880,20.800,15.450,0,0,27.880,20.800,15.450,10755973120,1712386048,53347737600,56231849984,8,12,11,0,0,0,0,0,0,0,0,0,18,0,12,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,3808,252888,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,6827,9539,13736,0,0,0,0,10.800,11.200,0,0,0,0,0.900,0,0
1769961299.633,38.862,16.655,11.589,32.894,0,0,0,0,0,0,0,0,0,0,42434560,0,41943040,0,0,0,0,0,0,0,0,0,491520,0,32768,0,0,336,0,0,0,10760724480,1723138048,53332230144,56227049472,136808,264553,8,15,1,26.530,20.640,15.430,0,2,26.530,20.640,15.430,10760724480,1723138048,53332230144,56227049472,8,17,1,0,0,0,0,0,0,0,0,0,16,0,11,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3808,252884,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,320,625,4364,0,0,0,0,10.100,10.700,0,0,0,0,0.300,0,0
1769961300.633,39.696,19.848,12.379,28.077,0,0,0,0,0,0,0,0,0,0,41517056,0,41025536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10714390528,1763954688,53337747456,56273403904,132838,259115,8,14,38,26.530,20.640,15.430,0,0,26.530,20.640,15.430,10714390528,1763954688,53337747456,56273403904,9,13,38,0,0,0,0,0,0,0,0,0,19,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,252660,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,9086,7965,14172,0,0,0,0,9.300,9.800,0,0,0,0,0,0,0
1769961301.633,39.058,16.898,13.989,30.055,0,0,0,0,0,0,0,0,0,0,34504704,0,34013184,0,0,0,0,0,0,0,98304,0,0,0,32768,0,0,0,0,0,0,10709692416,1764163584,53342236672,56278011904,137135,265757,8,16,17,26.530,20.640,15.430,0,2,26.530,20.640,15.430,10709692416,1764163584,53342236672,56278011904,9,12,17,0,0,0,0,0,0,0,0,0,15,0,13,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3840,252649,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2749,2760,1834,0,0,0,0,7.600,8.100,0,0,0,0,0,0,0
1769961302.633,8.846,4.808,19.808,66.538,0,0,0,0,0,0,0,0,0,0,15958016,0,15106048,0,0,0,0,0,0,0,0,0,0,0,557056,0,0,0,0,0,0,10706485248,1765486592,53344120832,56281321472,35776,68385,1,17,8,26.530,20.640,15.430,0,0,26.530,20.640,15.430,10706485248,1765486592,53344120832,56281321472,1,17,8,0,0,0,0,0,0,0,0,0,62,0,51,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3840,252625,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2559,2197,2195,0,0,0,0,3.300,3.500,0,0,0,0,0,0,0
1769961303.633,1.064,1.002,15.091,82.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,10691403776,1780506624,53344182272,56296378368,4564,6171,0,17,29,26.530,20.640,15.430,0,2,26.530,20.640,15.430,10691403776,1780506624,53344182272,56296378368,0,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3808,252611,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4721,10242,10260,0,0,0,0,0,0,0,0,0,0,0,0,0
1769961304.633,0.627,1.316,12.406,85.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,0,0,10736730112,1721122816,53358239744,56237039616,6292,8838,0,17,77,24.410,20.300,15.340,0,0,24.410,20.300,15.340,10736730112,1721122816,53358239744,56237039616,0,17,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3840,252661,0,0,0,0,0,0,0,120,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,13177,30901,30630,0,0,0,0,0,0,0,0,0,0,0.300,0,0
