"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","c71fdaaf9353",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201174550/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/db/stats.txt",,,,"Date:","01 Feb 2026 17:48:41 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769968121.874,0.970,0.542,97.022,1.466,0,5871.818,0,3019.540,0,63388.341,0,47634.791,0,702.065,0,2208941.285,2791507.912,1848436.328,2710860.653,2423.115,8.803,1767325.793,17634197.582,42759.950,23483943.146,64970.739,41319981.160,620.634,0,0,0,0,0,3271483392,38240264192,25142161408,63184969728,2738.399,3998.803,1,20,16.464,10.100,3.680,1.440,0.221,1.047,10.100,3.680,1.440,3271483392,38240264192,25142161408,63184969728,1,20,16.464,0.072,0,0.019,0,0.203,0,0.160,0,0.010,0,6.379,4.743,8.529,3.768,0.017,0.000,3.588,6.587,0.261,4.142,0.204,4.966,0.021,0,0,2464,125239,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,2.444,3355.259,8698.711,11209.935,0.001,0.000,0.004,0.001,0.000,1.937,2.029,0.003,0.189,0.556,0.110,0.002
1769968122.874,43.788,15.954,15.614,24.644,0,0,0,0,0,0,0,0,0,0,0,7012352,294912,5701632,98304,0,0,0,0,0,0,0,0,0,0,672,0,0,0,3303092224,38204669952,25146097664,63153528832,117873,246466,7,14,24,10.100,3.680,1.440,0,2,10.100,3.680,1.440,3303092224,38204669952,25146097664,63153528832,8,14,24,0,0,0,0,0,0,0,0,0,0,20,7,12,5,0,0,0,0,0,0,0,0,0,0,0,2464,125341,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,5,3012,17098,13881,0,0,0,0,0,0.800,0.800,0,0,0,0,0
1769968123.874,32.773,17.367,17.297,32.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,336,0,0,0,3297607680,38210154496,25146097664,63159025664,158999,308812,9,13,1,10.100,3.680,1.440,0,0,10.100,3.680,1.440,3297607680,38210154496,25146097664,63159025664,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2464,125329,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,134,340,330,0,0,0,0,0,0,0,0,0,0,0,0
1769968124.874,33.403,18.550,14.505,33.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,131072,0,0,0,0,0,0,3302948864,38204993536,25145917440,63153885184,158021,308680,10,12,49,10.100,3.680,1.440,0,2,10.100,3.680,1.440,3302948864,38204993536,25145917440,63153885184,9,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2528,125389,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,10850,15796,23723,0,0,0,0,0,0,0,0,0,0.300,0,0
1769968125.874,34.172,18.728,14.815,32.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655360,0,0,0,0,0,0,0,0,3263938560,38243692544,25146208256,63192686592,154763,306979,8,11,9,10.100,3.680,1.440,0,0,10.100,3.680,1.440,3263938560,38243692544,25146208256,63192686592,8,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2496,125101,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,1521,13405,13092,0,0,0,0,0,0,0,0,0,0,0,0
1769968126.874,32.561,17.965,14.737,34.737,0,0,0,0,0,0,0,0,0,0,0,0,819200,0,622592,0,0,0,851968,0,0,0,0,0,0,0,0,0,0,3257475072,38250156032,25146208256,63199170560,159082,309405,8,14,7,10.010,3.770,1.480,0,2,10.010,3.770,1.480,3257475072,38250156032,25146208256,63199170560,8,9,7,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,0,0,0,0,2496,125112,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,2083,10359,9766,0,0,0,0,0,0.300,0.300,0,0,0,0,0
1769968127.874,5.163,3.824,12.492,78.521,0,0,0,0,0,0,0,0,0,0,0,950272,327680,294912,2064384,0,0,0,163840,0,0,0,25690112,0,0,0,0,0,0,3279761408,38225960960,25148084224,63176933376,31579,56956,0,17,92,10.010,3.770,1.480,0,0,10.010,3.770,1.480,3279761408,38225960960,25148084224,63176933376,0,17,92,0,0,0,0,0,0,0,0,0,0,4,8,2,44,0,0,0,1,0,0,0,4,0,0,0,2400,125089,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,1,12155,32171,32206,0,0,0,0,0,5.900,6,0,0,0,0.100,0
1769968128.874,0.188,0.751,2.378,96.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280011264,38225707008,25148088320,63176679424,1600,2250,1,17,7,10.010,3.770,1.480,0,2,10.010,3.770,1.480,3280011264,38225707008,25148088320,63176679424,1,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,125098,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,2560,1458,1486,0,0,0,0,0,0,0,0,0,0,0,0
1769968129.874,0.250,0.500,0,99.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3281698816,38224011264,25148096512,63174991872,1025,1302,1,17,18,10.010,3.770,1.480,0,0,10.010,3.770,1.480,3281698816,38224011264,25148096512,63174991872,1,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432,125111,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,2915,2163,2000,0,0,0,0,0,0,0,0,0.100,0,0,0
