"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","c71fdaaf9353",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201174550/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/fortune/stats.txt",,,,"Date:","01 Feb 2026 17:54:47 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769968487.240,5.956,2.445,88.843,2.755,0,5346.965,0,2749.639,0,57722.376,0,43376.957,0,639.311,0,2014004.282,6502046.275,1684945.455,6383451.062,2206.525,8.016,1609577.892,16098368.232,38937.853,23252790.387,59163.331,37636159.530,565.159,0,0,0,0,0,5489311744,33472028672,27643404288,60981891072,5411.046,13047.399,2,17,17.113,22.690,18.080,8.890,0.201,1.041,22.690,18.080,8.890,5489672192,33471254528,27643813888,60981534720,2,19,17.113,0.065,0,0.017,0,0.185,0,0.146,0,0.009,0,5.816,6.218,7.771,4.840,0.015,0.000,3.268,6.352,0.238,4.266,0.186,4.545,0.019,0,0,2464,124793,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,2.228,3421.452,9725.394,11728.063,0.001,0.000,0.004,0.001,0.000,2.456,2.626,0.003,0.175,0.582,0.100,0.002
1769968488.240,34.272,16.758,17.651,31.319,0,0,0,0,0,0,0,0,0,0,0,0,7438336,0,5013504,0,0,786432,524288,0,0,0,0,0,0,672,0,0,0,5497491456,33459929088,27647291392,60974010368,132443,256679,9,11,119,22.690,18.080,8.890,0,0,22.690,18.080,8.890,5497491456,33459929088,27647291392,60974010368,8,11,119,0,0,0,0,0,0,0,0,0,0,0,86,0,54,0,0,1,4,0,0,0,0,0,0,0,2496,125269,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1,14496,15041,9226,0,0,0,0,0,0.800,0.900,0,0.200,0,0,0
1769968489.240,34.327,16.574,18.724,30.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,98304,0,0,336,0,0,0,5520977920,33436639232,27647090688,60950745088,150982,292206,8,13,26,22.690,18.080,8.890,0,2,22.690,18.080,8.890,5520977920,33436639232,27647090688,60950745088,8,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2560,125293,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3511,11983,9214,0,0,0,0,0,0,0,0,0,0.300,0,0
1769968490.240,34.768,17.141,18.251,29.840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,5477318656,33480028160,27647344640,60994158592,150257,290789,9,13,2,22.690,18.080,8.890,0,0,22.690,18.080,8.890,5477318656,33480028160,27647344640,60994158592,9,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,125307,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2661,18512,23067,0,0,0,0,0,0,0,0,0,0,0,0
1769968491.240,34.006,17.038,14.325,34.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0,0,0,0,436207616,0,0,0,0,0,0,0,0,5417811968,33539563520,27647348736,61053710336,151181,291800,8,13,17,21.520,17.910,8.890,0,2,21.520,17.910,8.890,5417811968,33539563520,27647348736,61053710336,9,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,153,0,0,0,0,0,2528,125095,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3546,5971,13665,0,0,0,0,0,0,0,0,0,6.200,0,0
1769968492.240,34.167,17.153,14.861,33.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,0,0,0,0,5404323840,33553035264,27647365120,61067190272,150829,291355,8,12,27,21.520,17.910,8.890,0,0,21.520,17.910,8.890,5404323840,33553035264,27647365120,61067190272,8,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2496,125084,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2592,4925,8695,0,0,0,0,0,0,0,0,0,0,0,0
1769968493.240,7.412,4.728,27.668,60.192,0,0,0,0,0,0,0,0,0,0,0,0,3178496,0,2686976,0,0,0,655360,0,0,0,0,0,0,0,0,0,0,5396987904,33559986176,27647746048,61074464768,31943,69238,0,17,19,21.520,17.910,8.890,0,2,21.520,17.910,8.890,5396987904,33559986176,27647746048,61074464768,0,17,19,0,0,0,0,0,0,0,0,0,0,0,14,0,47,0,0,0,4,0,0,0,0,0,0,0,2528,125060,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3508,2736,3120,0,0,0,0,0,0.500,0.700,0,0.100,0,0,0
1769968494.240,0.125,0.626,24.468,74.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5396987904,33559986176,27647746048,61074505728,1260,2306,0,17,1,21.520,17.910,8.890,0,0,21.520,17.910,8.890,5396987904,33559986176,27647746048,61074505728,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2528,125060,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,192,207,213,0,0,0,0,0,0,0,0,0,0,0,0
1769968495.240,0.815,1.190,24.436,73.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5422317568,33534615552,27647787008,61049233408,4276,6034,0,17,31,21.520,17.910,8.890,0,2,21.520,17.910,8.890,5422317568,33534615552,27647787008,61049233408,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2464,125075,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5894,12170,12140,0,0,0,0,0,0,0,0,0,0,0,0
