"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","c71fdaaf9353",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201174550/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/query/stats.txt",,,,"Date:","01 Feb 2026 17:50:55 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769968255.063,2.731,1.449,93.832,1.988,0,5668.969,0,2915.227,0,61198.516,0,45989.191,0,677.811,0,2135282.573,2709359.163,1786364.762,2627817.802,2339.406,8.499,1706509.431,17040956.575,41282.757,22690545.146,62726.248,39902146.609,599.194,0,0,0,0,0,3371200512,38118871040,25163247616,63086882816,3857.972,9299.478,1,17,16.694,27.230,11.950,4.750,0.213,1.045,27.230,11.950,4.750,3371200512,38118871040,25163247616,63086882816,1,17,16.694,0.069,0,0.018,0,0.196,0,0.154,0,0.010,0,6.166,4.774,8.239,3.770,0.016,0.000,3.465,6.508,0.252,4.094,0.197,4.807,0.020,0,0,2368,124836,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,2.362,3373.743,8908.446,11323.324,0.001,0.000,0.004,0.001,0.000,1.875,1.978,0.003,0.184,0.540,0.106,0.002
1769968256.063,37.252,16.951,10.595,35.202,0,0,0,0,0,0,0,0,0,0,0,0,5996544,196608,3801088,0,0,0,720896,0,0,0,0,0,0,672,0,0,0,3444862976,38042681344,25165692928,63013572608,116383,230370,8,13,110,25.690,11.890,4.770,0,2,25.690,11.890,4.770,3444862976,38042681344,25165692928,63013572608,8,13,110,0,0,0,0,0,0,0,0,0,0,0,76,2,50,0,0,0,4,0,0,0,0,0,0,0,2496,125214,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1,14886,21130,13890,0,0,0,0,0,1.100,1.400,0,0.100,0,0,0
1769968257.063,39.612,19.044,15.235,26.108,0,0,0,0,0,0,0,0,0,0,0,0,131072,0,32768,0,0,0,589824,0,0,0,0,0,0,336,0,0,0,3464224768,38023086080,25165926400,62994026496,137848,272850,8,12,32,25.690,11.890,4.770,0,0,25.690,11.890,4.770,3464224768,38023086080,25165926400,62994026496,9,10,32,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,18,0,0,0,0,0,0,0,2496,125325,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5938,18487,14977,0,0,0,0,0,0.100,0.100,0,0,0,0,0
1769968258.063,39.288,19.330,15.213,26.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35520512,0,0,0,0,336,0,0,0,3464564736,38022873088,25165766656,62993858560,137223,284255,9,11,2,25.690,11.890,4.770,0,2,25.690,11.890,4.770,3464564736,38022873088,25165766656,62993858560,8,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,2528,125307,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1042,7596,10816,0,0,0,0,0,0,0,0,0,0.300,0,0
1769968259.063,38.846,20.639,14.524,25.990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3422490624,38064885760,25165795328,63035961344,137109,271172,11,12,20,25.690,11.890,4.770,0,0,25.690,11.890,4.770,3422490624,38064885760,25165795328,63035961344,9,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496,125150,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7349,12413,19174,0,0,0,0,0,0,0,0,0,0,0,0
1769968260.063,39.167,19.236,16.319,25.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,0,0,0,0,3436695552,38050635776,25165807616,63021752320,137575,271320,9,13,26,25.690,11.890,4.770,0,2,25.690,11.890,4.770,3436695552,38050635776,25165807616,63021752320,9,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2432,125106,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1024,7456,8460,0,0,0,0,0,0,0.100,0,0,0.400,0,0
1769968261.063,8.617,5.595,18.392,67.395,0,0,0,0,0,0,0,0,0,0,0,0,2719744,0,2293760,0,0,0,5603328,0,622592,0,0,0,0,0,0,0,0,3448221696,38038720512,25166188544,63010271232,38984,72515,0,17,88,23.710,11.700,4.750,0,0,23.710,11.700,4.750,3448221696,38038720512,25166188544,63010271232,0,17,88,0,0,0,0,0,0,0,0,0,0,0,50,0,37,0,0,0,9,0,2,0,0,0,0,0,2432,125103,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,13369,30301,30621,0,0,0,0,0,0.300,0.400,0,0.100,0,0,0
1769968262.063,0.250,0.313,13.696,85.741,0,0,0,0,0,0,0,0,0,0,0,0,1802240,0,1114112,0,0,0,0,0,0,0,98304,0,0,0,0,0,0,3436990464,38049378304,25166749696,63021506560,1188,1727,2,17,2,23.710,11.700,4.750,0,2,23.710,11.700,4.750,3436990464,38049378304,25166749696,63021506560,2,17,2,0,0,0,0,0,0,0,0,0,0,0,29,0,12,0,0,0,0,0,0,0,2,0,0,0,2432,125091,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,964,915,734,0,0,0,0,0,0.500,0.500,0,0,0,0,0
1769968263.063,0.564,1.128,12.406,85.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3413495808,38072815616,25166807040,63045050368,4382,5977,1,17,33,23.710,11.700,4.750,0,0,23.710,11.700,4.750,3413495808,38072815616,25166807040,63045050368,1,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432,125108,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5652,15308,18977,0,0,0,0,0,0,0,0,0,0,0,0
