"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","c71fdaaf9353",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201174550/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","01 Feb 2026 17:52:51 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1769968371.253,4.390,1.989,91.245,2.376,0,5503.122,0,2829.942,0,59408.145,0,44643.771,0,657.982,0,2072814.586,2648264.215,1734153.917,2565214.095,2270.966,8.251,1656585.262,16556942.016,40075.024,22046193.176,60891.183,38735026.555,581.664,0,0,0,0,0,5795733504,35677831168,25179312128,60664311808,4731.946,10840.102,1,17,16.904,22.660,15.620,6.980,0.207,1.043,22.660,15.620,6.980,5799927808,35673636864,25179312128,60660117504,1,17,16.904,0.067,0,0.018,0,0.190,0,0.150,0,0.010,0,5.986,4.857,7.998,3.816,0.016,0.000,3.363,6.437,0.245,4.073,0.191,4.671,0.020,0,0,2496,124828,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,2.293,3395.029,9428.532,11623.637,0.001,0.000,0.004,0.001,0.000,1.823,1.932,0.003,0.179,0.527,0.103,0.002
1769968372.253,42.488,15.296,11.557,30.659,0,0,0,0,0,0,0,0,0,0,0,0,48627712,0,46465024,0,0,0,622592,0,0,0,0,0,0,672,0,0,0,5851377664,35613519872,25187725312,60608368640,104013,203717,8,13,100,22.660,15.620,6.980,0,2,22.660,15.620,6.980,5851377664,35613519872,25187725312,60608368640,9,11,100,0,0,0,0,0,0,0,0,0,0,0,95,0,66,0,0,0,4,0,0,0,0,0,0,0,2528,125215,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1,26196,15276,4944,0,0,0,0,0,10.200,11.400,0,0.100,0,0,0
1769968373.253,39.959,18.033,11.066,30.943,0,0,0,0,0,0,0,0,0,0,0,0,41779200,0,41287680,0,0,0,0,0,0,0,0,0,0,336,0,0,0,5877161984,35584811008,25190572032,60582535168,125734,242325,8,16,106,22.660,15.620,6.980,0,0,22.660,15.620,6.980,5877161984,35584811008,25190572032,60582535168,10,10,106,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,2592,125314,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,20262,48701,46283,0,0,0,0,0,10.300,10.800,0,0,0.300,0,0
1769968374.253,40.524,16.678,12.957,29.841,0,0,0,0,0,0,0,0,0,0,0,0,42532864,0,41943040,0,0,0,0,0,80510976,0,98304,0,0,336,0,0,0,5860696064,35600859136,25190981632,60598763520,126736,246258,10,13,2,22.660,15.620,6.980,0,2,22.660,15.620,6.980,5860696064,35600859136,25190981632,60598763520,11,13,2,0,0,0,0,0,0,0,0,0,0,0,18,0,12,0,0,0,0,0,80,0,2,0,0,0,2624,125315,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,824,728,4231,0,0,0,0,0,6.600,6.900,0,0,0.800,0,0
1769968375.253,39.423,16.964,12.843,30.769,0,0,0,0,0,0,0,0,0,0,0,0,39747584,0,39256064,0,0,0,0,0,76709888,0,0,0,0,0,0,0,0,5824761856,35648802816,25179299840,60634734592,127707,246647,9,11,17,22.660,15.620,6.980,0,0,22.660,15.620,6.980,5824761856,35648802816,25179299840,60634734592,7,10,17,0,0,0,0,0,0,0,0,0,0,0,15,0,13,0,0,0,0,0,16,0,0,0,0,0,2528,125113,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5856,7087,17245,0,0,0,0,0,7.600,8.200,0,0,0,0,0
1769968376.253,39.725,16.632,13.196,30.447,0,0,0,0,0,0,0,0,0,0,0,0,28246016,0,27852800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5816107008,35653517312,25183125504,60643274752,127250,258640,8,13,9,21.480,15.500,6.990,0,2,21.480,15.500,6.990,5816107008,35653517312,25183125504,60643274752,8,14,9,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,2560,125102,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,981,1963,978,0,0,0,0,0,7.200,7.500,0,0,0,0,0
1769968377.253,7.412,3.770,27.668,61.150,0,0,0,0,0,0,0,0,0,0,0,0,18153472,0,17727488,0,0,0,1146880,0,0,0,0,0,0,0,0,0,0,5820657664,35646373888,25185652736,60638801920,28282,53540,0,17,17,21.480,15.500,6.990,0,0,21.480,15.500,6.990,5820657664,35646373888,25185652736,60638801920,0,17,17,0,0,0,0,0,0,0,0,0,0,0,55,0,45,0,0,0,6,0,0,0,0,0,0,0,2496,125095,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2839,2456,2546,0,0,0,0,0,1.300,1.500,0,0.100,0,0,0
1769968378.253,0.125,0.375,12.570,86.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5819965440,35647062016,25185656832,60639490048,675,834,0,17,2,21.480,15.500,6.990,0,2,21.480,15.500,6.990,5819965440,35647062016,25185656832,60639490048,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496,125084,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,171,243,208,0,0,0,0,0,0,0,0,0,0,0,0
1769968379.253,0.627,1.003,18.358,80.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557056,0,0,0,0,0,0,0,0,5828132864,35638894592,25185673216,60631408640,4264,5988,0,17,31,21.480,15.500,6.990,0,0,21.480,15.500,6.990,5828132864,35638894592,25185673216,60631408640,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2496,125090,0,0,0,0,0,0,0,72,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6157,11701,11675,0,0,0,0,0,0,0,0,0,0.300,0,0
