"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","17138c1b546a",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260210214834/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","10 Feb 2026 21:53:18 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1770760398.843,2.694,1.371,95.449,0.487,0,2695.268,0,1115.731,0,22111.087,0,17680.599,0,258.661,0,785646.999,3554240.665,1063953.653,3423768.306,892.747,3.243,357832.455,11090075.977,126512.976,2774698.561,821980.812,6478859.839,227.038,0,0,0,0,0,2580520960,641949696,4802621440,5154889728,507.441,1397.821,3,3,2.559,4.500,2.720,1.330,0.088,1.002,4.500,2.720,1.330,2580520960,641949696,4802621440,5154889728,3,3,2.559,0.031,0,0.007,0,0.075,0,0.060,0,0.004,0,2.142,5.882,2.859,3.829,0.006,0.000,0.207,1.712,0.060,0.359,1.669,3.218,0.008,0,0,2304,96935,0,0,0,0,0,0,0,68,1,1,0,0,1,0,0,532,0,0,1,0,0,64,0,64,1.001,723.427,2015.515,2083.230,0.001,0.000,0.005,0.000,0.000,0.785,0.844,0.000,0.457,0.084,0.338,0.001
1770760399.843,81.500,16,0,2.500,0,0,0,0,0,0,0,0,0,0,0,10289152,7274496,6291456,6193152,0,0,44236800,0,8388608,0,0,131072,0,0,672,0,0,0,2571960320,635441152,4817690624,5163425792,6232,9472,5,1,19,4.500,2.720,1.330,0,2,4.500,2.720,1.330,2571960320,635441152,4817690624,5163425792,4,1,19,0,0,0,0,0,0,0,0,0,0,25,43,14,26,0,0,13,0,1,0,0,2,0,0,0,2272,96981,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,8,1546,9769,4442,0,0,0,0,0,5.800,6.400,0,0.800,0.100,0,0
1770760400.843,77,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4784128,0,4390912,0,0,0,0,0,0,0,3375104,0,0,336,0,0,0,2613587968,591159296,4820344832,5121609728,6080,12349,6,2,49,4.500,2.720,1.330,0,0,4.500,2.720,1.330,2613587968,591159296,4820344832,5121609728,4,2,49,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,3,0,0,0,2304,97084,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,8118,12920,9153,0,0,0,0,0,11.500,11.700,0,0,0,0,0
1770760401.843,83.582,16.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898240,0,5505024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2628943872,572833792,4823314432,5106315264,5627,15421,3,3,5,4.500,2.720,1.330,0,2,4.500,2.720,1.330,2628943872,572833792,4823314432,5106315264,5,2,5,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,2272,97065,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2345,10911,5207,0,0,0,0,0,15.700,16.300,0,0,0,0,0
1770760402.843,79.899,20.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8486912,0,7995392,0,0,0,98304,0,0,0,131072,0,0,0,0,0,0,2623377408,573939712,4827774976,5111848960,5972,11391,4,1,15,4.500,2.720,1.330,0,0,4.500,2.720,1.330,2623377408,573939712,4827774976,5111848960,4,1,15,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,2,0,0,0,2,0,0,0,2272,97023,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,3613,3296,3226,0,0,0,0,0,3.100,3.300,0,0.400,0,0,0
1770760403.843,76.382,23.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8421376,0,7667712,0,0,0,0,0,32768,0,15007744,0,0,0,0,0,0,2642415616,550252544,4832440320,5092401152,7325,13796,3,1,63,4.540,2.760,1.350,0,2,4.540,2.760,1.350,2642415616,550252544,4832440320,5092401152,4,1,63,0,0,0,0,0,0,0,0,0,0,0,21,0,10,0,0,0,0,0,1,0,289,0,0,0,2240,97020,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,11474,30574,27818,0,0,0,0,0,4.100,4,0,0,0,0.800,0
1770760404.843,12.500,9.500,40,38,0,0,0,0,0,0,0,0,0,0,0,950272,2818048,294912,2424832,0,0,8388608,0,0,294912,0,786432,0,0,0,0,0,0,2643877888,546058240,4835155968,5091008512,2336,4524,0,3,8,4.540,2.760,1.350,0,0,4.540,2.760,1.350,2643877888,546058240,4835155968,5091008512,0,3,8,0,0,0,0,0,0,0,0,0,0,4,16,2,10,0,0,1,0,0,2,0,2,0,0,0,2240,97006,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,1,2495,2919,2186,0,0,0,0,0,1.400,1.300,0,0,0,0.100,0
1770760405.843,0.505,1.010,48.990,49.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148078592,0,0,0,65536,0,0,0,0,0,0,2643832832,546058240,4835201024,5091053568,478,734,1,3,1,4.540,2.760,1.350,0,2,4.540,2.760,1.350,2643832832,546058240,4835201024,5091053568,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,0,0,0,2240,96995,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,167,1250,711,0,0,0,0,0,0,0,0,1,0,0,0
1770760406.843,11.443,7.960,40.796,39.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666315776,523542528,4835233792,5068558336,2451,7000,0,3,33,4.540,2.760,1.350,0,0,4.540,2.760,1.350,2666315776,523542528,4835233792,5068558336,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272,97022,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,6744,11785,11718,0,0,0,0,0,0,0,0,0,0,0,0
