"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","d3b1c56d09ea",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260210225531/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","10 Feb 2026 22:56:06 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1770764166.244,4.706,2.352,92.336,0.606,0,1963.193,0,812.681,0,16105.385,0,14083.722,0,188.405,0,900399.631,3827448.361,1060731.753,3690166.625,650.263,2.362,555817.984,9138475.006,232732.233,2027807.879,611520.621,4803954.190,165.371,0,0,0,0,0,2658508800,298270720,5073362944,5016240128,726.649,2822.662,1,3,6.735,1.980,1.140,0.630,0.064,0.995,1.980,1.140,0.630,2658508800,298270720,5073362944,5016240128,1,3,6.735,0.023,0,0.005,0,0.055,0,0.047,0,0.003,0,2.953,6.754,3.647,4.758,0.004,0.000,0.247,1.824,0.075,0.306,1.302,3.069,0.006,0,0,2208,97417,0,0,0,0,0,0,0,68,1,1,0,0,1,0,0,533,0,0,1,0,0,64,0,64,0.820,1604.111,3355.798,3423.248,0.001,0.000,0.004,0.000,0.000,0.923,0.993,0.000,0.371,0.062,0.253,0.001
1770764167.244,80,17.500,1.500,1,0,0,0,0,0,0,0,0,0,0,0,1376256,9469952,491520,7110656,0,0,0,0,0,0,0,524288,0,0,672,0,0,0,2692259840,262148096,5075783680,4982804480,6436,12669,3,1,65,1.980,1.140,0.630,0,0,1.980,1.140,0.630,2692259840,262148096,5075783680,4982804480,6,1,65,0,0,0,0,0,0,0,0,0,0,12,95,6,62,0,0,0,0,0,0,0,3,0,0,0,2304,97632,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,533,0,0,1,0,0,66,0,66,0,12245,13777,11159,0,0,0,0,0,5.700,6.100,0,0,0,0,0
1770764168.244,81.500,18.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6520832,0,6029312,0,0,0,121208832,0,0,0,32768,0,0,336,0,0,0,2691850240,262148096,5076193280,4983132160,5588,11972,3,1,17,1.980,1.140,0.630,0,2,1.980,1.140,0.630,2691850240,262148096,5076193280,4983132160,3,1,17,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,105,0,0,0,1,0,0,0,2272,97683,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,533,0,0,1,0,0,66,0,66,0,4811,3632,5024,0,0,0,0,0,5.600,5.700,0,0.900,0,0,0
1770764169.244,76.382,23.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7110656,0,6619136,0,0,0,0,0,0,0,0,0,0,336,0,0,0,2702274560,251338752,5076578304,4972621824,5390,11398,4,1,21,2.220,1.210,0.650,0,0,2.220,1.210,0.650,2702274560,251338752,5076578304,4972621824,4,1,21,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,2272,97669,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,533,0,0,1,0,0,66,0,66,0,9909,8618,2507,0,0,0,0,0,2.200,2.300,0,0,0,0,0
1770764170.244,81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6291456,0,5898240,0,0,0,0,0,0,0,20480000,0,0,0,0,0,0,2721574912,231469056,5077147648,4953075712,6469,11239,11,3,29,2.220,1.210,0.650,0,2,2.220,1.210,0.650,2721574912,231469056,5077147648,4953075712,11,3,29,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,345,0,0,0,2304,97630,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,533,0,0,1,0,0,66,0,66,0,10850,12015,9436,0,0,0,0,0,3.800,3.900,0,0,0,0.600,0
1770764171.244,76.119,23.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7241728,0,6750208,0,0,0,262144,0,0,0,131072,0,0,0,0,0,0,2737889280,214695936,5077622784,4936622080,6270,15123,5,3,53,2.220,1.210,0.650,0,0,2.220,1.210,0.650,2737889280,214695936,5077622784,4936622080,5,3,53,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,2,0,0,0,2,0,0,0,2272,97634,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,533,0,0,1,0,0,66,0,66,0,10538,15694,17320,0,0,0,0,0,3.800,4,0,0.300,0,0,0
1770764172.244,20.707,4.040,0,75.253,0,0,0,0,0,0,0,0,0,0,0,0,4227072,0,3473408,0,0,0,0,0,98304,0,851968,0,0,0,0,0,0,2737201152,214695936,5078310912,4937273344,1766,4624,0,3,2,2.220,1.210,0.650,0,2,2.220,1.210,0.650,2737201152,214695936,5078310912,4937273344,0,3,2,0,0,0,0,0,0,0,0,0,0,0,22,0,8,0,0,0,0,0,2,0,3,0,0,0,2240,97602,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,533,0,0,1,0,0,66,0,66,0,596,499,783,0,0,0,0,0,1.100,1.200,0,0,0.100,0.100,0
1770764173.244,8.122,8.122,0,83.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,2737143808,214695936,5078368256,4937322496,2339,5894,0,3,38,2.220,1.210,0.650,0,0,2.220,1.210,0.650,2737143808,214695936,5078368256,4937322496,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2272,97626,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,533,0,0,1,0,0,66,0,66,0,9273,10514,10466,0,0,0,0,0,0,0,0,0,0,0,0
1770764174.244,6.533,7.538,0,85.930,0,0,0,0,0,0,0,0,0,0,0,0,950272,0,557056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2737045504,214695936,5078466560,4937478144,1138,5066,0,3,21,2.040,1.190,0.650,0,2,2.040,1.190,0.650,2737045504,214695936,5078466560,4937478144,0,3,21,0,0,0,0,0,0,0,0,0,0,0,25,0,21,0,0,0,0,0,0,0,0,0,0,0,2272,97613,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,533,0,0,1,0,0,66,0,66,0,3936,3089,2721,0,0,0,0,0,0.200,0.500,0,0,0,0,0
