"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","a4003c34b0aa",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260210225921/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","10 Feb 2026 23:03:19 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1770764599.798,6.220,2.714,90.274,0.792,0,1903.687,0,788.049,0,15617.222,0,13694.635,0,182.694,0,1218351.197,4653640.026,1449237.983,4500458.498,630.553,2.291,623017.134,9652958.487,243212.072,1967097.591,594943.762,4674769.007,160.359,0,0,0,0,0,2610507776,699621376,4725747712,4977459200,821.457,3108.087,3,5,7.285,3.620,2.600,1.520,0.062,0.995,3.620,2.600,1.520,2610511872,699621376,4725743616,4977459200,3,5,7.285,0.022,0,0.005,0,0.053,0,0.046,0,0.003,0,3.929,7.869,5.294,5.719,0.004,0.000,0.295,2.063,0.085,0.305,1.280,3.176,0.005,0,0,2304,97081,0,0,0,0,0,0,0,68,1,1,0,0,1,0,0,532,0,0,1,0,0,64,0,64,0.833,1768.119,3658.332,3741.510,0.001,0.000,0.004,0.000,0.000,1.167,1.246,0.000,0.380,0.061,0.246,0.001
1770764600.798,83.582,14.925,0.498,0.995,0,0,0,0,0,0,0,0,0,0,0,11239424,7077888,6291456,5603328,0,0,24477696,0,16646144,0,0,98304,0,0,672,0,0,0,2614550528,683069440,4738093056,4973400064,3892,11214,5,1,22,3.620,2.600,1.520,0,0,3.620,2.600,1.520,2614550528,683069440,4738093056,4973518848,4,1,22,0,0,0,0,0,0,0,0,0,0,29,47,14,28,0,0,4,0,2,0,0,1,0,0,0,2240,97090,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,8,3586,9048,2802,0,0,0,0,0,5.500,5.700,0,0.200,0,0,0
1770764601.799,77.500,22.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4653056,0,4259840,0,0,0,193298432,0,0,0,0,0,0,336,0,0,0,2646855680,648712192,4740071424,4941254656,3943,13178,5,1,48,3.620,2.600,1.520,0,2,3.620,2.600,1.520,2646855680,648712192,4740071424,4941254656,4,2,48,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,104,0,0,0,0,0,0,0,2272,97153,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,7678,11703,12113,0,0,0,0,0,15,15.200,0,1.300,0,0,0
1770764602.798,86.432,13.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6586368,0,6094848,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,2674614272,618172416,4742799360,4913328128,3258,13172,3,2,9,3.620,2.600,1.520,0,0,3.620,2.600,1.520,2674614272,618172416,4742799360,4913328128,3,2,9,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,1,0,0,0,2304,97145,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1715,8585,2457,0,0,0,0,0,3.900,4.300,0,0,0,0,0
1770764603.798,85.075,14.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8159232,0,7667712,0,0,0,0,0,0,0,20840448,0,0,0,0,0,0,2668199936,615313408,4752052224,4913688576,3660,11116,7,1,15,3.620,2.600,1.520,0,2,3.620,2.600,1.520,2667487232,615313408,4752764928,4913688576,9,1,15,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,325,0,0,0,2272,97145,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,3336,8659,1273,0,0,0,0,0,2.100,2.600,0,0,0,0.600,0
1770764604.798,71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5308416,0,4784128,0,0,0,393216,0,163840,0,131072,0,0,0,0,0,0,2691743744,595259392,4748472320,4895895552,4763,17724,4,2,59,4.210,2.740,1.570,0,0,4.210,2.740,1.570,2691743744,595259392,4748472320,4895895552,4,1,59,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,0,0,2,0,3,0,2,0,0,0,2272,97104,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,11746,25452,30338,0,0,0,0,0,10.600,10.600,0,0.300,0.100,0,0
1770764605.798,27.778,3.030,26.768,42.424,0,0,0,0,0,0,0,0,0,0,0,0,3997696,0,3506176,0,0,0,0,0,0,0,819200,0,0,0,0,0,0,2690117632,595259392,4750045184,4897636352,1215,4086,0,3,3,4.210,2.740,1.570,0,2,4.210,2.740,1.570,2690117632,595259392,4750045184,4897636352,0,3,3,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,0,0,0,0,0,2,0,0,0,2272,97075,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1681,2372,785,0,0,0,0,0,0.400,0.400,0,0,0,0,0
1770764606.798,4.061,6.091,3.553,86.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25395200,0,0,0,98304,0,0,0,0,0,0,2696089600,589291520,4750049280,4891660288,1905,5680,0,3,32,4.210,2.740,1.570,0,0,4.210,2.740,1.570,2696089600,589291520,4750049280,4891660288,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,2240,97097,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,7087,11417,11147,0,0,0,0,0,0,0,0,0.200,0,0,0
1770764607.798,4.500,3.500,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,2695798784,589529088,4750098432,4891955200,655,13899,0,3,10,4.210,2.740,1.570,0,2,4.210,2.740,1.570,2695798784,589529088,4750098432,4891955200,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2240,97089,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,960,742,946,0,0,0,0,0,0,0,0,0,0,0,0
