"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","d830dc1457a8",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260211002052/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","11 Feb 2026 00:24:56 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1770769496.517,14.302,6.680,76.325,2.692,0,13812.168,0,5745.661,0,113984.888,0,5269126.883,7221685.762,4302475.818,7082267.750,4604.056,16.727,89434.104,0,263.447,0,1648114.098,15769590.591,642849.178,46382189.796,4084197.140,34298574.762,1170.877,0,0,0,0,0,2867130368,533045248,4689375232,4720631808,1853.296,7464.233,9,3,21.341,2.400,1.730,0.960,0.584,1.111,2.400,1.730,0.960,2867130368,533045248,4689375232,4720631808,5,3,21.342,0.157,0,0.037,0,0.388,0,16.050,9.620,17.497,8.276,0.032,0.002,0.301,0,0.018,0,0.584,2.178,0.855,7.848,8.311,12.222,0.040,0,0,2304,74598,0,0,0,0,0,0,0,60,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,5.431,5678.076,12325.481,12632.435,0.005,0.001,0.023,4.012,3.967,0.000,0.003,0,0.521,2.245,1.972,0.006
1770769497.518,71,26.500,0,2.500,0,0,0,0,0,0,0,67960832,7077888,29655040,5275648,0,0,0,0,0,0,135692288,0,0,0,0,0,0,0,672,0,0,0,2846961664,504950784,4737380352,4741214208,7169,21688,5,2,96,2.400,1.730,0.960,0,2,2.400,1.730,0.960,2846961664,504950784,4737380352,4741214208,5,1,95,0,0,0,0,0,0,189,65,160,40,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,2336,74743,0,0,0,0,0,0,0,64,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,41,14232,43976,41496,0,0,0,15.700,15.800,0,0,0,0.800,0,0,0
1770769498.517,85,15,0,0,0,0,0,0,0,0,0,1015808,7143424,425984,6619136,0,0,0,0,0,0,0,131072,0,0,0,0,0,0,336,0,0,0,2846932992,500756480,4741496832,4741033984,5707,10668,3,2,1,2.530,1.770,0.980,0,0,2.530,1.770,0.980,2846932992,500756480,4741496832,4741033984,3,2,1,0,0,0,0,0,0,5,16,3,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2304,74735,0,0,0,0,0,0,0,64,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,1902,3781,217,0,0,0,4.100,4.500,0,0,0,0,0,0,0
1770769499.517,76.884,23.116,0,0,0,0,0,0,0,0,0,0,5439488,0,5046272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,2852507648,492109824,4744429568,4735492096,5323,15495,4,2,30,2.530,1.770,0.980,0,2,2.530,1.770,0.980,2852507648,492109824,4744429568,4735492096,5,1,30,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,74740,0,0,0,0,0,0,0,64,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4611,10796,3823,0,0,0,8.200,8.600,0,0,0,0,0,0,0
1770769500.517,80.500,19.500,0,0,0,0,0,0,0,0,0,0,9535488,0,9043968,0,0,0,0,0,0,0,74153984,0,0,0,16416768,0,0,0,0,0,0,2851729408,487915520,4749402112,4736147456,5896,13847,4,1,9,2.530,1.770,0.980,0,0,2.530,1.770,0.980,2851729408,487915520,4749402112,4736147456,4,1,9,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,12,0,0,0,296,0,0,0,2304,74690,0,0,0,0,0,0,0,64,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1779,3282,1764,0,0,0,7.400,7.700,0,0,0,0.200,0,0.900,0
1770769501.517,77.500,22.500,0,0,0,0,0,0,0,0,0,0,6815744,0,6422528,0,0,0,0,0,0,0,0,0,98304,14909440,65536,0,0,0,0,0,0,2854858752,478752768,4755341312,4732575744,6303,12004,5,2,11,2.530,1.770,0.980,0,2,2.530,1.770,0.980,2854858752,478752768,4755341312,4732575744,5,2,11,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,2,54,1,0,0,0,2304,74696,0,0,0,0,0,0,0,64,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,18,3264,7915,6079,0,0,0,3.900,4.300,0,0,0,0,0.700,1.400,0
1770769502.517,44,5.500,16.500,34,0,0,0,0,0,0,0,2916352,5832704,1048576,5242880,0,0,0,0,0,0,0,458752,0,0,0,1474560,0,0,0,0,0,0,2843877376,485978112,4758982656,4743581696,3179,3737,0,3,2,2.530,1.770,0.980,0,0,2.530,1.770,0.980,2843877376,485978112,4758982656,4743581696,0,3,2,0,0,0,0,0,0,5,19,1,11,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,2272,74664,0,0,0,0,0,0,0,64,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,963,1463,778,0,0,0,1.500,1.600,0,0,0,0,0,0.100,0
1770769503.517,6.061,8.586,42.424,42.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135888896,294912,0,0,0,0,0,0,0,2874859520,454881280,4759072768,4712579072,2078,18313,0,3,33,2.400,1.760,0.980,0,2,2.400,1.760,0.980,2874859520,454881280,4759072768,4712579072,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4,0,0,0,0,2304,74688,0,0,0,0,0,0,0,64,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,7011,11890,11849,0,0,0,0,0,0,0,0,0,0.800,0,0
1770769504.517,4.020,2.010,47.236,46.734,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874843136,454881280,4759089152,4712595456,562,12036,0,3,4,2.400,1.760,0.980,0,0,2.400,1.760,0.980,2874843136,454881280,4759089152,4712595456,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,74678,0,0,0,0,0,0,0,64,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,696,558,543,0,0,0,0,0,0,0,0,0,0,0,0
