"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","197d7b25d7ea",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260211003452/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","11 Feb 2026 00:38:35 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1770770315.972,18.579,7.349,71.041,3.032,0,9738.517,0,4051.081,0,80367.085,0,5215501.884,10043438.526,4492740.618,9839988.149,3246.172,11.794,63295.935,0,185.748,0,2714463.324,11258126.079,701883.750,36838351.997,2902020.430,24292327.009,825.548,0,0,0,0,0,2835091456,548171776,4695191552,4753395712,2012.364,7869.982,1,4,21.164,2.040,1.700,1.270,0.412,1.071,2.040,1.700,1.270,2835091456,548171776,4695191552,4753395712,1,4,21.164,0.111,0,0.026,0,0.274,0,17.011,13.776,19.697,11.673,0.022,0.001,0.213,0,0.013,0,0.792,1.651,0.751,7.116,6.034,9.748,0.028,0,0,2336,81485,0,0,0,0,0,0,0,68,1,1,0,0,1,0,0,532,0,0,1,0,0,64,0,64,4.299,5605.055,11654.348,11917.257,0.004,0.001,0.016,4.359,4.368,0.000,0.002,0,0.381,1.726,1.404,0.004
1770770316.973,77.500,20.500,0,2,0,0,0,0,0,0,0,15532032,7307264,9043968,5701632,0,0,0,0,0,0,17694720,0,1867776,0,1638400,32768,0,0,672,0,0,0,2863509504,507109376,4707770368,4725166080,6562,25076,5,2,61,2.040,1.700,1.270,0,2,2.040,1.700,1.270,2863509504,507109376,4707770368,4725166080,5,2,60,0,0,0,0,0,0,39,59,20,36,0,0,0,0,0,0,15,0,2,0,3,1,0,0,0,2336,81554,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,12,8961,18309,13634,0,0,0,5,5.600,0,0,0,0.100,0.700,0,0
1770770317.974,75.500,24.500,0,0,0,0,0,0,0,0,0,0,5603328,0,5111808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,2861936640,505819136,4710588416,4726718464,5819,16587,4,2,26,2.040,1.700,1.270,0,0,2.040,1.700,1.270,2861936640,505819136,4710588416,4726718464,5,2,26,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2336,81596,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,6495,5663,4371,0,0,0,6.100,6.300,0,0,0,0,0,0,0
1770770318.973,82.915,17.085,0,0,0,0,0,0,0,0,0,0,6422528,0,6029312,0,0,0,0,0,0,0,0,0,237207552,0,0,0,0,336,0,0,0,2875809792,488538112,4713930752,4712800256,6273,11985,3,1,1,2.120,1.730,1.280,0,2,2.120,1.730,1.280,2875809792,488538112,4713930752,4712800256,3,1,1,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,2336,81595,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1100,8920,726,0,0,0,6.100,6.200,0,0,0,0,4,0,0
1770770319.973,81,19,0,0,0,0,0,0,0,0,0,0,8519680,0,7995392,0,0,0,0,0,0,0,4423680,0,491520,0,360448,0,0,0,0,0,0,2878169088,481505280,4718538752,4710141952,5988,12097,5,1,8,2.120,1.730,1.280,0,0,2.120,1.730,1.280,2878169088,481505280,4718538752,4710141952,5,1,8,0,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,0,3,0,2,0,10,0,0,0,2336,81545,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2751,4429,2703,0,0,0,2.500,2.700,0,0,0,0,0.400,0,0
1770770320.973,82.587,17.413,0,0,0,0,0,0,0,0,0,0,9601024,0,9109504,0,0,0,0,0,0,0,0,0,0,0,28377088,0,0,0,0,0,0,2887991296,466149376,4723974144,4699955200,5904,12381,8,1,2,2.120,1.730,1.280,0,2,2.120,1.730,1.280,2887991296,466149376,4723974144,4699955200,7,1,2,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,2336,81545,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,957,4278,1261,0,0,0,5.100,5.300,0,0,0,0,0,0.900,0
1770770321.973,19.697,9.091,0,71.212,0,0,0,0,0,0,0,2916352,3178496,1048576,2785280,0,0,0,0,0,0,0,229376,0,0,0,3342336,0,0,0,0,0,0,2886541312,465375232,4726132736,4701478912,2355,22179,0,3,19,2.120,1.730,1.280,0,0,2.120,1.730,1.280,2886541312,465375232,4726132736,4701478912,0,3,19,0,0,0,0,0,0,5,15,1,9,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,2304,81528,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,1,3808,3135,3072,0,0,0,0.600,0.900,0,0,0,0,0,0,0
1770770322.973,7.538,10.553,5.528,76.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2908917760,442986496,4726161408,4679102464,1460,15597,0,3,44,2.120,1.730,1.280,0,2,2.120,1.730,1.280,2908917760,442986496,4726161408,4679102464,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272,81531,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,7559,12243,12241,0,0,0,0,0,0,0,0,0,0,0,0
1770770323.973,2.500,3.500,46.500,47.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2908913664,442986496,4726165504,4679106560,1173,4285,0,3,7,1.950,1.700,1.270,0,0,1.950,1.700,1.270,2908913664,442986496,4726165504,4679106560,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272,81537,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1944,1681,1640,0,0,0,0,0,0,0,0,0,0,0,0
