"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fd38d31d8400",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260211004227/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","11 Feb 2026 00:46:13 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1770770773.562,23.029,8.210,65.234,3.527,0,8361.457,0,3478.245,0,69002.904,0,5448973.836,12864796.228,4792203.299,12604469.623,2787.152,10.126,55910.123,0,159.483,0,3023543.801,9707259.005,696350.125,35301701.155,2504889.190,20934265.318,708.813,0,0,0,0,0,2898550784,837287936,4335288320,4687814656,2250.128,8293.656,5,3,21.612,3.250,2.450,1.780,0.354,1.058,3.250,2.450,1.780,2898440192,837287936,4335398912,4687933440,2,5,21.612,0.095,0,0.022,0,0.235,0,18.522,17.624,22.019,14.925,0.019,0.001,0.189,0,0.011,0,0.926,1.484,0.716,7.433,5.289,9.256,0.024,0,0,2336,81263,0,0,0,0,0,0,0,68,1,1,0,0,1,0,0,532,0,0,1,0,0,64,0,64,3.963,5763.925,11848.760,12157.166,0.003,0.000,0.014,4.961,5.036,0.000,0.002,0,0.333,1.576,1.214,0.004
1770770774.562,81.407,17.588,0,1.005,0,0,0,0,0,0,0,2326528,10092544,786432,7667712,0,0,0,0,0,0,5537792,0,0,0,884736,491520,0,0,672,0,0,0,2912739328,817156096,4341108736,4673732608,6671,11171,4,2,41,3.250,2.450,1.780,0,0,3.250,2.450,1.780,2912739328,817156096,4341108736,4673732608,4,2,41,0,0,0,0,0,0,15,89,8,56,0,0,0,0,0,0,24,0,0,0,1,3,0,0,0,2336,81308,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,2,4847,12200,4961,0,0,0,5,4.900,0,0,0,0.100,0,2.200,0
1770770775.563,85.500,14.500,0,0,0,0,0,0,0,0,0,0,6979584,0,6488064,0,0,0,0,0,0,0,0,0,0,0,3473408,0,0,336,0,0,0,2912813056,813285376,4344868864,4673478656,6219,9526,4,1,4,3.250,2.450,1.780,0,2,3.250,2.450,1.780,2912813056,813285376,4344868864,4673478656,4,1,4,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2368,81315,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,1877,2262,803,0,0,0,8.400,8.600,0,0,0,0,0,0,0
1770770776.563,81.592,18.408,0,0,0,0,0,0,0,0,0,0,7307264,0,6815744,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,336,0,0,0,2923769856,798445568,4348637184,4662497280,5886,13199,3,2,15,3.250,2.450,1.780,0,0,3.250,2.450,1.780,2923769856,798445568,4348637184,4662497280,3,1,15,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2368,81349,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,3105,5384,2992,0,0,0,4.100,4.400,0,0,0,0,0,0,0
1770770777.562,80.905,19.095,0,0,0,0,0,0,0,0,0,0,7143424,0,6750208,0,0,0,0,0,0,0,0,0,113573888,0,0,0,0,0,0,0,0,2955513856,762896384,4352425984,4630683648,6073,12593,4,1,22,3.250,2.450,1.780,0,2,3.250,2.450,1.780,2955513856,762896384,4352425984,4630683648,4,1,22,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,2336,81289,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,4909,12075,10601,0,0,0,3.600,3.800,0,0,0,0,5.600,0,0
1770770778.562,81.500,18.500,0,0,0,0,0,0,0,0,0,0,9666560,0,9175040,0,0,0,0,0,0,0,3604480,0,0,0,17039360,0,0,0,0,0,0,2970652672,741924864,4358168576,4615057408,5840,11776,3,1,7,3.230,2.460,1.790,0,0,3.230,2.460,1.790,2970652672,741924864,4358168576,4615057408,3,1,7,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,3,0,0,0,295,0,0,0,2304,81275,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2756,11365,1901,0,0,0,6.300,6.500,0,0,0,0,0,0.600,0
1770770779.562,33.500,9.500,0,57,0,0,0,0,0,0,0,0,3145728,0,2621440,0,0,0,0,0,0,0,0,0,0,0,753664,0,0,0,0,0,0,2999414784,711471104,4359688192,4586323968,3787,8812,0,3,68,3.230,2.460,1.790,0,2,3.230,2.460,1.790,2999414784,711471104,4359688192,4586323968,0,3,68,0,0,0,0,0,0,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2304,81257,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,10860,28659,27704,0,0,0,2.500,2.600,0,0,0,0,0,0,0
1770770780.562,7.035,9.548,0,83.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393216,0,0,0,0,0,0,2999398400,711471104,4359704576,4586360832,1056,3798,0,3,30,3.230,2.460,1.790,0,0,3.230,2.460,1.790,2999398400,711471104,4359704576,4586360832,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2272,81261,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,4399,3316,3327,0,0,0,0,0,0,0,0,0,0,0,0
1770770781.563,36.181,25.628,0,38.191,0,0,0,0,0,0,0,491520,0,196608,0,0,0,0,0,0,0,0,0,0,0,0,327680,0,0,0,0,0,0,2995462144,710705152,4364365824,4590301184,8395,41220,5,3,14,3.230,2.460,1.790,0,2,3.230,2.460,1.790,2995462144,710705152,4364365824,4590301184,5,3,14,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2272,81230,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,2546,4308,2094,0,0,0,0.200,0.200,0,0,0,0,0,0,0
