"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","316d39c618d2",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260211011727/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","11 Feb 2026 01:21:13 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"dsk/sdb",,"dsk/sdc",,"dsk/sr0",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"io/sdb",,"io/sdc",,"io/sr0",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loo0","loo1","loo2","loo3","loo4","loo5","loo6","loo7","sda","sdb","sdc","sr0"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","dsk/sdc:read","dsk/sdc:writ","dsk/sr0:read","dsk/sr0:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","15","1m","5m","15m","used","free","cach","avai","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","io/sdb:read","io/sdb:writ","io/sdc:read","io/sdc:writ","io/sr0:read","io/sr0:writ","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loo0:util","loo1:util","loo2:util","loo3:util","loo4:util","loo5:util","loo6:util","loo7:util","sda:util","sdb:util","sdc:util","sr0:util"
1770772873.589,19.079,7.127,71.072,2.722,0,5070.787,0,2109.374,0,41846.659,0,4121284.851,10461259.333,3573587.654,10239016.700,1690.262,6.141,35236.059,0,96.718,0,2274588.034,5898103.674,499877.050,23651188.540,1567099.637,12823360.278,429.858,0,0,0,0,0,2861785088,569769984,4652118016,4730757120,1932.198,7760.419,1,3,20.226,2.500,1.530,0.910,0.214,1.026,2.500,1.530,0.910,2861785088,569769984,4652118016,4730757120,5,3,20.226,0.058,0,0.013,0,0.143,0,14.128,14.629,16.811,12.182,0.012,0.001,0.118,0,0.007,0,0.701,0.976,0.507,5.466,3.467,6.774,0.015,0,0,2272,74479,0,0,0,0,0,0,0,68,1,1,0,0,1,0,0,532,0,0,1,0,0,64,0,64,2.614,5033.421,10046.660,10258.430,0.002,0.000,0.009,3.754,3.875,0.000,0.001,0,0.206,1.045,0.748,0.002
1770772874.589,76.382,21.106,1.005,1.508,0,0,0,0,0,0,0,15400960,8912896,8912896,6946816,0,0,0,0,0,0,27000832,0,917504,0,0,491520,0,0,672,0,0,0,2872156160,544378880,4666867712,4720635904,6210,13274,4,1,47,2.620,1.570,0.930,0,2,2.620,1.570,0.930,2872156160,544378880,4666867712,4720635904,3,1,47,0,0,0,0,0,0,36,86,18,59,0,0,0,0,0,0,26,0,1,0,0,3,0,0,0,2304,74630,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,11,6439,13678,7729,0,0,0,4.100,4.600,0,0,0,0.300,0,0.100,0
1770772875.592,75.124,24.876,0,0,0,0,0,0,0,0,0,20316160,4653056,9437184,4259840,0,0,0,0,0,0,93257728,0,196608,0,0,32768,0,0,336,0,0,0,2889392128,504410112,4689596416,4703150080,5437,13830,7,5,53,2.620,1.570,0.930,0,0,2.620,1.570,0.930,2889392128,504410112,4689596416,4703150080,7,5,53,0,0,0,0,0,0,75,12,33,8,0,0,0,0,0,0,18,0,4,0,0,1,0,0,0,2368,74659,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,21,9786,14902,5311,0,0,0,34.200,34.100,0,0,0,0.900,0.100,0,0
1770772876.589,74.874,25.126,0,0,0,0,0,0,0,0,0,48168960,4849664,26148864,4358144,0,0,0,0,0,0,37027840,0,28049408,0,720896,3014656,0,0,336,0,0,0,2900746240,465182720,4717416448,4692148224,5374,13060,18,1,31,2.620,1.570,0.930,0,2,2.620,1.570,0.930,2900746240,465182720,4717416448,4692148224,18,1,31,0,0,0,0,0,0,171,16,115,13,0,0,0,0,0,0,8,0,25,0,4,5,0,0,0,2336,74712,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,40,8783,18752,8242,0,0,0,35.600,36.400,0,0,0,0.400,0.800,0.100,0
1770772877.590,74,26,0,0,0,0,0,0,0,0,0,0,4751360,0,4259840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2969399296,380035072,4733779968,4609794048,6902,14995,9,1,90,2.620,1.570,0.930,0,0,2.620,1.570,0.930,2969399296,380035072,4733779968,4609794048,9,1,90,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,74787,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,23386,47585,37392,0,0,0,4.500,4.700,0,0,0,0,0,0,0
1770772878.590,78.607,21.393,0,0,0,0,0,0,0,0,0,458752,4489216,458752,4063232,0,0,0,0,0,0,0,32768,0,98304,0,163840,0,0,0,0,0,0,2946723840,413831168,4722544640,4646187008,5465,11105,4,1,11,2.620,1.570,0.930,0,2,2.620,1.570,0.930,2946723840,413831168,4722544640,4646187008,3,1,11,0,0,0,0,0,0,8,13,11,8,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,2304,74697,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,7,6192,4662,9749,0,0,0,9.300,9.400,0,0,0,0,0.300,0,0
1770772879.589,29.293,5.051,0,65.657,0,0,0,0,0,0,0,2916352,5505024,1048576,5013504,0,0,0,0,0,0,0,98304,0,0,0,753664,0,0,0,0,0,0,2943619072,413831168,4725600256,4649381888,2497,5977,0,3,5,2.410,1.550,0.920,0,0,2.410,1.550,0.920,2943619072,413831168,4725600256,4649381888,0,3,5,0,0,0,0,0,0,5,15,1,8,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2304,74664,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,1,1524,1389,1630,0,0,0,1.100,1.100,0,0,0,0,0,0.100,0
1770772880.589,7.071,5.051,0,87.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,2943877120,413573120,4725600256,4649123840,1818,3736,0,3,15,2.410,1.550,0.920,0,2,2.410,1.550,0.920,2943877120,413573120,4725600256,4649123840,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2304,74677,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,0,3587,2630,2464,0,0,0,0,0,0,0,0,0,0,0,0
1770772881.590,48,29.500,0,22.500,0,0,0,0,0,0,0,1802240,753664,458752,557056,0,0,0,0,0,0,0,0,0,124452864,0,0,0,0,0,0,0,0,2942230528,409219072,4731588608,4650692608,11301,36906,6,3,28,2.410,1.550,0.920,0,0,2.410,1.550,0.920,2942001152,409219072,4731740160,4650876928,4,3,28,0,0,0,0,0,0,5,6,2,2,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,2304,74674,0,0,0,0,0,0,0,70,1,1,0,0,1,0,0,532,0,0,1,0,0,66,0,66,2,5262,7073,4264,0,0,0,0.600,0.700,0,0,0,0,0.800,0,0
