"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","96d36d492208",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251209175453/vertx-web-kotlinx/json/stats.txt",,,,"Date:","09 Dec 2025 17:58:59 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1765303139.851,9.600,0.612,89.631,0.156,0,8610437.215,15261377.992,6898547.064,0,0,0,0,0,521150464,6763884544,897798144,7556808704,2971.343,3038.470,0,0,6.324,2.540,1.500,0.640,1432.078,1325.501,92.930,4.471,58.289,10.330,20.677,0.072,7.972,0.064,2.540,1.500,0.640,521150464,6763884544,897798144,7556808704,0,0,6.324,45.196,20.083,11.975,0,0,1073737728,0,544,16042,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,8.694,1637.027,4589.325,11254.263,1.297,0.224,0,0,0,0,0,0,0,0
1765303140.852,75.236,16.016,8.614,0.135,0,6422528,2883584,0,0,672,0,0,0,567410688,6716780544,898625536,7510577152,10274,68595,12,0,39,3.220,1.660,0.690,1678,6951,63,0,66,0,17,0,53,0,3.220,1.660,0.690,567410688,6716780544,898625536,7510577152,13,0,39,13,54,0,0,0,1073737728,0,608,16231,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,6,9918,22499,14676,2.200,0,0,0,0,0,0,0,0,0
1765303141.852,64.586,33.243,2.171,0,0,0,0,0,0,336,0,0,0,601735168,6682456064,898625536,7476252672,9123,161329,11,0,0,3.220,1.660,0.690,327,7240,2,0,0,0,1,0,2,0,3.220,1.660,0.690,601735168,6682456064,898625536,7476252672,12,0,0,0,0,0,0,0,1073737728,0,608,16233,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,5988,18381,7482,0,0,0,0,0,0,0,0,0,0
1765303142.852,43.179,54.008,1.406,1.406,0,393216,0,1081344,0,336,0,0,0,600612864,6683365376,898834432,7477264384,9286,274888,9,1,1,3.220,1.660,0.690,537,6964,2,1,1382,4,1,0,4,0,3.220,1.660,0.690,600612864,6683365376,898834432,7477264384,9,1,1,12,0,4,0,0,1073737728,0,608,16236,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,2,90,1741,1646,68.800,0.200,0,0,0,0,0,0,0,0
1765303143.852,42.174,53.768,2.754,1.304,0,0,0,0,0,0,0,0,0,609751040,6674202624,898859008,7468261376,7744,238721,9,0,0,3.220,1.660,0.690,701,6639,2,3,254,0,1,0,3,0,3.220,1.660,0.690,609751040,6674202624,898859008,7468261376,11,0,0,0,0,0,0,0,1073737728,0,608,16234,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,133,3747,2146,52.300,0,0,0,0,0,0,0,0,0
1765303144.852,44.260,54.633,1.107,0,0,0,0,0,0,0,0,0,0,632778752,6651166720,898867200,7445258240,7369,260446,14,0,0,3.220,1.660,0.690,164,7169,2,0,0,0,2,0,2,0,3.220,1.660,0.690,632778752,6651166720,898867200,7445258240,0,0,0,0,0,0,0,0,1073737728,0,608,16234,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,581,9327,4141,0,0,0,0,0,0,0,0,0,0
1765303145.854,3.671,3.797,92.532,0,0,557056,360448,0,0,0,0,0,0,624812032,6659059712,898940928,7453204480,3342,21326,0,0,1,2.960,1.630,0.690,2401,865,26,0,7,0,26,0,4,0,2.960,1.630,0.690,624812032,6659059712,898940928,7453204480,0,0,1,2,2,0,0,0,1073737728,0,608,16220,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,1,149,175,1544,0.100,0,0,0,0,0,0,0,0,0
1765303146.854,0.252,0.252,99.497,0,0,0,0,0,0,0,0,0,0,624812032,6659059712,898940928,7453233152,1656,2281,0,0,0,2.960,1.630,0.690,1016,623,2,0,0,0,1,0,2,0,2.960,1.630,0.690,624812032,6659059712,898940928,7453233152,0,0,0,0,0,0,0,0,1073737728,0,608,16220,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,3,26,31,0,0,0,0,0,0,0,0,0,0
1765303147.853,0.251,0.376,99.373,0,0,0,0,0,0,0,0,0,0,624807936,6659059712,898945024,7453233152,1619,2250,1,0,0,2.960,1.630,0.690,1002,597,7,0,0,0,2,0,2,0,2.960,1.630,0.690,624807936,6659059712,898945024,7453233152,1,0,0,0,0,0,0,0,1073737728,0,608,16220,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,4,29,25,0,0,0,0,0,0,0,0,0,0
