"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","9fc644263907",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221122148/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","21 Dec 2025 12:26:07 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766319967.752,9.251,0.764,89.714,0.272,0,15954653.766,31290491.156,5828018.920,0,0,0,0,0,2048598016,4027842560,1878151168,5852377088,3638.960,4274.900,1,0,9.985,2.370,1.520,0.660,1880.952,1303.240,52.663,2.870,271.223,8.653,63.990,0.067,10.241,0.057,2.370,1.520,0.660,2048598016,4027842560,1878151168,5852377088,1,0,9.985,224.532,40.484,10.089,0,0,1073737728,0,6912,157785,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,518,0,0,1,0,0,56,0,56,9.268,4794.553,8290.442,11648.081,2.143,0.234,0,0,0,0,0,0,0,0
1766319968.753,72.471,10.243,17.286,0,0,6422528,3014656,0,0,672,0,0,0,2121031680,3954499584,1879011328,5779935232,19635,42966,8,0,40,2.370,1.520,0.660,9355,6658,69,0,68,0,17,0,52,0,2.370,1.520,0.660,2121031680,3954499584,1879011328,5779935232,10,0,40,13,57,0,0,0,1073737728,0,6944,157979,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,6,11451,81824,60594,0.700,0,0,0,0,0,0,0,0,0
1766319969.753,57.238,14.343,28.420,0,0,0,0,0,0,336,0,0,0,2177798144,3897733120,1879011328,5723168768,41057,93633,6,0,0,2.370,1.520,0.660,31571,5653,4,0,0,0,1,0,2,0,2.370,1.520,0.660,2177798144,3897733120,1879011328,5723168768,5,0,0,0,0,0,0,0,1073737728,0,6944,157979,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,2805,29458,16631,0,0,0,0,0,0,0,0,0,0
1766319970.753,41.036,17.507,41.457,0,0,0,0,0,0,336,0,0,0,2275545088,3799986176,1879011328,5625421824,70400,153640,7,0,2,2.660,1.590,0.680,63998,4650,3,0,0,0,1,0,2,0,2.660,1.590,0.680,2275545088,3799986176,1879011328,5625421824,4,0,2,0,0,0,0,0,1073737728,0,6944,157978,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,350,29035,2434,0,0,0,0,0,0,0,0,0,0
1766319971.754,38.440,18.942,42.618,0,0,0,0,0,0,0,0,0,0,2283933696,3791597568,1879011328,5617033216,78873,170747,5,0,0,2.660,1.590,0.680,72382,4816,2,0,0,0,1,0,10,0,2.660,1.590,0.680,2283933696,3791597568,1879011328,5617033216,8,0,0,0,0,0,0,0,1073737728,0,6944,157978,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,23,2094,1563,0,0,0,0,0,0,0,0,0,0
1766319972.753,37.941,19.605,41.044,1.410,0,0,0,0,0,0,0,0,0,2451066880,3624456192,1879019520,5449900032,80410,173310,7,0,1,2.660,1.590,0.680,72023,4774,2,2,1906,0,2,0,5,0,2.660,1.590,0.680,2451066880,3624456192,1879019520,5449900032,7,0,1,0,0,0,0,0,1073737728,0,6944,157978,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,195,46287,619,21.900,0,0,0,0,0,0,0,0,0
1766319973.757,2.018,1.135,96.847,0,0,557056,393216,0,0,0,0,0,0,2451763200,3623686144,1879093248,5449199616,5645,11372,0,0,1,2.660,1.590,0.680,4822,664,27,0,6,0,26,0,4,0,2.660,1.590,0.680,2451763200,3623686144,1879093248,5449199616,0,0,1,2,2,0,0,0,1073737728,0,6944,157964,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,1,140,165,1537,0.100,0,0,0,0,0,0,0,0,0
1766319974.758,0.499,0.250,99.251,0,0,0,0,0,0,0,0,0,0,2451759104,3623686144,1879097344,5449199616,307,377,0,0,0,2.660,1.590,0.680,148,149,2,0,0,0,2,0,2,0,2.660,1.590,0.680,2451759104,3623686144,1879097344,5449199616,1,0,0,0,0,0,0,0,1073737728,0,6944,157964,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,2,26,48,0,0,0,0,0,0,0,0,0,0
1766319975.756,0.125,0.125,99.749,0,0,0,0,0,0,0,0,0,0,2451759104,3623686144,1879097344,5449199616,289,382,0,0,0,2.450,1.560,0.680,157,127,2,0,0,0,1,0,2,0,2.450,1.560,0.680,2451759104,3623686144,1879097344,5449199616,0,0,0,0,0,0,0,0,1073737728,0,6944,157964,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,5,29,24,0,0,0,0,0,0,0,0,0,0
1766319976.754,0.379,0.253,99.369,0,0,0,0,0,0,0,0,0,0,2451750912,3623686144,1879105536,5449199616,1654,2172,3,0,0,2.450,1.560,0.680,1005,637,8,0,0,0,3,0,2,0,2.450,1.560,0.680,2451750912,3623686144,1879105536,5449199616,0,0,0,0,0,0,0,0,1073737728,0,6944,157964,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,624,26,52,0,0,0,0,0,0,0,0,0,0
1766319977.754,0.382,0.382,99.237,0,0,0,0,0,0,0,0,0,0,2451750912,3623686144,1879105536,5449224192,2489,3247,0,0,0,2.450,1.560,0.680,1464,1001,4,0,0,0,1,0,2,0,2.450,1.560,0.680,2451750912,3623686144,1879105536,5449224192,0,0,0,0,0,0,0,0,1073737728,0,6944,157964,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,3200,26,32,0,0,0,0,0,0,0,0,0,0
1766319978.753,65.696,26.456,7.848,0,0,0,131072,0,0,0,0,0,0,2547568640,3527303168,1879109632,5353410560,31096,115823,64,0,29,2.450,1.560,0.680,788,7427,11,0,4,0,10,0,4,0,2.450,1.560,0.680,2547568640,3527303168,1879109632,5353410560,104,0,29,0,2,0,0,0,1073737728,0,8096,159024,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,24957,36090,20320,0.300,0,0,0,0,0,0,0,0,0
