"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","2d32e9863603",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221123022/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","21 Dec 2025 12:34:53 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766320493.042,14.638,4.587,80.630,0.145,0,6168828.166,22487964.209,2106559.813,0,0,0,0,0,2130558976,3195850752,2598281216,5817184256,6863.909,28815.612,1,0,6.671,3.270,4.790,3.520,3009.349,1955.138,40.318,1.289,125.954,3.129,74.318,0.024,10.261,0.030,3.270,4.790,3.520,2130558976,3195850752,2598281216,5817184256,0,0,6.671,88.803,29.333,3.648,0,0,1073737728,0,6464,162577,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,518,0,0,1,0,0,56,0,56,3.427,3715.170,6158.548,7148.849,1.183,0.084,0,0,0,0,0,0,0,0
1766320494.044,77.070,11.210,11.720,0,0,0,2850816,65536,0,672,0,0,0,2229121024,3097190400,2598346752,5718605824,19182,54316,10,0,42,3.270,4.790,3.520,5058,7128,67,0,55,1,17,0,52,0,3.270,4.790,3.520,2229121024,3097190400,2598346752,5718605824,8,0,42,0,60,1,0,0,1073737728,0,6528,162762,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,1,13340,70072,44034,0.800,0,0,0,0,0,0,0,0,0
1766320495.043,62.681,16.426,20.894,0,0,0,0,0,0,336,0,0,0,2281922560,3044388864,2598346752,5665804288,38071,102241,6,0,0,3.270,4.790,3.520,23044,6210,2,0,0,0,1,0,2,1,3.270,4.790,3.520,2281922560,3044388864,2598346752,5665804288,3,0,0,0,0,0,0,0,1073737728,0,6528,162762,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,1625,25220,12773,0,0,0,0,0,0,0,0,0,0
1766320496.043,39.915,19.605,40.480,0,0,0,0,0,0,336,0,0,0,2383618048,2942693376,2598346752,5564108800,75908,177481,6,0,0,3.330,4.770,3.520,68427,4677,3,0,0,0,1,0,2,0,3.330,4.770,3.520,2383618048,2942693376,2598346752,5564108800,6,0,0,0,0,0,0,0,1073737728,0,6528,162761,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,177,33993,8259,0,0,0,0,0,0,0,0,0,0
1766320497.043,39.831,19.915,40.254,0,0,0,0,0,0,0,0,0,0,2400395264,2925916160,2598346752,5547331584,77475,182493,5,0,0,3.330,4.770,3.520,70093,4736,2,0,0,0,1,0,2,0,3.330,4.770,3.520,2400395264,2925916160,2598346752,5547331584,5,0,0,0,0,0,0,0,1073737728,0,6528,162761,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,29,8757,2078,0,0,0,0,0,0,0,0,0,0
1766320498.044,34.801,16.781,47.180,1.238,0,0,0,0,0,0,0,0,0,2561482752,2764820480,2598354944,5386244096,56275,125666,6,0,1,3.330,4.770,3.520,48226,4372,4,4,1879,0,2,0,5,0,3.330,4.770,3.520,2561482752,2764820480,2598354944,5386244096,7,0,1,0,0,0,0,0,1073737728,0,6528,162761,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,226,41189,2141,22.300,0,0,0,0,0,0,0,0,0
1766320499.044,2.270,1.009,96.595,0.126,0,0,327680,0,0,0,0,0,0,2552795136,2773504000,2598359040,5394927616,4428,8013,0,0,1,3.330,4.770,3.520,3346,948,31,0,5,0,26,0,4,0,3.330,4.770,3.520,2552795136,2773504000,2598359040,5394927616,0,0,1,0,2,0,0,0,1073737728,0,6528,162746,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,141,153,1552,0.300,0,0,0,0,0,0,0,0,0
1766320500.049,0.250,0.250,99.500,0,0,0,0,0,0,0,0,0,0,2552791040,2773504000,2598363136,5394944000,1182,1587,0,0,0,3.330,4.770,3.520,729,434,5,0,0,0,2,0,2,0,3.330,4.770,3.520,2552791040,2773504000,2598363136,5394944000,0,0,0,0,0,0,0,0,1073737728,0,6528,162746,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,1,27,24,0,0,0,0,0,0,0,0,0,0
1766320501.046,0.251,0.125,99.624,0,0,0,0,0,0,0,0,0,0,2552791040,2773504000,2598363136,5394944000,278,337,0,0,0,3.060,4.690,3.500,124,148,2,0,0,0,1,0,2,0,3.060,4.690,3.500,2552791040,2773504000,2598363136,5394944000,0,0,0,0,0,0,0,0,1073737728,0,6528,162746,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,0,24,24,0,0,0,0,0,0,0,0,0,0
