"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx-postgresql/db/stats.txt",,,,"Date:","21 Dec 2025 14:43:25 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766328205.071,20.693,8.514,70.727,0.066,0,1291250.443,17040370.819,792515.569,0,0,0,0,0,911638528,3152654336,3987058688,6815948800,17743.121,57570.702,2,0,6.301,1.910,4.130,4.660,11071.720,2780.912,26.313,0.492,35.313,1.207,28.796,0.008,7.788,0.022,1.910,4.130,4.660,911638528,3152654336,3987058688,6815948800,1,0,6.301,6.105,22.367,1.374,0,0,1073737728,0,896,48892,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,1.278,2177.961,9300.359,9668.219,0.588,0.021,0,0,0,0,0,0,0,0
1766328206.072,45.839,19.918,34.106,0.136,0,0,2916352,0,0,672,0,0,0,958410752,3105857536,3987083264,6769184768,59435,156421,7,0,40,1.910,4.130,4.660,47414,5245,65,0,58,0,16,0,54,0,1.910,4.130,4.660,958410752,3105857536,3987083264,6769184768,7,0,40,0,61,0,0,0,1073737728,0,864,49069,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,5950,24193,19722,0.700,0,0,0,0,0,0,0,0,0
1766328207.072,35.269,23.229,41.501,0,0,0,0,0,0,336,0,0,0,953397248,3110871040,3987083264,6774198272,83674,208871,5,0,0,2.560,4.230,4.690,74059,4613,4,0,0,0,1,0,2,0,2.560,4.230,4.690,953397248,3110871040,3987083264,6774198272,8,0,0,0,0,0,0,0,1073737728,0,864,49069,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,80,1130,551,0,0,0,0,0,0,0,0,0,0
1766328208.072,36.134,22.969,40.896,0,0,0,0,0,0,336,0,0,0,953397248,3110871040,3987083264,6774198272,83506,211989,10,0,0,2.560,4.230,4.690,74012,4719,2,0,0,0,1,0,2,0,2.560,4.230,4.690,953397248,3110871040,3987083264,6774198272,6,0,0,0,0,0,0,0,1073737728,0,864,49068,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,85,109,29,0,0,0,0,0,0,0,0,0,0
1766328209.072,35.169,23.729,41.102,0,0,0,0,0,0,0,0,0,0,953655296,3110612992,3987083264,6773940224,82091,213124,8,0,0,2.560,4.230,4.690,72832,4624,2,0,0,0,1,0,2,0,2.560,4.230,4.690,953655296,3110612992,3987083264,6773940224,8,0,0,0,0,0,0,0,1073737728,0,864,49068,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,33,57,1067,0,0,0,0,0,0,0,0,0,0
1766328210.072,36.503,23.357,40.140,0,0,0,0,0,0,0,0,0,0,947789824,3116470272,3987091456,6779805696,75931,204126,7,0,0,2.560,4.230,4.690,66668,4724,8,0,0,0,2,0,2,0,2.560,4.230,4.690,947789824,3116470272,3987091456,6779805696,7,0,0,0,0,0,0,0,1073737728,0,864,49068,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,38,79,1637,0,0,0,0,0,0,0,0,0,0
1766328211.082,5.151,3.518,91.332,0,0,0,393216,0,0,0,0,0,0,934039552,3130216448,3987095552,6793555968,11023,35443,0,0,1,2.560,4.230,4.690,9647,854,20,0,5,0,26,0,4,0,2.560,4.230,4.690,934039552,3130216448,3987095552,6793555968,0,0,1,0,2,0,0,0,1073737728,0,864,49053,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,172,1695,2574,0,0,0,0,0,0,0,0,0,0
1766328212.082,0.376,0.376,98.871,0.376,0,0,0,0,0,0,0,0,0,934813696,3129442304,3987095552,6792785920,1322,1851,0,0,1,2.350,4.160,4.670,671,201,2,4,436,0,1,0,4,0,2.350,4.160,4.670,934813696,3129442304,3987095552,6792785920,0,0,1,0,0,0,0,0,1073737728,0,864,49053,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,131,132,86,3.100,0,0,0,0,0,0,0,0,0
1766328213.076,0.378,0.126,99.496,0,0,0,0,0,0,0,0,0,0,935067648,3129184256,3987099648,6792531968,293,358,0,0,0,2.350,4.160,4.670,153,133,3,0,0,0,2,0,2,0,2.350,4.160,4.670,935067648,3129184256,3987099648,6792531968,0,0,0,0,0,0,0,0,1073737728,0,864,49053,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,34,59,41,0,0,0,0,0,0,0,0,0,0
1766328214.081,0.249,0.249,99.501,0,0,0,0,0,0,0,0,0,0,935059456,3129184256,3987107840,6792531968,297,363,0,0,0,2.350,4.160,4.670,152,137,2,0,0,0,3,0,2,0,2.350,4.160,4.670,935059456,3129184256,3987107840,6792531968,0,0,0,0,0,0,0,0,1073737728,0,864,49053,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,40,67,24,0,0,0,0,0,0,0,0,0,0
1766328215.076,0.504,0.126,99.370,0,0,0,0,0,0,0,0,0,0,935575552,3128668160,3987107840,6792015872,342,388,0,0,0,2.350,4.160,4.670,156,175,2,0,0,0,1,0,2,0,2.350,4.160,4.670,935575552,3128668160,3987107840,6792015872,0,0,0,0,0,0,0,0,1073737728,0,864,49053,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,32,99,679,0,0,0,0,0,0,0,0,0,0
1766328216.072,53.817,25.573,20.483,0.127,0,0,131072,0,0,0,0,0,0,946638848,3117211648,3987107840,6780964864,18851,61282,16,0,11,2.350,4.160,4.670,1856,6352,13,0,4,0,10,0,4,0,2.350,4.160,4.670,946638848,3117211648,3987107840,6780964864,21,0,11,0,2,0,0,0,1073737728,0,1792,50077,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,2606,30143,18073,0.100,0,0,0,0,0,0,0,0,0
1766328217.072,65.783,30.556,3.662,0,0,0,0,0,0,0,0,0,0,1007644672,3056205824,3987107840,6719959040,20950,70913,14,0,1,3.690,4.400,4.740,1444,7691,2,0,0,0,1,0,2,0,3.690,4.400,4.740,1007644672,3056205824,3987107840,6719959040,15,0,1,0,0,0,0,0,1073737728,0,1792,50077,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,226,40286,26816,0,0,0,0,0,0,0,0,0,0
1766328218.072,65.201,32.161,2.638,0,0,0,0,0,0,0,0,0,0,1055555584,3008286720,3987116032,6672048128,19862,70982,18,0,0,3.690,4.400,4.740,1650,7779,2,0,0,0,3,0,9,0,3.690,4.400,4.740,1055555584,3008286720,3987116032,6672048128,22,0,0,0,0,0,0,0,1073737728,0,1792,50077,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,105,40859,26905,0,0,0,0,0,0,0,0,0,0
1766328219.072,65.783,31.313,2.904,0,0,0,0,0,0,0,0,0,0,1052164096,3011678208,3987116032,6675439616,21782,73403,13,0,0,3.690,4.400,4.740,1564,7735,4,0,0,0,1,0,2,0,3.690,4.400,4.740,1052164096,3011678208,3987116032,6675439616,14,0,0,0,0,0,0,0,1073737728,0,1792,50077,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,2096,0,0,1,0,0,120,0,120,0,4,17218,17794,0,0,0,0,0,0,0,0,0,0
