"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx-postgresql/query/stats.txt",,,,"Date:","21 Dec 2025 14:45:38 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766328338.045,22.295,9.569,68.073,0.063,0,1216962.567,16069974.869,746920.774,0,0,0,0,0,1009127424,3054891008,3987136512,6718717952,18402.207,61315.342,1,0,6.019,12.670,7.530,5.840,10959.620,2967.262,25.201,0.466,33.620,1.138,27.420,0.008,7.576,0.022,12.670,7.530,5.840,1009127424,3054891008,3987136512,6718717952,1,0,6.019,5.754,21.240,1.295,0,0,1073737728,0,896,48884,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,1.204,2068.478,9224.225,9557.872,0.559,0.020,0,0,0,0,0,0,0,0
1766328339.046,40.082,21.888,37.893,0.137,0,0,2850816,0,0,672,0,0,0,1022681088,3041308672,3987165184,6705176576,65251,166517,8,0,41,12.670,7.530,5.840,54071,4972,75,0,55,0,16,0,55,0,12.670,7.530,5.840,1022681088,3041308672,3987165184,6705176576,8,0,41,0,57,0,0,0,1073737728,0,928,49083,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,3196,9051,10060,0.400,0,0,0,0,0,0,0,0,0
1766328340.046,39.554,22.006,38.440,0,0,0,0,0,0,336,0,0,0,1022681088,3041308672,3987165184,6705176576,66476,174862,10,0,0,12.670,7.530,5.840,56435,4778,13,0,0,0,1,0,5,0,12.670,7.530,5.840,1022681088,3041308672,3987165184,6705176576,5,0,0,0,0,0,0,0,1073737728,0,928,49083,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,67,94,52,0,0,0,0,0,0,0,0,0,0
1766328341.046,40.358,23.829,35.813,0,0,0,0,0,0,336,0,0,0,1022681088,3041308672,3987165184,6705176576,65132,188996,6,0,0,12.670,7.530,5.840,54550,5042,2,0,0,0,1,0,2,0,12.670,7.530,5.840,1022681088,3041308672,3987165184,6705176576,6,0,0,0,0,0,0,0,1073737728,0,928,49082,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,18,41,552,0,0,0,0,0,0,0,0,0,0
1766328342.046,40.650,24.797,34.553,0,0,0,0,0,0,0,0,0,0,1043652608,3020337152,3987165184,6684205056,63740,188923,7,0,1,12.670,7.530,5.840,53130,5151,4,0,0,0,1,0,2,0,12.670,7.530,5.840,1043652608,3020337152,3987165184,6684205056,6,0,1,0,0,0,0,0,1073737728,0,928,49082,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,1080,6657,6155,0,0,0,0,0,0,0,0,0,0
1766328343.046,42.219,27.199,30.582,0,0,0,0,0,0,0,0,0,0,1047838720,3016142848,3987173376,6680010752,56359,206786,10,0,0,12.380,7.550,5.860,45969,5438,2,0,0,0,2,0,2,0,12.380,7.550,5.860,1047838720,3016142848,3987173376,6680010752,10,0,0,0,0,0,0,0,1073737728,0,928,49082,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,8,2594,2088,0,0,0,0,0,0,0,0,0,0
1766328344.049,5.063,2.911,92.025,0,0,0,360448,0,0,0,0,0,0,1014829056,3049148416,3987177472,6713016320,10237,28112,0,0,1,12.380,7.550,5.860,9118,794,32,0,5,0,26,0,4,0,12.380,7.550,5.860,1014829056,3049148416,3987177472,6713016320,0,0,1,0,2,0,0,0,1073737728,0,896,49067,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,129,118,1559,0.100,0,0,0,0,0,0,0,0,0
1766328345.054,0.124,0.124,99.751,0,0,0,0,0,0,0,0,0,0,1015070720,3048902656,3987181568,6712770560,285,348,0,0,0,12.380,7.550,5.860,132,144,4,0,0,0,2,0,2,0,12.380,7.550,5.860,1015070720,3048902656,3987181568,6712770560,0,0,0,0,0,0,0,0,1073737728,0,896,49067,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,5,29,24,0,0,0,0,0,0,0,0,0,0
1766328346.056,0,0.125,99.875,0,0,0,0,0,0,0,0,0,0,1015316480,3048656896,3987181568,6712524800,257,316,0,0,0,12.380,7.550,5.860,124,127,2,0,0,0,1,0,2,0,12.380,7.550,5.860,1015316480,3048656896,3987181568,6712524800,0,0,0,0,0,0,0,0,1073737728,0,896,49067,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,17,41,25,0,0,0,0,0,0,0,0,0,0
