"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fe012b1fee03",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221160827/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","21 Dec 2025 16:13:39 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766333619.791,24.119,10.677,65.148,0.057,0,746863.448,18328367.159,446971.694,0,0,0,0,0,870432768,2128257024,4999680000,6894759936,16662.017,66811.937,1,0,5.089,2.410,3.370,5.540,8388.996,3099.315,23.055,0.318,28.942,0.681,28.550,0.005,6.867,0.019,2.410,3.370,5.540,870432768,2128257024,4999680000,6894759936,1,0,5.089,3.524,20.347,0.775,0,0,1073737728,0,832,62026,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,518,0,0,1,0,0,56,0,56,0.733,1806.354,8632.145,8771.714,0.623,0.012,0,0,0,0,0,0,0,0
1766333620.792,78.834,11.027,10.139,0,0,0,3440640,0,0,672,0,0,0,936529920,2062086144,4999737344,6828638208,19800,62332,14,0,41,2.410,3.370,5.540,3654,7299,73,0,59,0,17,0,60,0,2.410,3.370,5.540,936529920,2062086144,4999737344,6828638208,14,0,41,0,61,0,0,0,1073737728,0,832,62213,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,11097,25100,13452,0.600,0,0,0,0,0,0,0,0,0
1766333621.792,80.472,16.645,2.883,0,0,0,0,0,0,336,0,0,0,1031278592,1967337472,4999737344,6733889536,17262,100984,13,0,0,2.410,3.370,5.540,1303,7428,2,0,0,0,1,0,2,0,2.410,3.370,5.540,1031278592,1967337472,4999737344,6733889536,13,0,0,0,0,0,0,0,1073737728,0,832,62213,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,11705,27092,4652,0,0,0,0,0,0,0,0,0,0
1766333622.792,80.759,17.408,1.832,0,0,0,0,0,0,336,0,0,0,1032081408,1966534656,4999737344,6733086720,13971,121903,13,0,0,3.260,3.530,5.580,711,7531,3,0,0,0,1,0,2,0,3.260,3.530,5.580,1032081408,1966534656,4999737344,6733086720,11,0,0,0,0,0,0,0,1073737728,0,832,62212,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,417,446,2623,0,0,0,0,0,0,0,0,0,0
1766333623.792,79.523,19.472,1.005,0,0,0,2097152,0,0,0,0,0,0,1040715776,1957900288,4999737344,6724452352,11657,150449,14,0,0,3.260,3.530,5.580,273,7902,1,0,2,0,1,0,2,0,3.260,3.530,5.580,1040715776,1957900288,4999737344,6724452352,11,0,0,0,14,0,0,0,1073737728,0,832,62212,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,3293,11026,8651,0.400,0,0,0,0,0,0,0,0,0
1766333624.792,73.376,21.783,3.057,1.783,0,0,0,0,0,0,0,0,0,1074532352,1924075520,4999745536,6690635776,18619,164449,13,0,1,3.260,3.530,5.580,1217,7506,2,2,1224,0,2,0,3,0,3.260,3.530,5.580,1074532352,1924075520,4999745536,6690635776,13,0,1,0,0,0,0,0,1073737728,0,832,62214,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,243,10490,3639,33.100,0,0,0,0,0,0,0,0,0
1766333625.793,9.950,2.015,87.028,1.008,0,0,688128,0,0,0,0,0,0,1057173504,1941430272,4999749632,6708002816,4893,15025,0,0,1,3.260,3.530,5.580,1959,1055,18,1,1413,0,26,0,5,0,3.260,3.530,5.580,1057173504,1941430272,4999749632,6708002816,0,0,1,0,2,0,0,0,1073737728,0,832,62197,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,237,215,1601,7.300,0,0,0,0,0,0,0,0,0
1766333626.802,0.248,0.124,99.628,0,0,0,0,0,0,0,0,0,0,1057169408,1941430272,4999753728,6708002816,298,373,0,0,0,3.260,3.530,5.580,147,141,6,0,0,0,2,0,2,0,3.260,3.530,5.580,1057169408,1941430272,4999753728,6708002816,0,0,0,0,0,0,0,0,1073737728,0,832,62197,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,34,77,32,0,0,0,0,0,0,0,0,0,0
1766333627.800,0.501,0.125,99.373,0,0,0,2097152,0,0,0,0,0,0,1057427456,1941172224,4999753728,6707744768,331,379,0,0,0,2.990,3.470,5.550,160,159,3,0,5,0,1,0,2,0,2.990,3.470,5.550,1057427456,1941172224,4999753728,6707744768,0,0,0,0,8,0,0,0,1073737728,0,832,62197,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,36,59,24,0.100,0,0,0,0,0,0,0,0,0
