"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb894cd2aceb",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251222103754/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","22 Dec 2025 10:42:09 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766400129.212,9.048,0.804,89.947,0.201,0,8762204.214,31138874.546,5419838.329,0,0,0,0,0,938868736,5265997824,1935372288,6744424448,3408.123,4423.766,1,0,13.715,1.710,1.440,0.640,1768.322,1243.116,105.963,2.811,108.878,8.151,73.737,0.057,17.916,0.053,1.710,1.440,0.640,938868736,5265997824,1935372288,6744424448,1,0,13.715,41.449,44.330,9.365,0,0,1073737728,0,864,33727,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,8.696,3971.382,8228.496,12308.133,1.410,0.162,0,0,0,0,0,0,0,0
1766400130.214,65.773,20.945,13.155,0.128,0,6422528,2916352,0,0,672,0,0,0,1041375232,5162663936,1936199680,6641942528,30639,146933,12,0,39,1.710,1.440,0.640,11055,7034,58,0,69,0,17,0,55,0,1.710,1.440,0.640,1041375232,5162663936,1936199680,6641942528,12,0,39,13,59,0,0,0,1073737728,0,896,33911,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,6,2996,49373,27365,0.900,0,0,0,0,0,0,0,0,0
1766400131.213,50.740,24.630,24.630,0,0,0,0,0,0,336,0,0,0,1179787264,5024251904,1936199680,6503530496,54190,203506,9,0,0,1.710,1.440,0.640,39788,5936,6,0,0,0,1,0,2,0,1.710,1.440,0.640,1179787264,5024251904,1936199680,6503530496,6,0,0,0,0,0,0,0,1073737728,0,896,33911,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,201,54002,19022,0,0,0,0,0,0,0,0,0,0
1766400132.213,40.446,22.315,37.238,0,0,0,0,0,0,336,0,0,0,1167958016,5036081152,1936199680,6515359744,77125,193175,8,0,0,2.060,1.520,0.670,67551,4938,2,0,0,0,1,0,2,0,2.060,1.520,0.670,1167958016,5036081152,1936199680,6515359744,8,0,0,0,0,0,0,0,1073737728,0,896,33910,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,18,1573,1567,0,0,0,0,0,0,0,0,0,0
1766400133.213,41.423,21.060,37.517,0,0,0,0,0,0,0,0,0,0,1157730304,5046308864,1936199680,6525587456,78000,195904,7,0,0,2.060,1.520,0.670,68513,4896,4,0,0,0,1,0,2,0,2.060,1.520,0.670,1157730304,5046308864,1936199680,6525587456,7,0,0,0,0,0,0,0,1073737728,0,896,33910,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,9,33,2594,0,0,0,0,0,0,0,0,0,0
1766400134.213,39.045,21.910,39.045,0,0,0,0,0,0,0,0,0,0,1157722112,5046308864,1936207872,6525587456,72013,181706,6,0,0,2.060,1.520,0.670,62954,4900,3,0,0,0,2,0,2,0,2.060,1.520,0.670,1157722112,5046308864,1936207872,6525587456,6,0,0,0,0,0,0,0,1073737728,0,896,33910,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,8,34,44,0,0,0,0,0,0,0,0,0,0
1766400135.214,2.023,1.264,96.713,0,0,557056,425984,0,0,0,0,0,0,1143537664,5060415488,1936285696,6539780096,5416,11829,0,0,1,2.060,1.520,0.670,4284,862,23,0,7,0,26,0,4,0,2.060,1.520,0.670,1143537664,5060415488,1936285696,6539780096,0,0,1,2,2,0,0,0,1073737728,0,896,33896,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,1,141,148,1552,0.100,0,0,0,0,0,0,0,0,0
1766400136.214,0.126,0.505,98.737,0.631,0,0,0,0,0,0,0,0,0,1143533568,5060415488,1936289792,6539780096,2747,3825,0,0,1,2.060,1.520,0.670,1575,654,4,3,495,0,2,0,5,0,2.060,1.520,0.670,1143533568,5060415488,1936289792,6539780096,0,0,1,0,0,0,0,0,1073737728,0,928,33896,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,99,97,86,4.300,0,0,0,0,0,0,0,0,0
1766400137.214,0.250,0.250,99.500,0,0,0,0,0,0,0,0,0,0,1143533568,5060415488,1936289792,6539780096,414,512,0,0,0,1.970,1.510,0.670,228,178,2,0,0,0,1,0,2,0,1.970,1.510,0.670,1143533568,5060415488,1936289792,6539780096,0,0,0,0,0,0,0,0,1073737728,0,928,33896,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,0,25,24,0,0,0,0,0,0,0,0,0,0
