"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb894cd2aceb",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251222103754/vertx-web-kotlinx-exposed-r2dbc-postgresql/fortune/stats.txt",,,,"Date:","22 Dec 2025 10:48:13 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766400493.687,24.678,9.399,65.815,0.108,0,4094451.531,18044006.541,2525324.503,0,0,0,0,0,2079809536,4120584192,1940004864,5603545088,29297.286,82083.983,0,0,7.197,8.370,6.350,3.190,22769.764,3496.762,53.360,1.336,56.771,3.799,36.978,0.026,10.647,0.034,8.370,6.350,3.190,2079809536,4120584192,1940004864,5603545088,0,0,7.197,19.340,24.595,4.365,0,0,1073737728,0,832,33719,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,4.065,2254.630,5859.834,7358.373,0.814,0.075,0,0,0,0,0,0,0,0
1766400494.688,44.233,17.775,37.992,0,0,0,3211264,0,0,672,0,0,0,2064273408,4136071168,1940037632,5619081216,52470,156095,7,0,47,8.370,6.350,3.190,43561,5050,72,0,56,0,17,0,56,0,8.370,6.350,3.190,2064273408,4136071168,1940037632,5619081216,8,0,47,0,56,0,0,0,1073737728,0,864,33933,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3786,10128,11018,0.300,0,0,0,0,0,0,0,0,0
1766400495.688,42.378,19.580,38.042,0,0,0,1245184,0,0,336,0,0,0,2064273408,4136071168,1940037632,5619081216,67030,165404,8,0,0,8.370,6.350,3.190,58086,4874,6,0,1,0,1,0,2,0,8.370,6.350,3.190,2064273408,4136071168,1940037632,5619081216,7,0,0,0,1,0,0,0,1073737728,0,864,33933,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,13,549,1056,0,0,0,0,0,0,0,0,0,0
1766400496.688,42.329,20.685,36.986,0,0,0,0,0,0,336,0,0,0,2064273408,4136071168,1940037632,5619081216,73284,182037,9,0,0,8.340,6.380,3.220,63766,5015,2,0,0,0,1,0,2,0,8.340,6.380,3.220,2064273408,4136071168,1940037632,5619081216,8,0,0,0,0,0,0,0,1073737728,0,864,33932,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,16,39,1053,0,0,0,0,0,0,0,0,0,0
1766400497.688,43.034,19.448,37.517,0,0,0,0,0,0,0,0,0,0,2049851392,4150493184,1940037632,5633503232,72666,180757,6,0,0,8.340,6.380,3.220,63236,5139,4,0,0,0,1,0,2,0,8.340,6.380,3.220,2049851392,4150493184,1940037632,5633503232,7,0,0,0,0,0,0,0,1073737728,0,864,33932,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,16,2085,5630,0,0,0,0,0,0,0,0,0,0
1766400498.688,42.142,20.584,37.274,0,0,0,0,0,0,0,0,0,0,2038362112,4161974272,1940045824,5644984320,73021,183614,6,0,0,8.340,6.380,3.220,63630,5090,2,0,0,0,2,0,2,0,8.340,6.380,3.220,2038362112,4161974272,1940045824,5644984320,7,0,0,0,0,0,0,0,1073737728,0,864,33932,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,12,40,1055,0,0,0,0,0,0,0,0,0,0
1766400499.689,2.904,1.894,95.202,0,0,0,2490368,0,0,0,0,0,0,2019631104,4180701184,1940049920,5663719424,8260,17218,0,0,1,8.340,6.380,3.220,6970,1000,12,0,6,0,26,0,4,0,8.340,6.380,3.220,2019631104,4180701184,1940049920,5663719424,0,0,1,0,3,0,0,0,1073737728,0,864,33917,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,133,190,1621,0.100,0,0,0,0,0,0,0,0,0
1766400500.688,0.754,0.377,98.869,0,0,0,0,0,0,0,0,0,0,2013261824,4187070464,1940049920,5670096896,927,1145,0,0,3,8.340,6.380,3.220,489,398,15,0,0,0,1,0,5,0,8.340,6.380,3.220,2013261824,4187070464,1940049920,5670096896,0,0,3,0,0,0,0,0,1073737728,0,864,33917,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,325,447,4113,0,0,0,0,0,0,0,0,0,0
1766400501.694,0.248,0.124,99.627,0,0,0,0,0,0,0,0,0,0,2013257728,4187070464,1940054016,5670096896,388,518,0,0,0,7.670,6.270,3.200,203,167,4,0,0,0,2,0,11,0,7.670,6.270,3.200,2013257728,4187070464,1940054016,5670096896,0,0,0,0,0,0,0,0,1073737728,0,864,33917,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,28,25,0,0,0,0,0,0,0,0,0,0
1766400502.691,0.251,0.125,99.624,0,0,0,2097152,0,0,0,0,0,0,2013249536,4187070464,1940062208,5670096896,317,407,0,0,0,7.670,6.270,3.200,161,147,2,0,2,0,3,0,2,0,7.670,6.270,3.200,2013249536,4187070464,1940062208,5670096896,0,0,0,0,4,0,0,0,1073737728,0,864,33917,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2,28,24,0.200,0,0,0,0,0,0,0,0,0
1766400503.689,0.627,0.627,98.243,0.502,0,0,2621440,0,0,0,0,0,0,2014269440,4187328512,1938784256,5669076992,2199,3085,0,0,1,7.670,6.270,3.200,1189,430,4,2,559,0,1,0,4,0,7.670,6.270,3.200,2014269440,4187328512,1938784256,5669076992,0,0,1,0,41,0,0,0,1073737728,0,864,33912,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,86,114,410,4.300,0,0,0,0,0,0,0,0,0
1766400504.687,39.757,17.790,42.453,0,0,0,0,0,0,0,0,0,0,2015887360,4185534464,1938784256,5667467264,54819,143870,8,0,9,7.670,6.270,3.200,42391,6176,15,0,0,0,10,0,4,0,7.670,6.270,3.200,2015887360,4185534464,1938784256,5667467264,8,0,9,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2816,4308,2773,0,0,0,0,0,0,0,0,0,0
1766400505.687,46.776,20.988,32.236,0,0,0,0,0,0,0,0,0,0,2005401600,4196020224,1938784256,5677953024,66965,177297,7,0,0,7.670,6.270,3.200,51951,7584,2,0,0,0,1,0,2,0,7.670,6.270,3.200,2005401600,4196020224,1938784256,5677953024,7,0,0,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,143,169,4135,0,0,0,0,0,0,0,0,0,0
1766400506.687,46.986,20.411,32.603,0,0,0,0,0,0,0,0,0,0,1979777024,4221636608,1938792448,5703569408,67141,177434,9,0,1,8.020,6.370,3.250,51836,7590,2,0,0,0,3,0,2,0,8.020,6.370,3.250,1979777024,4221636608,1938792448,5703569408,10,0,1,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1188,633,3067,0,0,0,0,0,0,0,0,0,0
1766400507.687,46.986,20.685,32.329,0,0,0,0,0,0,0,0,0,0,1971388416,4230025216,1938792448,5711966208,66450,174897,8,0,0,8.020,6.370,3.250,51294,7643,2,0,0,0,1,0,2,0,8.020,6.370,3.250,1971388416,4230025216,1938792448,5711966208,6,0,0,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,144,678,3105,0,0,0,0,0,0,0,0,0,0
1766400508.687,47.548,20.708,31.744,0,0,0,0,0,0,0,0,0,0,1967423488,4233990144,1938792448,5715931136,66387,178905,9,0,0,8.020,6.370,3.250,51012,7605,2,0,0,0,1,0,2,0,8.020,6.370,3.250,1967423488,4233990144,1938792448,5715931136,5,0,0,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,110,159,1588,0,0,0,0,0,0,0,0,0,0
1766400509.687,47.665,19.918,32.418,0,0,0,1605632,0,0,0,0,0,0,1963487232,4237926400,1938792448,5719875584,66188,176236,7,0,0,8.020,6.370,3.250,51133,7627,6,0,23,0,1,0,2,0,8.020,6.370,3.250,1963487232,4237926400,1938792448,5719875584,11,0,0,0,30,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,154,180,1053,0.500,0,0,0,0,0,0,0,0,0
1766400510.688,45.953,21.674,32.373,0,0,0,0,0,0,0,0,0,0,1961385984,4240023552,1938796544,5721972736,67320,178362,4,0,0,8.020,6.370,3.250,52046,7616,6,0,0,0,3,0,2,0,8.020,6.370,3.250,1961385984,4240023552,1938796544,5721972736,11,0,0,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,146,171,1079,0,0,0,0,0,0,0,0,0,0
1766400511.687,45.828,21.751,32.421,0,0,0,0,0,0,0,0,0,0,1960579072,4240830464,1938796544,5722783744,66592,176802,7,0,0,8.580,6.510,3.310,51428,7625,2,0,0,0,1,0,2,0,8.580,6.510,3.310,1960579072,4240830464,1938796544,5722783744,8,0,0,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,743,766,1068,0,0,0,0,0,0,0,0,0,0
1766400512.687,47.218,21.167,31.615,0,0,0,0,0,0,0,0,0,0,1960833024,4240572416,1938800640,5722529792,67236,177803,8,0,0,8.580,6.510,3.310,52055,7642,4,0,0,0,2,0,2,1,8.580,6.510,3.310,1960833024,4240572416,1938800640,5722529792,6,0,0,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,212,235,539,0,0,0,0,0,0,0,0,0,0
1766400513.687,47.541,19.945,32.514,0,0,0,0,0,0,0,0,0,0,1961865216,4239540224,1938800640,5721497600,66192,174691,9,0,0,8.580,6.510,3.310,51049,7587,2,0,0,0,1,0,2,0,8.580,6.510,3.310,1961865216,4239540224,1938800640,5721497600,10,0,0,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,479,501,1061,0,0,0,0,0,0,0,0,0,0
1766400514.687,55.497,26.963,17.539,0,0,0,0,0,0,0,0,0,0,1957384192,4244013056,1938808832,5725978624,40792,213394,9,0,0,8.580,6.510,3.310,24243,7580,2,0,0,0,3,0,2,0,8.580,6.510,3.310,1957384192,4244013056,1938808832,5725978624,6,0,0,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,711,1365,2691,0,0,0,0,0,0,0,0,0,0
1766400515.687,46.986,21.096,31.918,0,0,0,163840,0,0,0,0,0,0,1954222080,4247175168,1938808832,5729148928,64565,179429,8,0,0,8.580,6.510,3.310,49034,7564,2,0,4,0,1,0,2,0,8.580,6.510,3.310,1954222080,4247175168,1938808832,5729148928,9,0,0,0,2,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,303,395,680,0.100,0,0,0,0,0,0,0,0,0
1766400516.687,45.542,21.948,32.510,0,0,0,0,0,0,0,0,0,0,1948299264,4253097984,1938808832,5735071744,66671,178605,8,0,0,8.770,6.590,3.350,50931,7607,4,0,0,0,1,0,2,0,8.770,6.590,3.350,1948299264,4253097984,1938808832,5735071744,11,0,0,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,782,801,34,0,0,0,0,0,0,0,0,0,0
1766400517.687,46.438,21.233,32.329,0,0,0,0,0,0,0,0,0,0,1949847552,4251549696,1938808832,5733523456,66836,178143,7,0,0,8.770,6.590,3.350,51408,7611,2,0,0,0,1,0,2,0,8.770,6.590,3.350,1949847552,4251549696,1938808832,5733523456,8,0,0,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,514,539,547,0,0,0,0,0,0,0,0,0,0
1766400518.687,46.721,20.765,32.514,0,0,0,0,0,0,0,0,0,0,1941311488,4260077568,1938817024,5742051328,66934,178032,8,0,0,8.770,6.590,3.350,51291,7590,4,0,0,0,3,0,2,0,8.770,6.590,3.350,1941311488,4260077568,1938817024,5742051328,9,0,0,0,0,0,0,0,1073737728,0,1792,34936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,206,3302,4649,0,0,0,0,0,0,0,0,0,0
1766400519.695,12.087,4.707,83.206,0,0,0,0,0,0,0,0,0,0,1907093504,4294344704,1938825216,5776297984,18029,46794,0,0,1,8.770,6.590,3.350,14027,2067,19,0,0,0,26,0,4,0,8.770,6.590,3.350,1907093504,4294344704,1938825216,5776297984,0,0,1,0,0,0,0,0,1073737728,0,960,33912,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,222,269,2686,0,0,0,0,0,0,0,0,0,0
1766400520.695,0.125,0.376,99.499,0,0,0,0,0,0,0,0,0,0,1907339264,4294098944,1938825216,5776052224,932,1215,0,0,0,8.770,6.590,3.350,549,370,2,0,0,0,1,0,2,0,8.770,6.590,3.350,1907339264,4294098944,1938825216,5776052224,0,0,0,0,0,0,0,0,1073737728,0,960,33912,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,24,24,0,0,0,0,0,0,0,0,0,0
1766400521.688,0.631,0.631,98.739,0,0,0,0,0,0,0,0,0,0,1907339264,4294098944,1938825216,5776052224,1684,2219,0,0,0,8.230,6.510,3.340,1017,647,2,0,0,0,1,0,2,0,8.230,6.510,3.340,1907339264,4294098944,1938825216,5776052224,3,0,0,0,0,0,0,0,1073737728,0,960,33912,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,25,24,0,0,0,0,0,0,0,0,0,0
1766400522.691,0.375,0.626,98.999,0,0,0,0,0,0,0,0,0,0,1907335168,4294098944,1938829312,5776052224,1719,2292,0,0,0,8.230,6.510,3.340,1044,653,2,0,0,0,3,0,2,0,8.230,6.510,3.340,1907335168,4294098944,1938829312,5776052224,0,0,0,0,0,0,0,0,1073737728,0,960,33912,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,17,42,25,0,0,0,0,0,0,0,0,0,0
1766400523.693,0.375,0.375,99.251,0,0,0,0,0,0,0,0,0,0,1907335168,4294098944,1938829312,5776060416,932,1243,0,0,0,8.230,6.510,3.340,542,372,2,0,0,0,1,0,2,0,8.230,6.510,3.340,1907335168,4294098944,1938829312,5776060416,0,0,0,0,0,0,0,0,1073737728,0,960,33912,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,14,39,26,0,0,0,0,0,0,0,0,0,0
1766400524.687,34.409,17.070,48.387,0.134,0,0,950272,0,0,0,0,0,0,1908776960,4292653056,1938833408,5774622720,44868,133413,14,0,10,8.230,6.510,3.340,34852,4152,18,0,12,0,11,0,14,0,8.230,6.510,3.340,1908776960,4292653056,1938833408,5774622720,10,0,10,0,14,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,937,1963,1809,0.300,0,0,0,0,0,0,0,0,0
1766400525.687,59.403,27.237,13.359,0,0,0,0,0,0,0,0,0,0,1898512384,4302917632,1938833408,5784887296,30924,228176,9,0,0,8.230,6.510,3.340,18074,6811,4,0,0,0,1,0,2,0,8.230,6.510,3.340,1898512384,4302917632,1938833408,5784887296,12,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7,117,3709,0,0,0,0,0,0,0,0,0,0
1766400526.687,50.334,23.498,26.168,0,0,0,2228224,0,0,0,0,0,0,1891528704,4309893120,1938841600,5791879168,51362,198747,11,0,1,8.290,6.550,3.370,37027,5927,4,0,6,0,3,0,2,0,8.290,6.550,3.370,1891528704,4309893120,1938841600,5791879168,10,0,1,0,6,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1892,891,3941,0.300,0,0,0,0,0,0,0,0,0
1766400527.688,45.913,20.845,33.243,0,0,0,0,0,0,0,0,0,0,1876566016,4324855808,1938841600,5806841856,65676,180306,9,0,0,8.290,6.550,3.370,52650,5438,2,0,0,0,1,0,2,0,8.290,6.550,3.370,1876566016,4324855808,1938841600,5806841856,7,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5,68,2633,0,0,0,0,0,0,0,0,0,0
1766400528.687,46.185,20.708,33.106,0,0,0,0,0,0,0,0,0,0,1871597568,4329824256,1938841600,5811810304,65501,179447,11,0,0,8.290,6.550,3.370,52234,5434,4,0,0,0,1,0,2,0,8.290,6.550,3.370,1871597568,4329824256,1938841600,5811810304,8,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9,3634,6777,0,0,0,0,0,0,0,0,0,0
1766400529.688,45.788,21.196,33.016,0,0,0,0,0,0,0,0,0,0,1867157504,4334264320,1938841600,5816250368,66054,180247,9,0,0,8.290,6.550,3.370,53239,5294,2,0,0,0,1,0,2,0,8.290,6.550,3.370,1867157504,4334264320,1938841600,5816250368,12,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4,44,1067,0,0,0,0,0,0,0,0,0,0
1766400530.688,45.455,21.167,33.379,0,0,0,425984,0,0,0,0,0,0,1861603328,4339810304,1938849792,5821796352,64962,177361,7,0,0,8.290,6.550,3.370,52092,5288,2,0,4,0,3,0,2,0,8.290,6.550,3.370,1861603328,4339810304,1938849792,5821796352,6,0,0,0,2,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,18,72,1075,0.100,0,0,0,0,0,0,0,0,0
1766400531.688,45.664,21.274,33.062,0,0,0,0,0,0,0,0,0,0,1861849088,4339564544,1938849792,5821550592,65318,179383,11,0,0,8.270,6.580,3.400,52260,5314,4,0,0,0,1,0,10,0,8.270,6.580,3.400,1861849088,4339564544,1938849792,5821550592,7,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4,44,561,0,0,0,0,0,0,0,0,0,0
1766400532.688,45.492,21.175,33.333,0,0,0,0,0,0,0,0,0,0,1861849088,4339564544,1938849792,5821550592,65435,179044,6,0,0,8.270,6.580,3.400,52513,5426,2,0,0,0,1,0,2,0,8.270,6.580,3.400,1861849088,4339564544,1938849792,5821550592,8,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,10,66,81,0,0,0,0,0,0,0,0,0,0
1766400533.688,46.448,20.355,33.197,0,0,0,0,0,0,0,0,0,0,1859571712,4341841920,1938849792,5823827968,64770,178480,11,0,0,8.270,6.580,3.400,51373,5424,4,0,0,0,1,0,2,0,8.270,6.580,3.400,1859571712,4341841920,1938849792,5823827968,8,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,10,91,80,0,0,0,0,0,0,0,0,0,0
1766400534.688,45.714,20.544,33.741,0,0,0,0,0,0,0,0,0,0,1859821568,4341583872,1938857984,5823569920,60314,164636,10,0,0,8.270,6.580,3.400,47764,5365,4,0,0,0,3,0,2,0,8.270,6.580,3.400,1859821568,4341583872,1938857984,5823569920,11,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,16,91,74,0,0,0,0,0,0,0,0,0,0
1766400535.688,45.799,21.003,33.198,0,0,0,0,0,0,0,0,0,0,1860067328,4341338112,1938857984,5823324160,65556,179928,9,0,0,8.270,6.580,3.400,52571,5287,2,0,0,0,1,0,2,0,8.270,6.580,3.400,1860067328,4341338112,1938857984,5823324160,7,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,10,75,64,0,0,0,0,0,0,0,0,0,0
1766400536.688,45.703,20.191,34.106,0,0,0,0,0,0,0,0,0,0,1860063232,4341338112,1938862080,5823324160,65153,178373,6,0,0,8.490,6.650,3.440,52539,5164,2,0,0,0,2,0,2,0,8.490,6.650,3.440,1860063232,4341338112,1938862080,5823324160,3,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,11,44,32,0,0,0,0,0,0,0,0,0,0
1766400537.688,46.414,20.839,32.747,0,0,0,0,0,0,0,0,0,0,1860063232,4341338112,1938862080,5823324160,61721,181459,10,0,0,8.490,6.650,3.440,48732,5316,2,0,0,0,1,0,2,0,8.490,6.650,3.440,1860063232,4341338112,1938862080,5823324160,8,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,11,67,56,0,0,0,0,0,0,0,0,0,0
1766400538.688,45.986,20.952,33.061,0,0,0,0,0,0,0,0,0,0,1860059136,4341338112,1938866176,5823352832,64929,180187,7,0,0,8.490,6.650,3.440,51545,5390,2,0,0,0,3,0,2,0,8.490,6.650,3.440,1860059136,4341338112,1938866176,5823352832,7,0,0,0,0,0,0,0,1073737728,0,960,33939,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,13,1590,1097,0,0,0,0,0,0,0,0,0,0
