"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb894cd2aceb",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251222103754/vertx-web-kotlinx-exposed-r2dbc-postgresql/update/stats.txt",,,,"Date:","22 Dec 2025 10:46:17 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766400377.839,21.649,8.245,69.985,0.120,0,4931609.735,17593260.126,3041598.616,0,0,0,0,0,1484587008,4718972928,1936543744,6199406592,24931.535,71308.434,1,0,8.380,8.060,5.520,2.540,18959.401,3081.463,62.849,1.599,64.626,4.575,43.547,0.032,11.950,0.037,8.060,5.520,2.540,1484587008,4718972928,1936543744,6199406592,1,0,8.380,23.295,26.475,5.256,0,0,1073737728,0,800,33729,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,4.894,2493.064,5999.082,8053.642,0.837,0.091,0,0,0,0,0,0,0,0
1766400378.840,41.121,15.220,43.525,0.134,0,0,19529728,0,0,672,0,0,0,1489498112,4713730048,1936904192,6194274304,49599,127073,3,0,42,8.060,5.520,2.540,41966,4744,72,0,67,0,17,0,60,0,8.060,5.520,2.540,1489498112,4713730048,1936904192,6194274304,2,0,42,0,66,0,0,0,1073737728,0,864,33926,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9184,10064,14879,1,0,0,0,0,0,0,0,0,0
1766400379.840,44.596,17.100,38.304,0,0,0,11927552,0,0,336,0,0,0,1478787072,4724224000,1937121280,6204874752,56377,136246,7,0,0,8.060,5.520,2.540,48358,4838,2,0,10,0,1,0,2,0,8.060,5.520,2.540,1478787072,4724224000,1937121280,6204874752,8,0,0,0,10,0,0,0,1073737728,0,864,33926,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3789,106,1586,0.300,0,0,0,0,0,0,0,0,0
1766400380.840,44.321,19.114,36.565,0,0,0,14876672,0,0,336,0,0,0,1472229376,4730527744,1937375232,6211293184,69829,170110,7,0,1,8.060,5.520,2.540,60943,4986,14,0,10,0,1,0,5,0,8.060,5.520,2.540,1472229376,4730527744,1937375232,6211293184,7,0,1,0,10,0,0,0,1073737728,0,864,33925,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4173,188,2597,0.400,0,0,0,0,0,0,0,0,0
1766400381.840,43.689,19.001,37.171,0.139,0,0,14221312,0,0,0,0,0,0,1458102272,4744474624,1937555456,6225313792,69593,169971,7,0,0,7.890,5.530,2.560,60740,5032,4,0,10,0,1,0,10,0,7.890,5.530,2.560,1458102272,4744474624,1937555456,6225313792,8,0,0,0,10,0,0,0,1073737728,0,864,33925,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3467,96,3152,0.500,0,0,0,0,0,0,0,0,0
1766400382.840,44.628,18.733,36.639,0,0,0,13369344,0,0,0,0,0,0,1447800832,4754628608,1937702912,6235541504,70028,172664,6,0,0,7.890,5.530,2.560,61068,5154,2,0,10,0,2,0,2,0,7.890,5.530,2.560,1447800832,4754628608,1937702912,6235541504,8,0,0,0,10,0,0,0,1073737728,0,864,33925,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1308,66,2466,0.400,0,0,0,0,0,0,0,0,0
1766400383.840,2.648,1.639,95.712,0,0,0,2523136,0,0,0,0,0,0,1443602432,4758822912,1937707008,6239768576,6188,12864,0,0,1,7.890,5.530,2.560,4918,964,26,0,9,0,26,0,4,0,7.890,5.530,2.560,1443602432,4758822912,1937707008,6239768576,0,0,1,0,6,0,0,0,1073737728,0,864,33910,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,184,114,1543,0.400,0,0,0,0,0,0,0,0,0
1766400384.841,0.251,0.503,99.246,0,0,0,0,0,0,0,0,0,0,1451986944,4750434304,1937711104,6231429120,1002,1271,0,0,0,7.890,5.530,2.560,610,376,2,0,0,0,2,0,2,0,7.890,5.530,2.560,1451986944,4750434304,1937711104,6231429120,2,0,0,0,0,0,0,0,1073737728,0,864,33910,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9,2082,1171,0,0,0,0,0,0,0,0,0,0
1766400385.844,0.249,0.125,99.626,0,0,0,0,0,0,0,0,0,0,1440215040,4762206208,1937711104,6243201024,305,382,0,0,0,7.890,5.530,2.560,158,141,2,0,0,0,1,0,2,0,7.890,5.530,2.560,1440215040,4762206208,1937711104,6243201024,0,0,0,0,0,0,0,0,1073737728,0,864,33910,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2,26,24,0,0,0,0,0,0,0,0,0,0
