"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","8dcb49f7ecae",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251222115032/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","22 Dec 2025 11:55:13 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766404513.989,10.617,0.915,88.246,0.223,0,9868622.775,34667854.196,6094810.964,0,0,0,0,0,911007744,5294448640,1935044608,6772662272,3715.531,4726.854,0,0,14.799,1.430,1.250,0.570,1931.351,1412.631,86.928,3.158,107.993,9.194,71.913,0.064,18.586,0.060,1.430,1.250,0.570,911007744,5294448640,1935044608,6772662272,0,0,14.799,46.690,44.345,10.589,0,0,1073737728,0,832,33723,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,9.763,4384.152,9007.739,13598.757,1.625,0.166,0,0,0,0,0,0,0,0
1766404514.990,73.111,19.078,7.682,0.128,0,6422528,3014656,0,0,672,0,0,0,1005502464,5199032320,1935933440,6677716992,20454,129746,13,0,36,1.430,1.250,0.570,2404,7363,62,0,72,0,17,0,57,0,1.430,1.250,0.570,1005502464,5199032320,1935933440,6677716992,12,0,36,13,58,0,0,0,1073737728,0,864,33910,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,6,3786,48890,25960,3.200,0,0,0,0,0,0,0,0,0
1766404515.990,55.601,21.721,22.268,0.410,0,0,0,0,0,336,0,0,0,1005993984,5198540800,1935933440,6677225472,43481,163276,6,0,1,1.790,1.330,0.590,28969,5980,4,3,468,0,1,0,4,0,1.790,1.330,0.590,1005993984,5198540800,1935933440,6677225472,5,0,1,0,0,0,0,0,1073737728,0,864,33910,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,199,1743,1135,6.300,0,0,0,0,0,0,0,0,0
1766404516.990,40.634,21.212,38.154,0,0,0,0,0,0,336,0,0,0,1018245120,5186289664,1935933440,6664974336,71181,178467,7,0,0,1.790,1.330,0.590,61782,5101,2,0,0,0,1,0,2,0,1.790,1.330,0.590,1018245120,5186289664,1935933440,6664974336,5,0,0,0,0,0,0,0,1073737728,0,864,33909,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,17,4648,4132,0,0,0,0,0,0,0,0,0,0
1766404517.990,40.083,20.386,39.532,0,0,0,0,0,0,0,0,0,0,1011941376,5192593408,1935933440,6671278080,63183,157943,8,0,0,1.790,1.330,0.590,54113,5006,13,0,0,0,1,0,4,0,1.790,1.330,0.590,1011941376,5192593408,1935933440,6671278080,8,0,0,0,0,0,0,0,1073737728,0,864,33909,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,54,2129,2110,0,0,0,0,0,0,0,0,0,0
1766404518.990,39.034,19.034,41.931,0,0,0,0,0,0,0,0,0,0,1016156160,5188378624,1935933440,6667063296,58764,144458,8,0,0,1.790,1.330,0.590,50762,4716,4,0,0,0,2,0,2,0,1.790,1.330,0.590,1016156160,5188378624,1935933440,6667063296,7,0,0,0,0,0,0,0,1073737728,0,864,33909,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,63,1613,1566,0,0,0,0,0,0,0,0,0,0
1766404519.993,3.015,1.508,95.477,0,0,557056,425984,0,0,0,0,0,0,994684928,5209829376,1935953920,6688514048,5609,13157,0,0,1,1.790,1.330,0.590,4766,501,19,0,7,0,26,0,4,0,1.790,1.330,0.590,994684928,5209829376,1935953920,6688514048,0,0,1,2,2,0,0,0,1073737728,0,864,33895,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,1,129,135,1547,0.100,0,0,0,0,0,0,0,0,0
1766404520.995,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,994942976,5209571328,1935953920,6688256000,273,358,0,0,0,1.650,1.310,0.590,142,122,4,0,0,0,2,0,2,0,1.650,1.310,0.590,994942976,5209571328,1935953920,6688256000,0,0,0,0,0,0,0,0,1073737728,0,864,33895,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,4,29,25,0,0,0,0,0,0,0,0,0,0
1766404521.991,0.126,0.251,99.623,0,0,0,0,0,0,0,0,0,0,994942976,5209571328,1935953920,6688256000,306,392,0,0,0,1.650,1.310,0.590,151,149,2,0,0,0,1,0,2,0,1.650,1.310,0.590,994942976,5209571328,1935953920,6688256000,0,0,0,0,0,0,0,0,1073737728,0,864,33895,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,5,28,24,0,0,0,0,0,0,0,0,0,0
