"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","590c1473f9b2",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251224102229/ktor-exposed-jdbc-dsl/query/stats.txt",,,,"Date:","24 Dec 2025 10:26:21 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766571981.341,6.658,1.089,91.891,0.361,0,43047170.841,24621009.867,7154730.261,0,0,0,0,0,1283690496,5069348864,1503600640,6775914496,3642.139,4444.429,4,0,8.832,2.910,1.600,0.660,1903.146,1166.926,53.057,2.614,407.215,10.777,25.606,0.083,11.579,0.066,2.910,1.600,0.660,1283690496,5069348864,1503600640,6775914496,4,0,8.832,442.430,36.964,12.356,0,0,1073737728,0,800,229643,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,528,0,0,1,0,0,56,0,56,11.217,3053.718,7744.711,12916.662,2.410,0.287,0,0,0,0,0,0,0,0
1766571982.343,61.607,27.296,10.969,0.128,0,6422528,3276800,0,0,672,0,0,0,1307127808,5045018624,1504436224,6752493568,17037,57731,14,0,50,2.910,1.600,0.660,2579,7219,73,18,70,0,17,0,78,0,2.910,1.600,0.660,1307127808,5045018624,1504436224,6752493568,13,0,50,13,59,0,0,0,1073737728,0,832,229838,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,528,0,0,1,0,0,60,0,60,6,7355,15120,9690,1.300,0,0,0,0,0,0,0,0,0
1766571983.342,60.673,21.345,17.982,0,0,0,0,0,0,336,0,0,0,1334427648,5017718784,1504436224,6725193728,34649,135707,10,0,0,2.910,1.600,0.660,14188,6809,23,35,0,0,1,0,17,0,2.910,1.600,0.660,1334427648,5017718784,1504436224,6725193728,13,0,0,0,0,0,0,0,1073737728,0,832,229834,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,528,0,0,1,0,0,60,0,60,0,8740,14083,10941,0,0,0,0,0,0,0,0,0,0
1766571984.342,45.726,26.594,27.680,0,0,0,0,0,0,336,0,0,0,1323360256,5028786176,1504436224,6736261120,64103,216518,9,0,2,2.910,1.600,0.660,46437,6482,2,0,0,0,1,0,11,0,2.910,1.600,0.660,1323360256,5028786176,1504436224,6736261120,12,0,2,0,0,0,0,0,1073737728,0,832,229835,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,528,0,0,1,0,0,60,0,60,0,234,737,2892,0,0,0,0,0,0,0,0,0,0
1766571985.342,38.056,28.472,33.472,0,0,0,0,0,0,0,0,0,0,1323360256,5028786176,1504436224,6736261120,75987,231737,11,0,0,2.910,1.600,0.660,61032,6163,2,0,0,0,1,0,6,0,2.910,1.600,0.660,1323360256,5028786176,1504436224,6736261120,9,0,0,0,0,0,0,0,1073737728,0,832,229833,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,528,0,0,1,0,0,60,0,60,0,19,43,3107,0,0,0,0,0,0,0,0,0,0
1766571986.342,37.203,28.671,34.126,0,0,0,0,0,0,0,0,0,0,1319043072,5033095168,1504444416,6740578304,77929,236907,9,0,0,3.630,1.770,0.720,63161,6098,6,0,0,0,2,0,2,0,3.630,1.770,0.720,1319043072,5033095168,1504444416,6740578304,7,0,0,0,0,0,0,0,1073737728,0,832,229833,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,528,0,0,1,0,0,60,0,60,0,15,52,3105,0,0,0,0,0,0,0,0,0,0
1766571987.342,3.526,2.141,94.332,0,0,557056,393216,0,0,0,0,0,0,1282371584,5069688832,1504522240,6777257984,7375,21478,0,0,1,3.630,1.770,0.720,5923,704,26,0,6,0,26,0,4,0,3.630,1.770,0.720,1282371584,5069688832,1504522240,6777257984,0,0,1,2,2,0,0,0,1073737728,0,832,229819,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,528,0,0,1,0,0,60,0,60,1,127,135,1542,0,0,0,0,0,0,0,0,0,0
1766571988.343,0.377,0.503,99.121,0,0,0,0,0,0,0,0,0,0,1282367488,5069688832,1504526336,6777257984,1711,2357,2,0,0,3.630,1.770,0.720,1033,660,5,0,0,0,2,0,2,0,3.630,1.770,0.720,1282367488,5069688832,1504526336,6777257984,0,0,0,0,0,0,0,0,1073737728,0,832,229819,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,528,0,0,1,0,0,60,0,60,0,4,29,24,0,0,0,0,0,0,0,0,0,0
1766571989.342,0.126,0.253,99.621,0,0,0,0,0,0,0,0,0,0,1282625536,5069430784,1504526336,6776999936,1714,2393,0,0,0,3.630,1.770,0.720,1041,649,3,0,0,0,1,0,7,0,3.630,1.770,0.720,1282625536,5069430784,1504526336,6776999936,0,0,0,0,0,0,0,0,1073737728,0,832,229821,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,528,0,0,1,0,0,60,0,60,0,3,26,31,0,0,0,0,0,0,0,0,0,0
1766571990.342,0.632,0.632,98.736,0,0,0,0,0,0,0,0,0,0,1282838528,5069209600,1504534528,6776782848,2240,3249,0,0,0,3.630,1.770,0.720,1413,738,49,0,0,0,3,0,23,0,3.630,1.770,0.720,1282838528,5069209600,1504534528,6776782848,0,0,0,0,0,0,0,0,1073737728,0,832,229864,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,528,0,0,1,0,0,60,0,60,0,48,158,159,0,0,0,0,0,0,0,0,0,0
1766571991.342,0.377,0.628,98.492,0.503,0,0,0,0,0,0,0,0,0,1282838528,5069209600,1504534528,6776782848,2099,3077,0,1,1,3.500,1.780,0.730,1222,428,34,2,390,0,1,0,12,0,3.500,1.780,0.730,1282838528,5069209600,1504534528,6776782848,0,1,1,0,0,0,0,0,1073737728,0,832,229821,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,528,0,0,1,0,0,60,0,60,0,93,107,98,3.300,0,0,0,0,0,0,0,0,0
