"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","72fbd79b0dcf",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260109142728/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","09 Jan 2026 14:36:49 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1767969409.149,25.600,9.052,65.177,0.171,0,4049891.909,27945209.798,2918556.448,0,0,0,0,0,1627516928,3828232192,2644578304,6050697216,13535.364,35751.709,1,0,7.815,13.720,8.060,3.560,5069.628,3103.172,61.666,1.551,57.496,4.426,62.375,0.030,22.092,0.037,13.720,8.060,3.560,1627516928,3828232192,2644578304,6050697216,1,0,7.815,21.065,27.695,5.090,0,0,1073737728,0,832,49927,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,4.129,2203.609,9648.671,11249.449,1.087,0.087,0,0,0,0,0,0,0,0
1767969410.149,46.102,17.742,36.022,0.134,0,0,45678592,0,0,672,0,0,0,1634824192,3820339200,2645196800,6042927104,49520,125033,8,0,54,13.720,8.060,3.560,38276,5343,55,0,64,0,17,0,42,0,13.720,8.060,3.560,1634824192,3820339200,2645196800,6042927104,9,0,54,0,66,0,0,0,1073737728,0,864,50146,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,16316,9603,12355,1.300,0,0,0,0,0,0,0,0,0
1767969411.149,41.370,19.315,39.315,0,0,0,39485440,0,0,336,0,0,0,1634635776,3819823104,2645901312,6042824704,65210,160013,7,0,0,13.720,8.060,3.560,55237,4935,2,0,13,0,1,0,2,0,13.720,8.060,3.560,1634635776,3819823104,2645901312,6042824704,7,0,0,0,13,0,0,0,1073737728,0,864,50146,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6882,230,25,0.600,0,0,0,0,0,0,0,0,0
1767969412.149,42.877,20.353,36.771,0,0,0,39911424,0,0,336,0,0,0,1634398208,3819823104,2646138880,6042906624,67109,164463,8,0,0,13.020,8.010,3.570,56538,5104,2,0,10,0,1,0,2,0,13.020,8.010,3.570,1634398208,3819823104,2646138880,6042906624,8,0,0,0,10,0,0,0,1073737728,0,864,50145,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,372,103,24,0.800,0,0,0,0,0,0,0,0,0
1767969413.149,42.701,19.918,37.381,0,0,0,31653888,0,0,0,0,0,0,1631948800,3835650048,2633179136,6045241344,65677,160488,7,0,0,13.020,8.010,3.570,55503,4915,4,0,10,0,1,0,2,0,13.020,8.010,3.570,1631948800,3835650048,2633179136,6045241344,8,0,0,0,10,0,0,0,1073737728,0,864,50145,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,125,1169,4281,0.700,0,0,0,0,0,0,0,0,0
1767969414.149,43.151,19.452,37.260,0.137,0,0,34406400,0,0,0,0,0,0,1614651392,3848523776,2637602816,6062481408,66890,165681,6,0,1,13.020,8.010,3.570,56292,4972,11,0,10,0,2,0,5,0,13.020,8.010,3.570,1614651392,3848523776,2637602816,6062481408,8,0,1,0,10,0,0,0,1073737728,0,864,50145,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,346,1143,3628,0.600,0,0,0,0,0,0,0,0,0
1767969415.150,5.591,2.922,91.487,0,0,0,11436032,0,0,0,0,0,0,1603338240,3858452480,2638987264,6073810944,13586,27533,0,0,1,13.020,8.010,3.570,11867,1316,28,0,11,0,26,0,4,0,13.020,8.010,3.570,1603338240,3858452480,2638987264,6073810944,0,0,1,0,8,0,0,0,1073737728,0,864,50130,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,147,455,1558,0.600,0,0,0,0,0,0,0,0,0
1767969416.149,0.503,0.628,98.869,0,0,0,0,0,0,0,0,0,0,1605140480,3856646144,2638991360,6072004608,1771,2286,0,0,1,13.020,8.010,3.570,1066,675,4,0,0,0,2,0,2,0,13.020,8.010,3.570,1605140480,3856646144,2638991360,6072004608,0,0,1,0,0,0,0,0,1073737728,0,864,50130,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1062,502,499,0,0,0,0,0,0,0,0,0,0
1767969417.159,0.249,0.373,99.378,0,0,0,0,0,0,0,0,0,0,1605140480,3856646144,2638991360,6072004608,1185,1541,0,0,0,11.980,7.880,3.550,688,483,4,0,0,0,1,0,2,0,11.980,7.880,3.550,1605140480,3856646144,2638991360,6072004608,0,0,0,0,0,0,0,0,1073737728,0,864,50130,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,27,25,0,0,0,0,0,0,0,0,0,0
