"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","4789b59e02ad",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260111101305/vertx-web-kotlinx-r2dbc-postgresql/db/stats.txt",,,,"Date:","11 Jan 2026 10:16:16 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1768126576.255,13.735,1.124,84.906,0.235,0,14675161.808,58984950.568,8972898.967,0,0,0,0,0,872189952,5096042496,2165219328,6808539136,4832.157,6372.887,2,0,20.648,1.990,1.170,0.470,2467.858,1671.480,187.390,4.639,158.155,13.497,187.396,0.093,54.055,0.078,1.990,1.170,0.470,872189952,5096042496,2165219328,6808539136,0,0,20.648,71.195,55.975,15.567,0,0,1073737728,0,832,39466,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,14.447,6059.203,15915.619,22408.718,1.777,0.224,0,0,0,0,0,0,0,0
1768126577.255,51.931,21.838,26.099,0.133,0,6422528,3244032,0,0,672,0,0,0,874737664,5092536320,2166210560,6806032384,40302,173493,7,0,40,1.990,1.170,0.470,27526,5990,56,0,68,0,17,0,52,0,1.990,1.170,0.470,874737664,5092536320,2166210560,6806032384,4,0,40,13,60,0,0,0,1073737728,0,896,39656,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,6,4084,9550,10110,1,0,0,0,0,0,0,0,0,0
1768126578.255,34.691,25.562,39.747,0,0,0,0,0,0,336,0,0,0,874737664,5092536320,2166210560,6806032384,85609,224581,7,0,0,1.990,1.170,0.470,75966,4884,2,0,0,0,1,0,2,0,1.990,1.170,0.470,874737664,5092536320,2166210560,6806032384,8,0,0,0,0,0,0,0,1073737728,0,896,39656,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,30,3123,5162,0,0,0,0,0,0,0,0,0,0
1768126579.256,33.428,26.458,40.114,0,0,0,0,0,0,336,0,0,0,868446208,5098827776,2166210560,6812323840,86911,226366,5,0,0,2.160,1.220,0.490,77474,4746,2,0,0,0,1,0,2,0,2.160,1.220,0.490,868446208,5098827776,2166210560,6812323840,7,0,0,0,0,0,0,0,1073737728,0,896,39655,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,5,29,2596,0,0,0,0,0,0,0,0,0,0
1768126580.255,34.594,27.171,38.235,0,0,0,0,0,0,0,0,0,0,855863296,5111410688,2166210560,6824906752,85006,230562,7,0,0,2.160,1.220,0.490,75254,4906,15,0,0,0,1,0,2,0,2.160,1.220,0.490,855863296,5111410688,2166210560,6824906752,8,0,0,0,0,0,0,0,1073737728,0,896,39655,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,22,62,3125,0,0,0,0,0,0,0,0,0,0
1768126581.255,33.145,27.927,38.928,0,0,0,0,0,0,0,0,0,0,841175040,5126090752,2166218752,6839595008,84368,227006,6,0,0,2.160,1.220,0.490,74828,4854,2,0,0,0,2,0,2,0,2.160,1.220,0.490,841175040,5126090752,2166218752,6839595008,8,0,0,0,0,0,0,0,1073737728,0,896,39655,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,7,34,3619,0,0,0,0,0,0,0,0,0,0
1768126582.257,4.580,3.690,91.730,0,0,557056,688128,0,0,0,0,0,0,826384384,5140807680,2166292480,6854336512,14321,34266,0,0,2,2.160,1.220,0.490,12425,1325,29,0,8,0,26,0,4,0,2.160,1.220,0.490,826384384,5140807680,2166292480,6854336512,0,0,2,2,2,0,0,0,1073737728,0,896,39641,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,1,179,177,2063,0,0,0,0,0,0,0,0,0,0
1768126583.256,0.629,0.755,97.987,0.629,0,0,0,0,0,0,0,0,0,826630144,5140561920,2166292480,6854090752,2979,4190,0,0,1,2.160,1.220,0.490,1680,688,6,2,584,0,1,0,4,0,2.160,1.220,0.490,826630144,5140561920,2166292480,6854090752,0,0,1,0,0,0,0,0,1073737728,0,896,39641,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,93,94,86,5.200,0,0,0,0,0,0,0,0,0
1768126584.259,0.375,0.501,99.124,0,0,0,0,0,0,0,0,0,0,826626048,5140561920,2166296576,6854090752,1620,2193,0,0,0,2.060,1.220,0.490,991,617,2,0,0,0,1,0,2,0,2.060,1.220,0.490,826626048,5140561920,2166296576,6854090752,0,0,0,0,0,0,0,0,1073737728,0,896,39641,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,14,39,24,0,0,0,0,0,0,0,0,0,0
