"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","4789b59e02ad",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260111101305/vertx-web-kotlinx-r2dbc-postgresql/update/stats.txt",,,,"Date:","11 Jan 2026 10:20:25 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1768126825.111,26.490,13.327,60.072,0.111,0,6422864.162,25895454.275,3915952.986,0,0,0,0,0,1386442752,4580061184,2166591488,6294593536,28225.948,100748.373,1,0,9.860,8.700,5.980,2.660,18389.334,3644.609,86.018,2.047,73.107,5.890,84.548,0.041,25.994,0.043,8.700,5.980,2.660,1387143168,4579360768,2166591488,6294126592,1,0,9.860,31.114,26.460,6.794,0,0,1073737728,0,896,39469,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,6.323,2980.026,9465.016,12011.724,0.834,0.098,0,0,0,0,0,0,0,0
1768126826.111,42.838,18.281,38.745,0.136,0,0,31752192,0,0,672,0,0,0,1387872256,4578033664,2167173120,6293028864,62878,161936,5,0,45,8.700,5.980,2.660,53916,4931,61,0,65,0,17,0,64,0,8.700,5.980,2.660,1387872256,4578033664,2167173120,6293028864,6,0,45,0,67,0,0,0,1073737728,0,928,39677,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,12434,9674,14302,1.300,0,0,0,0,0,0,0,0,0
1768126827.111,42.025,18.724,39.251,0,0,0,32243712,0,0,336,0,0,0,1371197440,4593799168,2168082432,6309105664,71213,175998,6,0,0,8.700,5.980,2.660,62779,4820,2,0,10,0,1,0,2,0,8.700,5.980,2.660,1371197440,4593799168,2168082432,6309105664,7,0,0,0,10,0,0,0,1073737728,0,928,39677,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6416,275,3121,0.300,0,0,0,0,0,0,0,0,0
1768126828.111,42.562,19.972,37.466,0,0,0,29818880,0,0,336,0,0,0,1351921664,4612689920,2168467456,6328246272,73221,181593,7,0,0,8.700,5.980,2.660,64107,5108,2,0,10,0,1,0,2,0,8.700,5.980,2.660,1351921664,4612689920,2168467456,6328246272,7,0,0,0,10,0,0,0,1073737728,0,928,39676,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1299,124,4209,0.400,0,0,0,0,0,0,0,0,0
1768126829.111,40.941,20.332,38.728,0,0,0,25559040,0,0,0,0,0,0,1339125760,4625289216,2168664064,6340964352,69579,171648,7,0,0,8.560,5.990,2.680,61054,5015,4,0,10,0,1,0,2,0,8.560,5.990,2.680,1339125760,4625289216,2168664064,6340964352,5,0,0,0,10,0,0,0,1073737728,0,928,39676,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,226,75,3107,0.600,0,0,0,0,0,0,0,0,0
1768126830.111,40.802,21.162,37.898,0.138,0,0,25755648,0,0,0,0,0,0,1342881792,4635709440,2154909696,6337232896,73745,182144,5,0,0,8.560,5.990,2.680,64805,5109,13,0,10,0,2,0,5,0,8.560,5.990,2.680,1342881792,4635709440,2154909696,6337232896,5,0,0,0,10,0,0,0,1073737728,0,928,39676,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,254,783,6801,0.600,0,0,0,0,0,0,0,0,0
1768126831.111,3.270,1.258,95.472,0,0,0,6258688,0,0,0,0,0,0,1328562176,4649283584,2155655168,6351581184,7119,15885,0,0,2,8.560,5.990,2.680,6266,541,29,0,11,0,26,0,4,0,8.560,5.990,2.680,1328562176,4649283584,2155655168,6351581184,0,0,2,0,8,0,0,0,1073737728,0,928,39661,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,199,857,1606,0.500,0,0,0,0,0,0,0,0,0
1768126832.116,0.125,0.125,99.751,0,0,0,0,0,0,0,0,0,0,1328558080,4649283584,2155659264,6351581184,295,379,0,0,0,8.560,5.990,2.680,150,139,2,0,0,0,2,0,2,0,8.560,5.990,2.680,1328558080,4649283584,2155659264,6351581184,0,0,0,0,0,0,0,0,1073737728,0,928,39661,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,25,25,0,0,0,0,0,0,0,0,0,0
1768126833.112,0.252,0.126,99.623,0,0,0,0,0,0,0,0,0,0,1328558080,4649283584,2155659264,6351581184,486,631,0,0,0,8.560,5.990,2.680,285,192,2,0,0,0,1,0,2,0,8.560,5.990,2.680,1328558080,4649283584,2155659264,6351581184,0,0,0,0,0,0,0,0,1073737728,0,928,39661,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,27,24,0,0,0,0,0,0,0,0,0,0
