"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","be449f71dddc",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130153532/ktor-exposed-r2dbc-dsl/db/stats.txt",,,,"Date:","30 Jan 2026 15:42:43 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769787763.851,1.019,0.352,98.541,0.088,0,1964002.093,12281820.106,728930.759,0,0,0,0,0,2845208576,1526587392,3290738688,5386596352,1275.984,1797.306,1,0,4.670,2.950,1.760,1.100,784.917,381.475,22.388,0.154,56.911,1.085,6.225,0.008,2.646,0.021,2.950,1.760,1.100,2846638080,1525157888,3290738688,5385166848,3,0,4.670,47.797,15.559,1.270,0,0,1073737728,0,8544,313347,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0.879,1222.673,2181.741,2341.860,0.530,0.034,0,0,0,0,0,0,0,0
1769787764.852,58.420,17.358,24.093,0.130,0,0,3014656,0,0,672,0,0,0,2855563264,1516191744,3290763264,5376245760,35265,109666,4,0,37,2.950,1.760,1.100,20353,6498,58,0,58,0,17,0,56,0,2.950,1.760,1.100,2855563264,1516191744,3290763264,5376245760,8,0,37,0,58,0,0,0,1073737728,0,8544,313529,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,5293,10508,9509,0.500,0,0,0,0,0,0,0,0,0
1769787765.852,47.802,21.154,31.044,0,0,0,1179648,0,0,336,0,0,0,2887278592,1484476416,3290763264,5344530432,61134,171058,10,0,0,3.270,1.850,1.140,47419,6237,2,0,3,0,1,0,2,0,3.270,1.850,1.140,2887278592,1484476416,3290763264,5344530432,12,0,0,0,3,0,0,0,1073737728,0,8544,313529,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,407,16110,8394,0,0,0,0,0,0,0,0,0,0
1769787766.852,42.997,24.930,32.073,0,0,0,0,0,0,336,0,0,0,2893279232,1478475776,3290763264,5338529792,70779,194688,12,0,1,3.270,1.850,1.140,57205,6286,7,0,0,0,1,0,2,0,3.270,1.850,1.140,2893279232,1478475776,3290763264,5338529792,10,0,1,0,0,0,0,0,1073737728,0,8544,313528,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,936,8533,8651,0,0,0,0,0,0,0,0,0,0
1769787767.852,37.411,26.174,36.415,0,0,0,0,0,0,0,0,0,0,2882801664,1488953344,3290763264,5349007360,81072,217971,15,0,0,3.270,1.850,1.140,68462,6073,3,0,0,0,1,0,2,0,3.270,1.850,1.140,2882801664,1488953344,3290763264,5349007360,12,0,0,0,0,0,0,0,1073737728,0,8544,313528,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,60,43,33,0,0,0,0,0,0,0,0,0,0
1769787768.851,35.694,27.023,37.283,0,0,0,0,0,0,0,0,0,0,2877689856,1494056960,3290771456,5354119168,83744,224387,6,0,0,3.270,1.850,1.140,71390,6007,2,0,0,0,2,0,2,0,3.270,1.850,1.140,2877689856,1494056960,3290771456,5354119168,5,0,0,0,0,0,0,0,1073737728,0,8544,313528,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,36,6188,6707,0,0,0,0,0,0,0,0,0,0
1769787769.855,3.019,2.013,94.969,0,0,0,2621440,0,0,0,0,0,0,2875842560,1495896064,3290779648,5355958272,7758,20003,0,0,2,3.270,1.850,1.140,6460,652,29,0,9,0,26,0,4,0,3.270,1.850,1.140,2875842560,1495896064,3290779648,5355958272,0,0,2,0,6,0,0,0,1073737728,0,8544,313513,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,197,660,1574,0.100,0,0,0,0,0,0,0,0,0
1769787770.853,0.126,0.377,99.372,0.126,0,0,0,0,0,0,0,0,0,2876096512,1495638016,3290783744,5355700224,663,907,0,0,1,3.010,1.810,1.130,352,160,2,3,137,0,2,0,4,0,3.010,1.810,1.130,2876096512,1495638016,3290783744,5355700224,0,0,1,0,0,0,0,0,1073737728,0,8544,313513,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,85,86,89,1.500,0,0,0,0,0,0,0,0,0
1769787771.853,0.125,0.125,99.749,0,0,0,0,0,0,0,0,0,0,2876096512,1495638016,3290783744,5355700224,282,352,0,0,0,3.010,1.810,1.130,149,128,2,0,0,0,1,0,2,0,3.010,1.810,1.130,2876096512,1495638016,3290783744,5355700224,0,0,0,0,0,0,0,0,1073737728,0,8544,313513,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,1,24,24,0,0,0,0,0,0,0,0,0,0
1769787772.862,0.248,0.248,99.504,0,0,0,2097152,0,0,0,0,0,0,2877378560,1494347776,3290791936,5354426368,347,426,0,0,1,3.010,1.810,1.130,181,158,2,0,1,0,3,0,2,0,3.010,1.810,1.130,2877378560,1494347776,3290791936,5354426368,0,0,1,0,1,0,0,0,1073737728,0,8544,313513,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,1067,500,499,0.100,0,0,0,0,0,0,0,0,0
1769787773.852,0.253,0.253,99.494,0,0,0,1376256,0,0,0,0,0,0,2877378560,1494347776,3290791936,5354426368,603,737,0,0,0,3.010,1.810,1.130,316,232,4,0,47,0,1,0,2,0,3.010,1.810,1.130,2877378560,1494347776,3290791936,5354426368,0,0,0,0,44,0,0,0,1073737728,0,8544,313513,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,26,36,24,0.700,0,0,0,0,0,0,0,0,0
1769787774.851,60.233,27.202,12.565,0,0,0,0,0,0,0,0,0,0,2882547712,1488637952,3290791936,5349285888,24382,131118,55,0,11,3.010,1.810,1.130,1196,6866,12,0,0,0,10,0,4,0,3.010,1.810,1.130,2882547712,1488637952,3290791936,5349285888,57,0,11,0,0,0,0,0,1073737728,0,9472,314537,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,5692,13444,13599,0,0,0,0,0,0,0,0,0,0
1769787775.852,66.119,31.606,2.276,0,0,0,0,0,0,0,0,0,0,2874912768,1496272896,3290791936,5356920832,26946,160146,32,0,0,6.610,2.580,1.380,881,7853,11,0,0,0,1,0,4,0,6.610,2.580,1.380,2874912768,1496272896,3290791936,5356920832,37,0,0,0,0,0,0,0,1073737728,0,9472,314537,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,2139,2526,4462,0,0,0,0,0,0,0,0,0,0
1769787776.852,66.497,30.584,2.919,0,0,0,0,0,0,0,0,0,0,2845925376,1525252096,3290800128,5385908224,23179,159363,23,0,0,6.610,2.580,1.380,1300,7802,6,0,0,0,3,0,2,0,6.610,2.580,1.380,2845925376,1525252096,3290800128,5385908224,22,0,0,0,0,0,0,0,1073737728,0,9472,314537,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,536,1008,7802,0,0,0,0,0,0,0,0,0,0
