"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","be449f71dddc",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130153532/ktor-exposed-r2dbc-dsl/query/stats.txt",,,,"Date:","30 Jan 2026 15:44:56 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769787896.567,3.474,1.685,94.758,0.083,0,1860014.635,11643890.496,690336.271,0,0,0,0,0,3026989056,1344516096,3290824704,5204910080,2858.900,10416.860,1,0,4.793,26.300,11.240,4.680,1305.079,687.754,21.580,0.148,54.119,1.028,6.153,0.008,2.711,0.021,26.300,11.240,4.680,3027165184,1344339968,3290824704,5204910080,1,0,4.793,45.266,14.904,1.202,0,0,1073737728,0,7136,313336,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0.833,1599.189,2392.992,2527.602,0.506,0.032,0,0,0,0,0,0,0,0
1769787897.568,37.960,22.380,39.660,0,0,0,2752512,0,0,672,0,0,0,3038289920,1333182464,3290849280,5193797632,75051,191814,11,0,40,26.300,11.240,4.680,64082,5846,63,0,56,0,17,0,60,0,26.300,11.240,4.680,3038289920,1333182464,3290849280,5193797632,2,0,40,0,54,0,0,0,1073737728,0,7168,313541,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3293,9440,8941,0.800,0,0,0,0,0,0,0,0,0
1769787898.568,36.080,23.011,40.909,0,0,0,0,0,0,336,0,0,0,3039309824,1332162560,3290849280,5192777728,80277,204989,5,0,0,26.300,11.240,4.680,69566,5721,2,0,0,0,1,0,2,0,26.300,11.240,4.680,3039309824,1332162560,3290849280,5192777728,6,0,0,0,0,0,0,0,1073737728,0,7168,313541,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,416,441,2595,0,0,0,0,0,0,0,0,0,0
1769787899.568,36.634,24.470,38.897,0,0,0,0,0,0,336,0,0,0,3028824064,1342648320,3290849280,5203263488,82911,210345,5,0,0,26.300,11.240,4.680,72009,5980,6,0,0,0,1,0,2,0,26.300,11.240,4.680,3028824064,1342648320,3290849280,5203263488,6,0,0,0,0,0,0,0,1073737728,0,7168,313540,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8,31,2595,0,0,0,0,0,0,0,0,0,0
1769787900.568,36.558,23.898,39.545,0,0,0,0,0,0,0,0,0,0,3020120064,1351352320,3290849280,5211967488,82359,209100,4,0,0,24.910,11.200,4.700,71527,5956,2,0,0,0,1,0,2,0,24.910,11.200,4.700,3020120064,1351352320,3290849280,5211967488,4,0,0,0,0,0,0,0,1073737728,0,7168,313540,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,13,37,2595,0,0,0,0,0,0,0,0,0,0
1769787901.568,35.050,25.036,39.914,0,0,0,0,0,0,0,0,0,0,3019853824,1351610368,3290857472,5212225536,83480,210624,10,0,0,24.910,11.200,4.700,72723,5908,4,0,0,0,2,0,2,0,24.910,11.200,4.700,3019853824,1351610368,3290857472,5212225536,10,0,0,0,0,0,0,0,1073737728,0,7168,313540,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,22,49,2596,0,0,0,0,0,0,0,0,0,0
1769787902.571,2.018,1.639,96.343,0,0,0,393216,0,0,0,0,0,0,3002736640,1368723456,3290861568,5229346816,6482,15279,0,0,1,24.910,11.200,4.700,5534,594,27,0,5,0,26,0,4,0,24.910,11.200,4.700,3002736640,1368723456,3290861568,5229346816,0,0,1,0,2,0,0,0,1073737728,0,7168,313525,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,128,115,1546,0.100,0,0,0,0,0,0,0,0,0
1769787903.569,0.377,0.251,99.372,0,0,0,0,0,0,0,0,0,0,3002990592,1368465408,3290865664,5229088768,695,870,0,0,0,24.910,11.200,4.700,359,330,2,0,0,0,2,0,2,0,24.910,11.200,4.700,3002990592,1368465408,3290865664,5229088768,0,0,0,0,0,0,0,0,1073737728,0,7168,313525,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,33,39,35,0,0,0,0,0,0,0,0,0,0
1769787904.576,0.374,0.249,99.377,0,0,0,0,0,0,0,0,0,0,3002990592,1368465408,3290865664,5229088768,749,879,0,0,0,24.910,11.200,4.700,380,362,2,0,0,0,1,0,2,0,24.910,11.200,4.700,3002990592,1368465408,3290865664,5229088768,0,0,0,0,0,0,0,0,1073737728,0,7168,313525,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,20,25,24,0,0,0,0,0,0,0,0,0,0
