"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","be449f71dddc",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130153532/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","30 Jan 2026 16:31:59 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769790719.032,9.224,3.799,86.898,0.080,0,1418079.400,14282906.404,518045.113,0,0,0,0,0,1453965312,2293993472,3861688320,6675693568,5011.229,22567.757,1,0,5.056,0.920,7.920,10.830,1835.830,1307.557,26.930,0.133,48.226,0.771,14.836,0.006,5.818,0.020,0.920,7.920,10.830,1453965312,2293993472,3861688320,6675693568,1,0,5.056,34.463,16.387,0.902,0,0,1073737728,0,928,343266,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0.670,2848.511,3286.996,3456.149,0.573,0.024,0,0,0,0,0,0,0,0
1769790720.033,73.443,19.949,6.607,0,0,0,3014656,0,0,672,0,0,0,1533399040,2214531072,3861716992,6596349952,22711,151143,12,0,38,0.920,7.920,10.830,2794,7510,51,0,58,0,17,0,55,1,0.920,7.920,10.830,1533399040,2214531072,3861716992,6596349952,13,0,38,0,58,0,0,0,1073737728,0,960,343437,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,2976,35870,17787,1.200,0,0,0,0,0,0,0,0,0
1769790721.033,45.082,21.175,33.743,0,0,0,0,0,0,336,0,0,0,1667874816,2080055296,3861716992,6461874176,67846,180191,5,0,1,0.920,7.920,10.830,56046,5198,4,0,0,0,1,0,2,0,0.920,7.920,10.830,1667874816,2080055296,3861716992,6461874176,5,0,1,0,0,0,0,0,1073737728,0,960,343437,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,216,42206,8772,0,0,0,0,0,0,0,0,0,0
1769790722.033,41.586,22.531,35.883,0,0,0,0,0,0,336,0,0,0,1671811072,2076119040,3861716992,6457937920,70801,193648,6,0,0,1.410,7.910,10.810,61537,5025,13,0,0,0,1,0,2,0,1.410,7.910,10.810,1671811072,2076119040,3861716992,6457937920,7,0,0,0,0,0,0,0,1073737728,0,960,343436,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,14,2089,2088,0,0,0,0,0,0,0,0,0,0
1769790723.033,40.972,23.472,35.556,0,0,0,0,0,0,0,0,0,0,1663422464,2084507648,3861716992,6466326528,71988,201129,7,0,0,1.410,7.910,10.810,62606,5059,6,0,0,0,1,0,2,0,1.410,7.910,10.810,1663422464,2084507648,3861716992,6466326528,7,0,0,0,0,0,0,0,1073737728,0,960,343436,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,1,28,2595,0,0,0,0,0,0,0,0,0,0
1769790724.033,41.403,23.796,34.801,0,0,0,0,0,0,0,0,0,0,1655025664,2092896256,3861725184,6474715136,69782,202214,9,0,0,1.410,7.910,10.810,60571,5108,3,0,0,0,2,0,2,0,1.410,7.910,10.810,1655025664,2092896256,3861725184,6474715136,8,0,0,0,0,0,0,0,1073737728,0,960,343436,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,9,35,2081,0,0,0,0,0,0,0,0,0,0
1769790725.035,2.256,1.253,96.491,0,0,0,360448,0,0,0,0,0,0,1646632960,2101284864,3861729280,6483124224,3242,11645,0,0,1,1.410,7.910,10.810,2558,412,27,0,5,0,26,0,4,0,1.410,7.910,10.810,1646632960,2101284864,3861729280,6483124224,0,0,1,0,2,0,0,0,1073737728,0,928,343421,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,136,123,1553,0.100,0,0,0,0,0,0,0,0,0
1769790726.043,0.249,0.249,99.253,0.249,0,0,0,0,0,0,0,0,0,1646628864,2101284864,3861733376,6483124224,761,1033,0,0,1,1.410,7.910,10.810,400,180,2,2,168,0,2,0,4,0,1.410,7.910,10.810,1646628864,2101284864,3861733376,6483124224,0,0,1,0,0,0,0,0,1073737728,0,928,343421,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,86,89,85,2.100,0,0,0,0,0,0,0,0,0
1769790727.043,0.375,0.125,99.501,0,0,0,0,0,0,0,0,0,0,1646628864,2101284864,3861733376,6483124224,271,354,0,0,0,1.290,7.780,10.750,146,121,2,0,0,0,1,0,2,0,1.290,7.780,10.750,1646628864,2101284864,3861733376,6483124224,0,0,0,0,0,0,0,0,1073737728,0,928,343421,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,3,26,24,0,0,0,0,0,0,0,0,0,0
