"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","be449f71dddc",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130153532/vertx-web-kotlinx-exposed-r2dbc-postgresql/fortune/stats.txt",,,,"Date:","30 Jan 2026 16:55:26 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769792126.246,13.000,5.634,81.293,0.073,0,1278663.330,13456616.691,467423.699,0,0,0,0,0,2323640320,1421119488,3865108480,5805502464,7086.234,38945.831,0,0,4.701,7.650,8.800,10.390,3208.974,1770.287,24.959,0.131,44.216,0.696,13.863,0.005,5.655,0.019,7.650,8.800,10.390,2323640320,1421119488,3865108480,5805502464,0,0,4.701,31.075,15.392,0.814,0,0,1073737728,0,928,343225,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0.604,2646.168,3339.706,3435.357,0.544,0.022,0,0,0,0,0,0,0,0
1769792127.247,41.096,17.945,40.822,0.137,0,0,8224768,0,0,672,0,0,0,2315579392,1429098496,3865206784,5813678080,61271,158277,6,0,65,7.650,8.800,10.390,51999,4820,122,0,118,0,17,0,87,0,7.650,8.800,10.390,2315579392,1429098496,3865206784,5813678080,6,0,65,0,129,0,0,0,1073737728,0,992,343487,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5965,15943,18741,0.600,0,0,0,0,0,0,0,0,0
1769792128.246,43.533,18.915,37.552,0,0,0,0,0,0,336,0,0,0,2305093632,1439584256,3865206784,5824163840,68610,167606,8,0,0,7.650,8.800,10.390,59831,4906,4,0,0,0,1,0,2,0,7.650,8.800,10.390,2305093632,1439584256,3865206784,5824163840,8,0,0,0,0,0,0,0,1073737728,0,992,343487,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,9,34,1573,0,0,0,0,0,0,0,0,0,0
1769792129.246,44.073,19.386,36.541,0,0,0,0,0,0,336,0,0,0,2294607872,1450070016,3865206784,5834649600,70363,179193,8,0,0,7.510,8.750,10.370,61346,4931,2,0,0,0,1,0,2,0,7.510,8.750,10.370,2294607872,1450070016,3865206784,5834649600,8,0,0,0,0,0,0,0,1073737728,0,992,343486,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,33,55,4274,0,0,0,0,0,0,0,0,0,0
1769792130.247,44.596,21.067,34.337,0,0,0,0,0,0,0,0,0,0,2286219264,1458458624,3865206784,5843038208,62165,185601,6,0,0,7.510,8.750,10.370,53194,5163,2,0,0,0,1,0,2,0,7.510,8.750,10.370,2286219264,1458458624,3865206784,5843038208,7,0,0,0,0,0,0,0,1073737728,0,992,343486,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2,28,3900,0,0,0,0,0,0,0,0,0,0
1769792131.246,55,25.395,19.605,0,0,0,0,0,0,0,0,0,0,2278080512,1466589184,3865214976,5851168768,38156,222334,9,0,0,7.510,8.750,10.370,29210,6347,2,0,0,0,2,0,2,1,7.510,8.750,10.370,2278080512,1466589184,3865214976,5851168768,10,0,0,0,0,0,0,0,1073737728,0,992,343486,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,40,72,2211,0,0,0,0,0,0,0,0,0,0
1769792132.252,5.473,3.109,91.418,0,0,0,360448,0,0,0,0,0,0,2269683712,1474977792,3865223168,5859565568,1128,26371,0,0,1,7.510,8.750,10.370,263,812,10,0,5,0,26,0,4,0,7.510,8.750,10.370,2269683712,1474977792,3865223168,5859565568,0,0,1,0,2,0,0,0,1073737728,0,992,343471,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,148,137,1583,0.200,0,0,0,0,0,0,0,0,0
1769792133.250,0.125,0.125,99.749,0,0,0,0,0,0,0,0,0,0,2269679616,1474977792,3865227264,5859565568,314,396,0,0,0,7.510,8.750,10.370,157,148,2,0,0,0,2,0,2,0,7.510,8.750,10.370,2269679616,1474977792,3865227264,5859565568,0,0,0,0,0,0,0,0,1073737728,0,992,343471,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,16,43,26,0,0,0,0,0,0,0,0,0,0
1769792134.252,0.250,0.125,99.625,0,0,0,0,0,0,0,0,0,0,2269679616,1474977792,3865227264,5859565568,290,368,0,0,0,7.070,8.640,10.330,155,125,4,0,0,0,1,0,2,0,7.070,8.640,10.330,2269679616,1474977792,3865227264,5859565568,0,0,0,0,0,0,0,0,1073737728,0,992,343471,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1,25,25,0,0,0,0,0,0,0,0,0,0
