"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","be449f71dddc",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130153532/vertx-web-kotlinx-exposed-r2dbc-postgresql/update/stats.txt",,,,"Date:","30 Jan 2026 16:53:30 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769792010.277,12.176,5.350,82.399,0.075,0,1319950.956,13309927.973,482516.659,0,0,0,0,0,2340335616,1407115264,3861999616,5789937664,5695.131,35928.667,1,0,4.801,9.960,9.470,10.790,1994.013,1654.150,25.525,0.133,45.209,0.719,14.150,0.006,5.700,0.020,9.960,9.470,10.790,2340323328,1407119360,3862007808,5789941760,4,0,4.801,32.079,15.472,0.841,0,0,1073737728,0,928,343255,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0.624,2692.890,3354.658,3453.018,0.548,0.022,0,0,0,0,0,0,0,0
1769792011.277,45.628,17.486,36.885,0,0,0,20938752,0,0,672,0,0,0,2318340096,1428901888,3862208512,5811793920,58326,150577,8,0,45,9.960,9.470,10.790,48758,5084,63,0,63,0,17,0,59,0,9.960,9.470,10.790,2318340096,1428901888,3862208512,5811793920,7,0,45,0,64,0,0,0,1073737728,0,928,343465,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,10224,9697,12326,1.200,0,0,0,0,0,0,0,0,0
1769792012.277,44.061,17.541,38.260,0.138,0,0,15335424,0,0,336,0,0,0,2318241792,1428643840,3862564864,5811707904,62491,151206,8,0,1,9.960,9.470,10.790,54335,4798,2,0,10,0,1,0,2,0,9.960,9.470,10.790,2318241792,1428643840,3862564864,5811707904,6,0,1,0,10,0,0,0,1073737728,0,928,343465,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4504,252,71,0.500,0,0,0,0,0,0,0,0,0
1769792013.277,43.750,19.028,37.222,0,0,0,16580608,0,0,336,0,0,0,2318118912,1428127744,3863203840,5811527680,68245,166748,6,0,0,9.960,9.470,10.790,59379,4929,2,0,10,0,1,0,2,0,9.960,9.470,10.790,2318118912,1428127744,3863203840,5811527680,8,0,0,0,10,0,0,0,1073737728,0,928,343464,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4896,212,1594,0.500,0,0,0,0,0,0,0,0,0
1769792014.277,44.737,18.698,36.565,0,0,0,14811136,0,0,0,0,0,0,2309541888,1436516352,3863392256,5819940864,68487,166503,9,0,0,9.410,9.360,10.750,59831,4977,2,0,10,0,1,0,2,0,9.410,9.360,10.750,2309541888,1436516352,3863392256,5819940864,6,0,0,0,10,0,0,0,1073737728,0,928,343464,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2091,75,1052,0.400,0,0,0,0,0,0,0,0,0
1769792015.277,45.014,18.283,36.704,0,0,0,14352384,0,0,0,0,0,0,2309386240,1436516352,3863547904,5819990016,67827,168699,3,0,0,9.410,9.360,10.750,59263,4958,2,0,10,0,2,0,2,0,9.410,9.360,10.750,2309386240,1436516352,3863547904,5819990016,5,0,0,0,10,0,0,0,1073737728,0,928,343464,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1141,63,33,0.300,0,0,0,0,0,0,0,0,0
1769792016.282,3.019,1.258,95.723,0,0,0,2719744,0,0,0,0,0,0,2298888192,1447002112,3863560192,5830561792,5710,13286,0,0,1,9.410,9.360,10.750,4862,569,26,0,9,0,26,0,4,0,9.410,9.360,10.750,2298888192,1447002112,3863560192,5830561792,0,0,1,0,6,0,0,0,1073737728,0,928,343449,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,140,121,1550,0.300,0,0,0,0,0,0,0,0,0
1769792017.283,0.375,0.125,99.501,0,0,0,0,0,0,0,0,0,0,2298884096,1447002112,3863564288,5830561792,316,412,0,0,0,9.410,9.360,10.750,157,152,2,0,0,0,2,0,2,0,9.410,9.360,10.750,2298884096,1447002112,3863564288,5830561792,0,0,0,0,0,0,0,0,1073737728,0,928,343449,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,10,37,25,0,0,0,0,0,0,0,0,0,0
1769792018.283,0.626,0.250,98.999,0.125,0,0,655360,0,0,0,0,0,0,2303012864,1442873344,3863564288,5826441216,515,615,0,0,1,9.410,9.360,10.750,265,222,14,0,4,0,1,0,5,0,9.410,9.360,10.750,2303012864,1442873344,3863564288,5826441216,0,0,1,0,4,0,0,0,1073737728,0,928,343449,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1990,946,812,0.300,0,0,0,0,0,0,0,0,0
1769792019.279,0.630,0.504,98.866,0,0,0,0,0,0,0,0,0,0,2302898176,1443012608,3863572480,5826596864,1277,1867,0,0,33,8.650,9.200,10.690,790,316,114,0,0,0,3,0,20,0,8.650,9.200,10.690,2302898176,1443012608,3863572480,5826596864,0,0,33,0,0,0,0,0,1073737728,0,928,343449,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4060,7897,7649,0,0,0,0,0,0,0,0,0,0
1769792020.280,0.250,0.250,99.374,0.125,0,0,0,0,0,0,0,0,0,2302898176,1443012608,3863572480,5826605056,698,1124,0,0,1,8.650,9.200,10.690,298,211,2,3,168,0,1,0,13,0,8.650,9.200,10.690,2302898176,1443012608,3863572480,5826605056,0,0,1,0,0,0,0,0,1073737728,0,896,343449,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,91,89,97,2.100,0,0,0,0,0,0,0,0,0
1769792021.287,61.783,27.516,10.573,0.127,0,0,13303808,0,0,0,0,0,0,2315186176,1430429696,3863621632,5814280192,11504,203394,2,0,9,8.650,9.200,10.690,905,7142,15,0,15,0,10,0,4,0,8.650,9.200,10.690,2304700416,1440915456,3863621632,5824765952,9,0,9,0,11,0,0,0,1073737728,0,1856,344473,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2558,4348,3687,4.100,0,0,0,0,0,0,0,0,0
