"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","726d98fe4ee4",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131152453/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/query/stats.txt",,,,"Date:","31 Jan 2026 15:57:30 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769875050.349,16.176,5.236,78.437,0.151,0,4319661.287,38436780.266,2550300.126,0,0,0,0,0,1129377792,3846606848,3122126848,6559621120,8798.219,24668.574,2,0,7.651,12.480,6.130,2.730,3740.060,2121.156,109.871,1.329,66.160,3.867,176.916,0.027,43.816,0.034,12.480,6.130,2.730,1129377792,3846606848,3122126848,6559621120,5,0,7.651,20.437,34.285,4.415,0,0,1073737728,0,864,47536,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,4.255,2701.428,10178.560,11588.256,1.073,0.069,0,0,0,0,0,0,0,0
1769875051.350,41.997,20.109,37.756,0.137,0,32768,2916352,0,0,672,0,0,0,1159417856,3816529920,3122196480,6529572864,59723,149890,9,0,65,12.480,6.130,2.730,48641,5149,62,0,57,0,17,0,47,0,12.480,6.130,2.730,1159417856,3816529920,3122196480,6529572864,8,0,65,1,54,0,0,0,1073737728,0,896,47770,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3174,9044,8929,0.600,0,0,0,0,0,0,0,0,0
1769875052.350,41.168,21.419,37.413,0,0,0,0,0,0,336,0,0,0,1159417856,3816529920,3122196480,6529572864,67188,165824,7,0,0,12.480,6.130,2.730,56321,5055,2,0,0,0,1,0,2,0,12.480,6.130,2.730,1159417856,3816529920,3122196480,6529572864,8,0,0,0,0,0,0,0,1073737728,0,896,47770,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,27,544,0,0,0,0,0,0,0,0,0,0
1769875053.350,41.760,22.905,35.335,0,0,0,0,0,0,336,0,0,0,1153105920,3822841856,3122196480,6535884800,68629,169263,8,0,0,12.480,6.130,2.730,57348,5119,2,0,0,0,1,0,2,0,12.480,6.130,2.730,1153105920,3822841856,3122196480,6535884800,7,0,0,0,0,0,0,0,1073737728,0,896,47769,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,24,557,0,0,0,0,0,0,0,0,0,0
1769875054.350,42.025,22.330,35.645,0,0,0,0,0,0,0,0,0,0,1146605568,3829342208,3122196480,6542385152,67195,165466,8,0,0,12.200,6.180,2.770,55913,5003,2,0,0,0,1,0,2,0,12.200,6.180,2.770,1146605568,3829342208,3122196480,6542385152,7,0,0,0,0,0,0,0,1073737728,0,896,47769,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,24,538,0,0,0,0,0,0,0,0,0,0
1769875055.350,42.120,22.036,35.844,0,0,0,0,0,0,0,0,0,0,1146597376,3829342208,3122204672,6542385152,68112,167986,7,0,0,12.200,6.180,2.770,56893,4971,4,0,0,0,2,0,2,0,12.200,6.180,2.770,1146597376,3829342208,3122204672,6542385152,7,0,0,0,0,0,0,0,1073737728,0,896,47769,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8,34,542,0,0,0,0,0,0,0,0,0,0
1769875056.350,6.115,3.185,90.701,0,0,0,327680,0,0,0,0,0,0,1143418880,3832512512,3122212864,6545563648,11108,27764,0,0,1,12.200,6.180,2.770,9086,923,28,0,5,0,26,0,4,0,12.200,6.180,2.770,1143418880,3832512512,3122212864,6545563648,0,0,1,0,2,0,0,0,1073737728,0,864,47754,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,125,113,1561,0.100,0,0,0,0,0,0,0,0,0
1769875057.353,0.753,0.753,98.494,0,0,0,0,0,0,0,0,0,0,1143414784,3832512512,3122216960,6545563648,1893,2570,0,0,0,12.200,6.180,2.770,1125,734,16,0,0,0,2,0,4,0,12.200,6.180,2.770,1143414784,3832512512,3122216960,6545563648,0,0,0,0,0,0,0,0,1073737728,0,864,47754,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6,34,28,0,0,0,0,0,0,0,0,0,0
1769875058.351,0.126,0.506,99.368,0,0,0,0,0,0,0,0,0,0,1143414784,3832512512,3122216960,6545563648,1666,2261,0,0,0,12.200,6.180,2.770,1012,634,2,0,0,0,1,0,2,0,12.200,6.180,2.770,1143414784,3832512512,3122216960,6545563648,0,0,0,0,0,0,0,0,1073737728,0,864,47754,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5,28,25,0,0,0,0,0,0,0,0,0,0
