"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb3a7cdce728",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131181233/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/db/stats.txt",,,,"Date:","31 Jan 2026 18:13:40 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769883220.432,3.161,1.564,94.699,0.575,0,98338906.981,58878846.160,22323491.776,0,0,0,0,0,758132736,6004678656,1410170880,6929375232,5250.900,8671.701,2,0,45.499,0.900,0.290,0.100,2786.323,878.150,401.166,5.789,369.460,33.273,473.734,0.233,194.431,0.168,0.900,0.290,0.100,758132736,6004678656,1410170880,6929375232,4,0,45.499,185.196,99.016,38.739,0,0,1073737728,0,864,28161,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2097,0,0,1,0,0,68,0,68,35.501,9163.424,32242.261,51304.352,3.733,0.841,0,0,0,0,0,0,0,0
1769883221.433,59.067,20.207,20.596,0.130,0,6422528,3014656,0,0,672,0,0,0,790163456,5971922944,1410895872,6897397760,38735,151321,10,0,37,0.900,0.290,0.100,23344,6388,70,0,67,0,17,0,59,0,0.900,0.290,0.100,790163456,5971922944,1410895872,6897397760,8,0,37,13,56,0,0,0,1073737728,0,864,28364,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2097,0,0,1,0,0,68,0,68,6,4122,14631,10987,0.800,0,0,0,0,0,0,0,0,0
1769883222.433,37.326,22.981,39.694,0,0,0,0,0,0,336,0,0,0,794357760,5967728640,1410895872,6893203456,82061,203817,5,0,0,0.900,0.290,0.100,71832,4982,4,0,0,0,1,0,2,0,0.900,0.290,0.100,794357760,5967728640,1410895872,6893203456,8,0,0,0,0,0,0,0,1073737728,0,864,28364,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2097,0,0,1,0,0,68,0,68,0,12,2080,2607,0,0,0,0,0,0,0,0,0,0
1769883223.433,37.640,22.612,39.747,0,0,0,0,0,0,336,0,0,0,772902912,5989183488,1410895872,6914658304,84229,208820,7,0,2,1.390,0.410,0.140,73797,4947,2,0,0,0,1,0,2,0,1.390,0.410,0.140,772902912,5989183488,1410895872,6914658304,9,0,2,0,0,0,0,0,1073737728,0,864,28363,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2097,0,0,1,0,0,68,0,68,0,65,607,4801,0,0,0,0,0,0,0,0,0,0
1769883224.433,36.827,22.380,40.793,0,0,0,2654208,0,0,0,0,0,0,769892352,5989249024,1413840896,6914736128,82114,203422,7,0,1,1.390,0.410,0.140,71901,4882,2,0,5,0,1,0,2,0,1.390,0.410,0.140,769892352,5989249024,1413840896,6914736128,4,0,1,0,5,0,0,0,1073737728,0,864,28362,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2097,0,0,1,0,0,68,0,68,0,3014,1898,3771,0.200,0,0,0,0,0,0,0,0,0
1769883225.433,36.428,23.066,40.506,0,0,0,0,0,0,0,0,0,0,753778688,6005354496,1413849088,6930849792,83995,208043,8,0,0,1.390,0.410,0.140,73790,4756,2,0,0,0,2,0,2,0,1.390,0.410,0.140,753778688,6005354496,1413849088,6930849792,8,0,0,0,0,0,0,0,1073737728,0,864,28362,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2097,0,0,1,0,0,68,0,68,0,6,1058,4855,0,0,0,0,0,0,0,0,0,0
1769883226.435,4.962,3.181,91.858,0,0,622592,720896,0,0,0,0,0,0,741023744,6018023424,1413935104,6943592448,14149,31613,0,0,1,1.390,0.410,0.140,12794,858,27,0,11,0,26,0,4,0,1.390,0.410,0.140,741023744,6018023424,1413935104,6943592448,0,0,1,4,2,0,0,0,1073737728,0,832,28348,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,1,147,326,1688,0.100,0,0,0,0,0,0,0,0,0
1769883227.438,0.250,0.499,98.752,0.499,0,0,0,0,0,0,0,0,0,741019648,6018023424,1413939200,6943604736,1343,1850,0,0,1,1.390,0.410,0.140,679,215,2,3,436,0,2,0,4,0,1.390,0.410,0.140,741019648,6018023424,1413939200,6943604736,1,0,1,0,0,0,0,0,1073737728,0,832,28348,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,95,92,85,3.900,0,0,0,0,0,0,0,0,0
1769883228.434,0.378,0.252,99.369,0,0,0,0,0,0,0,0,0,0,741019648,6018023424,1413939200,6943604736,985,1306,0,0,0,1.440,0.430,0.150,601,376,2,0,0,0,1,0,2,0,1.440,0.430,0.150,741019648,6018023424,1413939200,6943604736,0,0,0,0,0,0,0,0,1073737728,0,832,28348,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,8,26,25,0,0,0,0,0,0,0,0,0,0
