"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb3a7cdce728",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131181233/vertx-web-kotlinx-postgresql/db/stats.txt",,,,"Date:","31 Jan 2026 18:42:08 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769884928.401,34.687,11.612,53.584,0.118,0,10141994.428,33291681.904,1945605.775,0,0,0,0,0,889634816,4891881472,2351632384,6808551424,16439.081,55252.253,1,0,8.658,2.150,5.220,4.390,4849.120,3946.361,95.072,0.609,67.194,2.904,81.303,0.020,35.079,0.030,2.150,5.220,4.390,889634816,4891881472,2351632384,6808551424,1,0,8.658,26.262,28.451,3.380,0,0,1073737728,0,864,39013,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,3.236,2535.697,11829.331,13210.385,1.402,0.075,0,0,0,0,0,0,0,0
1769884929.402,49.933,21.419,28.514,0.134,0,0,4849664,0,0,672,0,0,0,921432064,4860076032,2351656960,6776778752,56456,177978,8,0,40,2.150,5.220,4.390,44523,5701,63,0,60,0,17,0,50,0,2.150,5.220,4.390,921432064,4860076032,2351656960,6776778752,7,0,40,0,68,0,0,0,1073737728,0,928,39209,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,4644,17502,13519,1.300,0,0,0,0,0,0,0,0,0
1769884930.402,36.453,24.581,38.966,0,0,0,0,0,0,336,0,0,0,918249472,4863258624,2351656960,6779961344,84827,219133,8,0,1,2.150,5.220,4.390,74514,4854,2,0,0,0,1,0,2,0,2.150,5.220,4.390,918249472,4863258624,2351656960,6779961344,7,0,1,0,0,0,0,0,1073737728,0,928,39209,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,55,6731,2592,0,0,0,0,0,0,0,0,0,0
1769884931.401,34.188,24.501,41.311,0,0,0,131072,0,0,336,0,0,0,923316224,4858191872,2351656960,6774894592,85500,211794,6,0,0,2.150,5.220,4.390,75744,4762,2,0,4,0,1,0,2,0,2.150,5.220,4.390,923316224,4858191872,2351656960,6774894592,9,0,0,0,4,0,0,0,1073737728,0,928,39208,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,15,1568,1051,0,0,0,0,0,0,0,0,0,0
1769884932.401,36.864,23.305,39.831,0,0,0,2097152,0,0,0,0,0,0,919654400,4861870080,2351656960,6778564608,87995,218699,8,0,0,2.220,5.190,4.380,77436,4942,2,0,7,0,1,0,2,0,2.220,5.190,4.380,919654400,4861870080,2351656960,6778564608,6,0,0,0,11,0,0,0,1073737728,0,928,39200,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,6,2589,2607,0.100,0,0,0,0,0,0,0,0,0
1769884933.402,35.836,23.654,40.510,0,0,0,0,0,0,0,0,0,0,915705856,4865810432,2351665152,6782513152,85498,212116,4,0,0,2.220,5.190,4.380,75281,4876,5,0,0,0,2,0,2,0,2.220,5.190,4.380,915705856,4865810432,2351665152,6782513152,7,0,0,0,0,0,0,0,1073737728,0,928,39200,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,5,47,1057,0,0,0,0,0,0,0,0,0,0
1769884934.407,4.453,2.799,92.748,0,0,0,720896,0,0,0,0,0,0,910270464,4871241728,2351669248,6787952640,13387,31575,0,0,1,2.220,5.190,4.380,11991,807,26,0,5,0,26,0,4,0,2.220,5.190,4.380,910270464,4871241728,2351669248,6787952640,0,0,1,0,2,0,0,0,1073737728,0,928,39185,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,135,121,1550,0.100,0,0,0,0,0,0,0,0,0
1769884935.412,0.250,0.375,98.750,0.625,0,0,0,0,0,0,0,0,0,910770176,4870737920,2351673344,6787448832,1601,2252,0,0,1,2.220,5.190,4.380,815,205,2,2,569,0,2,0,4,0,2.220,5.190,4.380,910770176,4870737920,2351673344,6787448832,0,0,1,0,0,0,0,0,1073737728,0,928,39185,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,93,92,87,5.200,0,0,0,0,0,0,0,0,0
1769884936.409,0.376,0.501,99.123,0,0,0,2097152,0,0,0,0,0,0,910770176,4870737920,2351673344,6787448832,381,419,0,0,0,2.220,5.190,4.380,183,191,3,0,1,0,1,0,2,0,2.220,5.190,4.380,910770176,4870737920,2351673344,6787448832,0,0,0,0,1,0,0,0,1073737728,0,928,39185,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,5,27,39,0.100,0,0,0,0,0,0,0,0,0
1769884937.403,0.377,0.629,98.994,0,0,0,0,0,0,0,0,0,0,906780672,4874719232,2351681536,6791430144,1288,1724,0,0,0,2.120,5.120,4.360,759,518,2,0,0,0,3,0,2,0,2.120,5.120,4.360,906780672,4874719232,2351681536,6791430144,0,0,0,0,0,0,0,0,1073737728,0,928,39185,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,3,26,40,0,0,0,0,0,0,0,0,0,0
1769884938.403,0.501,0.627,98.872,0,0,0,0,0,0,0,0,0,0,907038720,4874461184,2351681536,6791172096,1578,2128,0,0,0,2.120,5.120,4.360,953,618,2,0,0,0,1,0,2,0,2.120,5.120,4.360,907038720,4874461184,2351681536,6791172096,0,0,0,0,0,0,0,0,1073737728,0,928,39185,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,5,29,25,0,0,0,0,0,0,0,0,0,0
1769884939.401,54.962,25.191,19.847,0,0,0,3145728,0,0,0,0,0,0,931495936,4849508352,2351685632,6766493696,22036,59924,18,1,11,2.120,5.120,4.360,3253,6496,14,0,15,0,10,0,4,0,2.120,5.120,4.360,931495936,4849508352,2351685632,6766493696,19,1,11,0,14,0,0,0,1073737728,0,1824,40209,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,1490,30462,19171,1.900,0,0,0,0,0,0,0,0,0
