"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","683ed0e0811e",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131185156/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/fortune/stats.txt",,,,"Date:","31 Jan 2026 19:49:05 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769888945.630,36.454,13.268,50.204,0.074,0,4104543.492,31880782.086,781210.384,0,0,0,0,0,1278373888,3451146240,3366219776,6304378880,17574.607,61991.065,1,0,5.706,9.310,9.040,7.460,5111.802,4191.044,67.841,0.285,40.542,1.167,75.025,0.008,22.182,0.022,9.310,9.040,7.460,1278373888,3451146240,3366219776,6304378880,2,0,5.706,10.684,22.747,1.358,0,0,1073737728,0,864,46045,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1.322,1877.876,10503.734,10886.243,1.153,0.030,0,0,0,0,0,0,0,0
1769888946.631,40.655,19.782,39.427,0.136,0,0,3538944,0,0,672,0,0,0,1239855104,3489632256,3366252544,6342905856,65099,172855,7,0,52,9.310,9.040,7.460,54856,4958,65,0,54,0,17,0,62,0,9.310,9.040,7.460,1239855104,3489632256,3366252544,6342905856,5,0,52,0,61,0,0,0,1073737728,0,864,46262,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3331,9305,17792,0.700,0,0,0,0,0,0,0,0,0
1769888947.631,33.287,17.541,49.171,0,0,0,0,0,0,336,0,0,0,1207861248,3521626112,3366252544,6374899712,75811,182818,6,0,0,9.040,8.990,7.460,68464,4118,2,0,0,0,1,0,2,0,9.040,8.990,7.460,1207861248,3521626112,3366252544,6374899712,5,0,0,0,0,0,0,0,1073737728,0,864,46262,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8,37,9666,0,0,0,0,0,0,0,0,0,0
1769888948.631,35,20.278,44.722,0,0,0,0,0,0,336,0,0,0,1182695424,3546791936,3366252544,6400065536,76291,184608,6,0,0,9.040,8.990,7.460,67987,4463,4,0,0,0,1,0,2,0,9.040,8.990,7.460,1182695424,3546791936,3366252544,6400065536,6,0,0,0,0,0,0,0,1073737728,0,864,46261,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,41,1604,8247,0,0,0,0,0,0,0,0,0,0
1769888949.631,38.095,21.849,40.056,0,0,0,0,0,0,0,0,0,0,1223651328,3505836032,3366252544,6359109632,74863,191267,7,0,0,9.040,8.990,7.460,65475,4717,4,0,0,0,1,0,2,0,9.040,8.990,7.460,1223651328,3505836032,3366252544,6359109632,8,0,0,0,0,0,0,0,1073737728,0,864,46261,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,209,17247,7677,0,0,0,0,0,0,0,0,0,0
1769888950.631,40.411,23.562,36.027,0,0,0,2097152,0,0,0,0,0,0,1257455616,3472023552,3366260736,6325305344,67305,205404,6,0,0,9.040,8.990,7.460,57836,5049,2,0,1,0,2,0,2,0,9.040,8.990,7.460,1257455616,3472023552,3366260736,6325305344,7,0,0,0,1,0,0,0,1073737728,0,864,46261,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,58,15442,9269,0,0,0,0,0,0,0,0,0,0
1769888951.636,3.783,2.144,94.073,0,0,0,425984,0,0,0,0,0,0,1238867968,3490607104,3366264832,6343897088,12067,26021,0,0,1,9.040,8.990,7.460,11092,670,27,0,5,0,26,0,4,0,9.040,8.990,7.460,1238867968,3490607104,3366264832,6343897088,0,0,1,0,2,0,0,0,1073737728,0,864,46246,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,132,1367,2842,0.100,0,0,0,0,0,0,0,0,0
1769888952.640,0.249,0,99.751,0,0,0,0,0,0,0,0,0,0,1239121920,3490349056,3366268928,6343639040,306,393,0,0,0,8.400,8.860,7.420,153,147,2,0,0,0,2,0,2,0,8.400,8.860,7.420,1239121920,3490349056,3366268928,6343639040,0,0,0,0,0,0,0,0,1073737728,0,864,46246,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8,30,25,0,0,0,0,0,0,0,0,0,0
1769888953.632,0.126,0.126,99.747,0,0,0,2097152,0,0,0,0,0,0,1239121920,3490349056,3366268928,6343639040,326,383,0,0,0,8.400,8.860,7.420,153,165,2,0,1,0,1,0,2,0,8.400,8.860,7.420,1239121920,3490349056,3366268928,6343639040,0,0,0,0,1,0,0,0,1073737728,0,864,46246,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,25,24,0,0,0,0,0,0,0,0,0,0
1769888954.633,0.374,0.125,99.501,0,0,0,0,0,0,0,0,0,0,1238761472,3490701312,3366277120,6343991296,354,451,0,0,0,8.400,8.860,7.420,170,176,2,0,0,0,3,0,2,0,8.400,8.860,7.420,1238761472,3490701312,3366277120,6343991296,0,0,0,0,0,0,0,0,1073737728,0,864,46246,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,11,37,51,0,0,0,0,0,0,0,0,0,0
1769888955.632,0.126,0.251,99.372,0.251,0,0,0,0,0,0,0,0,0,1238761472,3490701312,3366277120,6343995392,1031,1461,0,0,1,8.400,8.860,7.420,534,155,2,2,332,0,1,0,4,0,8.400,8.860,7.420,1238761472,3490701312,3366277120,6343995392,0,0,1,0,0,0,0,0,1073737728,0,864,46246,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,89,87,93,2.600,0,0,0,0,0,0,0,0,0
1769888956.633,48.707,22.989,28.305,0,0,0,2260992,0,0,0,0,0,0,1365192704,3364069376,3366281216,6217584640,20510,83564,15,0,9,8.400,8.860,7.420,1327,5117,12,0,5,0,10,0,4,0,8.400,8.860,7.420,1365192704,3364069376,3366281216,6217584640,16,0,9,0,3,0,0,0,1073737728,0,1792,47270,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2198,70285,34402,0.200,0,0,0,0,0,0,0,0,0
1769888957.630,66.539,31.170,2.290,0,0,0,0,0,0,0,0,0,0,1659510784,3069751296,3366281216,5923266560,24684,134151,14,0,0,9.090,9,7.470,1030,7725,2,0,0,0,1,0,9,0,9.090,9,7.470,1659510784,3069751296,3366281216,5923266560,14,0,0,0,0,0,0,0,1073737728,0,1792,47270,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,775,124386,53111,0,0,0,0,0,0,0,0,0,0
1769888958.630,67.185,31.388,1.427,0,0,0,0,0,0,0,0,0,0,1651474432,3077779456,3366289408,5931302912,34324,142437,20,0,0,9.090,9,7.470,479,7640,2,0,0,0,3,0,2,0,9.090,9,7.470,1651474432,3077779456,3366289408,5931302912,19,0,0,0,0,0,0,0,1073737728,0,1792,47270,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8,39242,40301,0,0,0,0,0,0,0,0,0,0
1769888959.630,65.831,31.926,2.243,0,0,0,0,0,0,0,0,0,0,1655848960,3073404928,3366289408,5926928384,33169,139583,15,0,1,9.090,9,7.470,616,7455,2,0,0,0,1,0,2,0,9.090,9,7.470,1655848960,3073404928,3366289408,5926928384,15,0,1,0,0,0,0,0,1073737728,0,1792,47270,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,47,39518,38410,0,0,0,0,0,0,0,0,0,0
1769888960.630,67.097,31.226,1.677,0,0,0,2097152,0,0,0,0,0,0,1656434688,3072819200,3366289408,5926342656,31557,147507,14,0,0,9.090,9,7.470,594,7673,4,0,1,0,1,0,2,0,9.090,9,7.470,1656434688,3072819200,3366289408,5926342656,13,0,0,0,1,0,0,0,1073737728,0,1792,47270,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,346,39210,39868,0.300,0,0,0,0,0,0,0,0,0
1769888961.631,66.538,30.759,2.703,0,0,0,1343488,0,0,0,0,0,0,1651318784,3077935104,3366289408,5931466752,35564,137694,16,0,0,9.090,9,7.470,1020,7624,4,0,18,0,1,0,2,0,9.090,9,7.470,1651318784,3077935104,3366289408,5931466752,16,0,0,0,30,0,0,0,1073737728,0,1792,47270,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,16,38813,39142,2.400,0,0,0,0,0,0,0,0,0
1769888962.630,66.444,31.952,1.604,0,0,0,0,0,0,0,0,0,0,1654235136,3075014656,3366293504,5928546304,35237,145631,16,0,1,9.480,9.080,7.510,519,7410,2,0,0,0,3,0,2,0,9.480,9.080,7.510,1654235136,3075014656,3366293504,5928546304,16,0,1,0,0,0,0,0,1073737728,0,1792,47270,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1173,37002,35951,0,0,0,0,0,0,0,0,0,0
