"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","683ed0e0811e",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131185156/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/query/stats.txt",,,,"Date:","31 Jan 2026 19:00:18 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769886018.933,33.241,13.101,53.578,0.080,0,4586204.931,30020111.208,872884.140,0,0,0,0,0,1059618816,3930288128,3109257216,6648516608,17326.556,62051.867,0,0,6.203,13.240,7.610,6.610,5275.538,3946.136,75.019,0.313,43.510,1.304,83.260,0.009,24.301,0.022,13.240,7.610,6.610,1059618816,3930288128,3109257216,6648516608,0,0,6.203,11.938,23.419,1.517,0,0,1073737728,0,864,45980,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1.477,1881.943,10827.687,11318.798,1.038,0.034,0,0,0,0,0,0,0,0
1769886019.933,40.108,21.138,38.753,0,0,0,2949120,0,0,672,0,0,0,1091076096,3898798080,3109289984,6617063424,62117,158680,7,0,47,13.240,7.610,6.610,51488,4981,78,0,54,0,17,0,63,0,13.240,7.610,6.610,1091076096,3898798080,3109289984,6617063424,5,0,47,0,59,0,0,0,1073737728,0,864,46197,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6372,12746,9885,0.400,0,0,0,0,0,0,0,0,0
1769886020.933,41.370,21.644,36.986,0,0,0,0,0,0,336,0,0,0,1095012352,3894861824,3109289984,6613127168,67681,173899,5,0,0,13.240,7.610,6.610,57173,4966,4,0,0,0,1,0,2,0,13.240,7.610,6.610,1095012352,3894861824,3109289984,6613127168,4,0,0,0,0,0,0,0,1073737728,0,864,46197,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7,1576,2146,0,0,0,0,0,0,0,0,0,0
1769886021.933,41.233,21.096,37.671,0,0,0,0,0,0,336,0,0,0,1095012352,3894861824,3109289984,6613127168,64945,174873,6,0,0,13.240,7.610,6.610,54903,4879,2,0,0,0,1,0,2,0,13.240,7.610,6.610,1095012352,3894861824,3109289984,6613127168,6,0,0,0,0,0,0,0,1073737728,0,864,46196,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4,27,537,0,0,0,0,0,0,0,0,0,0
1769886022.935,41.587,21.614,36.799,0,0,0,0,0,0,0,0,0,0,1093644288,3896229888,3109289984,6614495232,64555,178304,7,0,0,12.660,7.580,6.600,54459,4953,2,0,0,0,1,0,9,0,12.660,7.580,6.600,1093644288,3896229888,3109289984,6614495232,7,0,0,0,0,0,0,0,1073737728,0,864,46196,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6,2078,1092,0,0,0,0,0,0,0,0,0,0
1769886023.933,43.683,24.866,31.452,0,0,0,0,0,0,0,0,0,0,1102282752,3887583232,3109298176,6605856768,54932,193939,8,0,0,12.660,7.580,6.600,44638,5379,3,0,0,0,2,0,2,0,12.660,7.580,6.600,1102282752,3887583232,3109298176,6605856768,7,0,0,0,0,0,0,0,1073737728,0,864,46196,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9,2083,2077,0,0,0,0,0,0,0,0,0,0
1769886024.938,6.758,3.880,89.362,0,0,0,393216,0,0,0,0,0,0,1081028608,3908829184,3109306368,6627110912,7917,32051,1,0,1,12.660,7.580,6.600,6223,1024,19,0,5,0,26,0,4,0,12.660,7.580,6.600,1081028608,3908829184,3109306368,6627110912,0,0,1,0,2,0,0,0,1073737728,0,864,46181,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,125,112,1547,0.100,0,0,0,0,0,0,0,0,0
1769886025.937,0.250,0.250,99.499,0,0,0,0,0,0,0,0,0,0,1079390208,3910463488,3109310464,6628745216,318,407,0,0,2,12.660,7.580,6.600,166,143,2,0,0,0,2,0,2,0,12.660,7.580,6.600,1079390208,3910463488,3109310464,6628745216,0,0,2,0,0,0,0,0,1073737728,0,864,46181,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,80,76,24,0,0,0,0,0,0,0,0,0,0
1769886026.938,0.125,0,99.875,0,0,0,0,0,0,0,0,0,0,1075453952,3914399744,3109310464,6632685568,310,401,0,0,0,12.660,7.580,6.600,152,151,4,0,0,0,1,0,2,0,12.660,7.580,6.600,1075453952,3914399744,3109310464,6632685568,0,0,0,0,0,0,0,0,1073737728,0,864,46181,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,17,43,34,0,0,0,0,0,0,0,0,0,0
