"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","683ed0e0811e",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131185156/vertx-web-kotlinx-postgresql/update/stats.txt",,,,"Date:","31 Jan 2026 20:14:36 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769890476.542,36.117,13.805,50.004,0.074,0,3190269.437,29714427.698,607198.247,0,0,0,0,0,1552211968,2713825280,3802488832,6175887360,17988.745,64648.479,1,0,5.848,12.520,9.530,8,5029.874,4186.598,73.014,0.248,38.121,0.907,70.686,0.006,22.645,0.020,12.520,9.530,8,1552211968,2713825280,3802488832,6175887360,1,0,5.848,8.304,22.470,1.055,0,0,1073737728,0,864,51232,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,1.028,1872.464,10901.256,11135.935,1.019,0.024,0,0,0,0,0,0,0,0
1769890477.542,42.916,19.074,37.875,0.136,0,0,45940736,0,0,672,0,0,0,1551716352,2713563136,3803230208,6175813632,62637,155143,7,0,39,12.520,9.530,8,51587,5005,72,0,67,0,17,0,61,0,12.520,9.530,8,1551716352,2713563136,3803230208,6175813632,7,0,39,0,68,0,0,0,1073737728,0,896,51431,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,17834,8600,9681,1.400,0,0,0,0,0,0,0,0,0
1769890478.542,40.884,20.028,39.088,0,0,0,47775744,0,0,336,0,0,0,1552216064,2712530944,3803762688,6175088640,69421,170091,9,0,0,12.520,9.530,8,59345,4805,2,0,12,0,1,0,2,0,12.520,9.530,8,1552216064,2712530944,3803762688,6175088640,6,0,0,0,12,0,0,0,1073737728,0,896,51431,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5012,998,38,0.600,0,0,0,0,0,0,0,0,0
1769890479.542,42.033,20.742,37.225,0,0,0,41943040,0,0,336,0,0,0,1556410368,2723868672,3788230656,6170705920,71092,174291,6,0,0,12.520,9.530,8,60293,4937,2,0,12,0,1,0,2,0,12.520,9.530,8,1556410368,2723868672,3788230656,6170705920,8,0,0,0,13,0,0,0,1073737728,0,896,51430,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,233,333,4148,0.400,0,0,0,0,0,0,0,0,0
1769890480.542,41.816,20.770,37.276,0.138,0,0,36765696,0,0,0,0,0,0,1551708160,2723868672,3792932864,6175387648,70768,173684,8,0,0,12.150,9.500,8,59985,4946,2,0,10,0,1,0,2,0,12.150,9.500,8,1551708160,2723868672,3792932864,6175387648,9,0,0,0,10,0,0,0,1073737728,0,896,51430,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,124,1172,26,0.400,0,0,0,0,0,0,0,0,0
1769890481.542,42.047,21.162,36.791,0,0,0,36896768,0,0,0,0,0,0,1548554240,2722328576,3797626880,6178541568,68894,177493,6,0,0,12.150,9.500,8,58828,4918,2,0,10,0,2,0,2,0,12.150,9.500,8,1548554240,2722328576,3797626880,6178541568,7,0,0,0,10,0,0,0,1073737728,0,896,51430,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,137,3314,1565,0.400,0,0,0,0,0,0,0,0,0
1769890482.553,6.266,3.008,90.727,0,0,0,6553600,0,0,0,0,0,0,1540354048,2729754624,3798401024,6186737664,10554,27162,1,0,2,12.150,9.500,8,8816,947,29,0,9,0,26,0,6,0,12.150,9.500,8,1540354048,2729754624,3798401024,6186737664,1,0,2,0,6,0,0,0,1073737728,0,896,51415,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1304,1078,2041,0.200,0,0,0,0,0,0,0,0,0
1769890483.553,0.250,0.125,99.625,0,0,0,0,0,0,0,0,0,0,1540608000,2729496576,3798405120,6186479616,295,357,0,0,1,12.150,9.500,8,147,133,2,0,0,0,2,0,2,0,12.150,9.500,8,1540608000,2729496576,3798405120,6186479616,0,0,1,0,0,0,0,0,1073737728,0,896,51415,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,43,65,24,0,0,0,0,0,0,0,0,0,0
1769890484.546,0.252,0.126,99.622,0,0,0,0,0,0,0,0,0,0,1540608000,2729496576,3798405120,6186479616,261,325,1,0,0,12.150,9.500,8,130,127,2,0,0,0,1,0,2,0,12.150,9.500,8,1540608000,2729496576,3798405120,6186479616,1,0,0,0,0,0,0,0,1073737728,0,896,51415,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2,25,25,0,0,0,0,0,0,0,0,0,0
