"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","48d63239ef6d",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201112455/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","01 Feb 2026 11:29:12 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769945352.111,16.146,1.567,81.976,0.311,0,10831447.067,51151912.592,6577035.989,0,0,0,0,0,882089984,4876079104,2371878912,6802485248,4962.143,5939.531,0,0,9.286,3.140,1.840,0.760,2430.046,1890.649,171.955,2.568,140.862,10.040,195.815,0.072,78.939,0.061,3.140,1.840,0.760,882089984,4876079104,2371878912,6802485248,2,0,9.286,51.430,51.990,11.421,0,0,1073737728,0,832,40138,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,10.747,3683.330,12417.279,17068.672,2.471,0.189,0,0,0,0,0,0,0,0
1769945353.112,70.191,16.688,12.994,0.127,0,6422528,31686656,0,0,672,0,0,0,950439936,4805361664,2374201344,6733377536,25834,88702,14,0,39,3.140,1.840,0.760,5703,6984,66,0,78,0,17,0,51,0,3.140,1.840,0.760,950439936,4805361664,2374201344,6733377536,13,0,39,13,70,0,0,0,1073737728,0,832,40329,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,6,16943,38670,20141,2.300,0,0,0,0,0,0,0,0,0
1769945354.112,47.574,19.677,32.749,0,0,0,56164352,0,0,336,0,0,0,999403520,4753289216,2377306112,6682669056,56494,142426,8,0,0,3.140,1.840,0.760,44178,5484,2,0,14,0,1,0,2,0,3.140,1.840,0.760,999403520,4753289216,2377306112,6682669056,7,0,0,0,14,0,0,0,1073737728,0,832,40329,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,12451,20756,9272,1,0,0,0,0,0,0,0,0,0
1769945355.112,42.527,19.837,37.636,0,0,0,185335808,0,0,336,0,0,0,1117863936,4632944640,2379583488,6563278848,60435,146988,4,0,0,3.610,1.960,0.800,50172,5116,2,0,28,0,1,0,2,0,3.610,1.960,0.800,1117863936,4632944640,2379583488,6563278848,8,0,0,0,40,0,0,0,1073737728,0,832,40329,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4080,43260,14486,1.700,0,0,0,0,0,0,0,0,0
1769945356.117,33.908,12.931,52.443,0.718,0,0,29294592,0,0,0,0,0,0,1117069312,4632428544,2380894208,6563377152,32342,75923,2,0,0,3.610,1.960,0.800,26239,3720,3,0,10,0,1,0,2,0,3.610,1.960,0.800,1117069312,4632428544,2380894208,6563377152,4,0,0,0,12,0,0,0,1073737728,0,832,40329,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1542,357,48,6.700,0,0,0,0,0,0,0,0,0
1769945357.115,34.691,12.079,53.090,0.140,0,0,18284544,0,0,0,0,0,0,1115910144,4631654400,2382827520,6563536896,27452,62054,7,0,0,3.610,1.960,0.800,21989,3644,4,0,8,0,2,0,2,0,3.610,1.960,0.800,1115910144,4631654400,2382827520,6563536896,4,0,0,0,8,0,0,0,1073737728,0,832,40329,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,2022,1013,29,0.900,0,0,0,0,0,0,0,0,0
1769945358.113,3.157,1.136,95.581,0.126,0,557056,8192000,0,0,0,0,0,0,1115975680,4631396352,2383020032,6563586048,3502,7157,0,0,1,3.610,1.960,0.800,2749,558,15,0,8,0,26,0,4,0,3.610,1.960,0.800,1115975680,4631396352,2383020032,6563586048,0,0,1,2,6,0,0,0,1073737728,0,832,40315,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,324,160,1542,0.300,0,0,0,0,0,0,0,0,0
1769945359.113,0.375,0.125,99.500,0,0,0,0,0,0,0,0,0,0,1107124224,4640243712,2383024128,6572433408,288,377,0,0,0,3.610,1.960,0.800,148,134,2,0,0,0,2,0,2,0,3.610,1.960,0.800,1107124224,4640243712,2383024128,6572433408,0,0,0,0,0,0,0,0,1073737728,0,832,40315,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,3,27,25,0,0,0,0,0,0,0,0,0,0
1769945360.112,0.501,0.250,99.249,0,0,0,196608,0,0,0,0,0,0,1107124224,4640243712,2383024128,6572482560,487,629,0,0,1,3.400,1.940,0.800,210,250,6,0,4,0,1,0,12,0,3.400,1.940,0.800,1107124224,4640243712,2383024128,6572482560,0,0,1,0,2,0,0,0,1073737728,0,832,40315,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,17,48,49,0.100,0,0,0,0,0,0,0,0,0
