"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","d3a00a2666dc",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201123555/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","01 Feb 2026 12:39:20 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769949560.035,12.964,1.442,85.247,0.346,0,8494809.824,79849126.158,8225988.459,0,0,0,0,0,839450624,4629450752,2636468224,6842679296,5984.067,8033.716,0,0,11.717,2.500,1.390,0.560,3461.286,1727.998,318.227,4.612,150.832,12.538,180.247,0.086,79.403,0.072,2.500,1.390,0.560,839450624,4629450752,2636468224,6842679296,0,0,11.717,33.020,72.507,14.355,0,0,1073737728,0,832,48123,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,13.477,4408.327,16653.283,22136.192,2.329,0.237,0,0,0,0,0,0,0,0
1769949561.035,76.245,14.943,8.685,0.128,0,6422528,34275328,0,0,672,0,0,0,874283008,4592246784,2638790656,6806888448,20016,85987,12,0,38,3.180,1.550,0.610,3794,7326,71,0,75,0,17,0,56,1,3.180,1.550,0.610,874283008,4592246784,2638790656,6806888448,12,0,38,13,67,0,0,0,1073737728,0,864,48317,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,6,19956,15384,8819,2.700,0,0,0,0,0,0,0,0,0
1769949562.035,50.665,18.617,30.718,0,0,0,54067200,0,0,336,0,0,0,880537600,4582854656,2641928192,6799007744,49162,136599,7,0,1,3.180,1.550,0.610,37600,5469,2,0,14,0,1,0,2,0,3.180,1.550,0.610,880537600,4582854656,2641928192,6799007744,8,0,1,0,14,0,0,0,1073737728,0,864,48317,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,12603,3482,2903,1,0,0,0,0,0,0,0,0,0
1769949563.035,44.309,18.970,36.721,0,0,0,185434112,0,0,336,0,0,0,879013888,4582338560,2644377600,6799458304,63385,156647,10,0,0,3.180,1.550,0.610,52610,5126,4,0,28,0,1,0,2,0,3.180,1.550,0.610,879013888,4582338560,2644377600,6799458304,9,0,0,0,43,0,0,0,1073737728,0,864,48317,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4345,4754,6273,1.800,0,0,0,0,0,0,0,0,0
1769949564.035,43.989,18.716,37.158,0.137,0,0,58720256,0,0,0,0,0,0,876339200,4581048320,2648342528,6800101376,62531,153508,6,0,0,3.180,1.550,0.610,51512,5149,16,0,14,0,1,0,2,0,3.180,1.550,0.610,876339200,4581048320,2648342528,6800101376,9,0,0,0,20,0,0,0,1073737728,0,864,48317,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4384,1028,2589,0.600,0,0,0,0,0,0,0,0,0
1769949565.035,44.033,18.381,37.586,0,0,0,193495040,0,0,0,0,0,0,866463744,4588523520,2650791936,6808862720,62001,152036,9,0,0,3.180,1.550,0.610,51315,5093,2,0,32,0,2,0,2,0,3.180,1.550,0.610,866463744,4588523520,2650791936,6808862720,6,0,0,0,37,0,0,0,1073737728,0,864,48318,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,2952,4756,6706,1.800,0,0,0,0,0,0,0,0,0
1769949566.038,3.019,1.132,95.849,0,0,557056,6684672,0,0,0,0,0,0,866705408,4588019712,2651054080,6808678400,6126,13079,0,0,1,2.930,1.530,0.610,5119,629,13,0,6,0,26,0,4,0,2.930,1.530,0.610,866705408,4588019712,2651054080,6808678400,0,0,1,2,4,0,0,0,1073737728,0,864,48304,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,323,727,1563,0.300,0,0,0,0,0,0,0,0,0
1769949567.036,0.250,0.125,99.625,0,0,0,0,0,0,0,0,0,0,866701312,4588019712,2651058176,6808678400,257,334,0,0,0,2.930,1.530,0.610,133,116,3,0,0,0,2,0,2,0,2.930,1.530,0.610,866701312,4588019712,2651058176,6808678400,0,0,0,0,0,0,0,0,1073737728,0,864,48304,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,0,25,43,0,0,0,0,0,0,0,0,0,0
1769949568.036,0.250,0.125,99.625,0,0,0,0,0,0,0,0,0,0,866701312,4588019712,2651058176,6808678400,220,296,0,0,0,2.930,1.530,0.610,121,94,2,0,0,0,1,0,2,0,2.930,1.530,0.610,866701312,4588019712,2651058176,6808678400,0,0,0,0,0,0,0,0,1073737728,0,864,48304,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1,26,24,0,0,0,0,0,0,0,0,0,0
1769949569.037,0.126,0.378,99.496,0,0,0,0,0,0,0,0,0,0,866693120,4588019712,2651066368,6808678400,1279,1696,0,0,0,2.930,1.530,0.610,769,497,2,0,0,0,3,0,2,0,2.930,1.530,0.610,866693120,4588019712,2651066368,6808678400,0,0,0,0,0,0,0,0,1073737728,0,864,48304,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,10,36,24,0,0,0,0,0,0,0,0,0,0
