"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fd60abb6c746",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201131608/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","01 Feb 2026 13:18:44 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769951924.814,15.465,1.963,82.394,0.178,0,1704727.241,59700587.803,1552011.770,0,0,0,0,0,916910080,2707791872,4396699648,6803492864,5217.297,10558.726,0,0,5.293,2.870,2.400,1.980,2211.261,1807.545,175.771,0.952,66.067,2.367,267.597,0.016,52.797,0.027,2.870,2.400,1.980,916910080,2707791872,4396699648,6803492864,0,0,5.293,6.763,42.963,2.710,0,0,1073737728,0,800,67261,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,2.623,3087.356,10908.476,11511.924,1.634,0.045,0,0,0,0,0,0,0,0
1769951925.814,75.064,15.140,9.669,0.127,0,0,34766848,0,0,672,0,0,0,943386624,2679808000,4398206976,6776172544,20143,85677,16,0,39,2.870,2.400,1.980,3439,7281,56,0,65,0,17,0,47,0,2.870,2.400,1.980,943386624,2679808000,4398206976,6776172544,13,0,39,0,67,0,0,0,1073737728,0,800,67430,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,17821,14682,9936,3.300,0,0,0,0,0,0,0,0,0
1769951926.814,48.193,19.009,32.798,0,0,0,44892160,0,0,336,0,0,0,998440960,2621714432,4401246208,6719520768,52912,133247,11,0,0,2.870,2.400,1.980,41083,5290,2,0,12,0,1,0,2,0,2.870,2.400,1.980,998440960,2621714432,4401246208,6719520768,10,0,0,0,12,0,0,0,1073737728,0,800,67430,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,11628,21762,8251,0.800,0,0,0,0,0,0,0,0,0
1769951927.815,42.544,19.973,37.346,0.137,0,0,186351616,0,0,336,0,0,0,999862272,2617827328,4403712000,6716792832,64646,158729,12,0,0,2.870,2.400,1.980,53951,4919,4,0,31,0,1,0,2,0,2.870,2.400,1.980,999862272,2617827328,4403712000,6716792832,13,0,0,0,42,0,0,0,1073737728,0,800,67430,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4278,5766,5665,2.100,0,0,0,0,0,0,0,0,0
1769951928.814,44.475,18.827,36.698,0,0,0,50331648,0,0,0,0,0,0,997269504,2617569280,4406562816,6717853696,64142,156977,8,0,0,3.200,2.480,2.010,53473,4952,17,0,12,0,1,0,2,0,3.200,2.480,2.010,997269504,2617569280,4406562816,6717853696,10,0,0,0,18,0,0,0,1073737728,0,800,67430,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,3327,783,2593,0.600,0,0,0,0,0,0,0,0,0
1769951929.815,44.912,18.453,36.635,0,0,0,49545216,0,0,0,0,0,0,996995072,2614214656,4410191872,6716403712,61339,149738,13,0,1,3.200,2.480,2.010,50510,5186,2,0,12,0,2,0,2,0,3.200,2.480,2.010,996995072,2614214656,4410191872,6716403712,14,0,1,0,12,0,0,0,1073737728,0,800,67430,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4204,1477,3953,0.600,0,0,0,0,0,0,0,0,0
1769951930.815,3.788,1.515,94.571,0.126,0,0,8847360,0,0,0,0,0,0,983887872,2627129344,4410384384,6729539584,7647,15244,0,0,1,3.200,2.480,2.010,6182,1068,24,0,6,0,26,0,4,0,3.200,2.480,2.010,983887872,2627129344,4410384384,6729539584,0,0,1,0,6,0,0,0,1073737728,0,800,67415,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,309,186,1573,0.300,0,0,0,0,0,0,0,0,0
1769951931.817,0.626,0.501,98.874,0,0,0,0,0,0,0,0,0,0,974004224,2637008896,4410388480,6739419136,1748,2301,1,0,0,3.200,2.480,2.010,1033,690,4,0,0,0,2,0,2,0,3.200,2.480,2.010,974004224,2637008896,4410388480,6739419136,0,0,0,0,0,0,0,0,1073737728,0,800,67415,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,0,26,45,0,0,0,0,0,0,0,0,0,0
1769951932.818,0.250,0.125,99.625,0,0,0,0,0,0,0,0,0,0,974004224,2637008896,4410388480,6739419136,258,329,1,0,0,3.200,2.480,2.010,134,116,2,0,0,0,1,0,2,0,3.200,2.480,2.010,974004224,2637008896,4410388480,6739419136,1,0,0,0,0,0,0,0,1073737728,0,800,67415,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,6,29,24,0,0,0,0,0,0,0,0,0,0
1769951933.815,0.251,0.251,99.499,0,0,0,196608,0,0,0,0,0,0,974241792,2636763136,4410396672,6739173376,315,413,0,0,0,2.940,2.430,2,162,142,2,0,4,0,3,0,2,0,2.940,2.430,2,974241792,2636763136,4410396672,6739173376,1,0,0,0,2,0,0,0,1073737728,0,800,67415,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,0,28,24,0.100,0,0,0,0,0,0,0,0,0
1769951934.817,0.125,0.125,99.624,0.125,0,0,0,0,0,0,0,0,0,974745600,2636259328,4410396672,6738673664,1079,1539,1,0,1,2.940,2.430,2,576,269,4,3,218,0,1,0,5,0,2.940,2.430,2,974745600,2636259328,4410396672,6738673664,1,0,1,0,0,0,0,0,1073737728,0,800,67415,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,106,107,87,1.500,0,0,0,0,0,0,0,0,0
