"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","bcc20dd67129",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260217075857/ktor-exposed-r2dbc-dsl/db/stats.txt",,,,"Date:","17 Feb 2026 08:06:17 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1771315577.049,5.312,1.974,92.267,0.446,0,12249032.167,30767354.288,3249336.663,0,0,0,0,0,3079319552,2100105216,2399703040,5287469056,4048.577,5485.266,11,0,8.869,6.620,2.740,1.180,2355.666,1136.652,175.907,2.696,263.565,4.881,21.440,0.034,12.193,0.039,6.620,2.740,1.180,3079548928,2099875840,2399703040,5287239680,10,0,8.869,294.083,31.672,5.631,0,0,1073737728,0,8640,391342,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,4.374,3202.565,6609.748,7614.882,2.571,0.146,0,0,0,0,0,0,0,0
1771315578.050,52.611,27.807,19.452,0.131,0,6422528,4685824,0,0,672,0,0,0,3098427392,2080120832,2400579584,5268443136,13572,32861,5,0,62,6.620,2.740,1.180,3746,6683,85,3,92,0,17,0,70,0,6.620,2.740,1.180,3098427392,2080120832,2400579584,5268443136,8,0,62,13,92,0,0,0,1073737728,0,8736,391592,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,6,8712,16434,10721,2.200,0,0,0,0,0,0,0,0,0
1771315579.050,50.656,30.052,19.291,0,0,0,0,0,0,336,0,0,0,3099201536,2079346688,2400579584,5267668992,14950,40760,14,0,0,7.130,2.910,1.250,4235,6608,12,0,0,0,1,0,4,0,7.130,2.910,1.250,3099201536,2079346688,2400579584,5267668992,14,0,0,0,0,0,0,0,1073737728,0,8736,391571,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,1140,609,1522,0,0,0,0,0,0,0,0,0,0
1771315580.050,48.560,18.793,32.647,0,0,0,0,0,0,336,0,0,0,3106717696,2071830528,2400579584,5260152832,32988,82061,5,0,0,7.130,2.910,1.250,22941,5803,38,83,0,0,1,0,26,0,7.130,2.910,1.250,3106717696,2071830528,2400579584,5260152832,10,0,0,0,0,0,0,0,1073737728,0,8736,391555,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,3860,17785,14481,0,0,0,0,0,0,0,0,0,0
1771315581.050,41.857,21,37.143,0,0,0,0,0,0,0,0,0,0,3123998720,2054549504,2400579584,5242871808,57537,147995,2,0,3,7.130,2.910,1.250,46351,5765,2,0,0,0,1,0,7,0,7.130,2.910,1.250,3123998720,2054549504,2400579584,5242871808,2,0,3,0,0,0,0,0,1073737728,0,8736,391557,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,691,6807,1078,0,0,0,0,0,0,0,0,0,0
1771315582.050,40.029,22.956,37.016,0,0,0,0,0,0,0,0,0,0,3124219904,2054320128,2400587776,5242642432,70182,176181,5,0,2,7.130,2.910,1.250,59074,5988,4,0,0,0,2,0,6,0,7.130,2.910,1.250,3124219904,2054320128,2400587776,5242642432,10,0,2,0,0,0,0,0,1073737728,0,8736,391555,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,384,7282,7249,0,0,0,0,0,0,0,0,0,0
1771315583.050,8.161,4.663,86.658,0.518,0,557056,425984,0,0,0,0,0,0,3117273088,2061197312,2400657408,5249552384,15680,36987,0,0,3,7.130,2.910,1.250,12678,1507,18,3,425,0,26,0,6,0,7.130,2.910,1.250,3117273088,2061197312,2400657408,5249552384,0,0,3,2,2,0,0,0,1073737728,0,8736,391541,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,1,310,269,2811,2.800,0,0,0,0,0,0,0,0,0
1771315584.051,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,3117268992,2061197312,2400661504,5249552384,277,312,0,0,0,6.560,2.860,1.240,127,143,4,0,0,0,2,0,2,0,6.560,2.860,1.240,3117268992,2061197312,2400661504,5249552384,0,0,0,0,0,0,0,0,1073737728,0,8736,391541,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,4,30,25,0,0,0,0,0,0,0,0,0,0
1771315585.049,0.378,0.504,99.118,0,0,0,0,0,0,0,0,0,0,3117268992,2061197312,2400661504,5249552384,1541,2036,0,0,0,6.560,2.860,1.240,918,589,4,0,0,0,1,0,11,0,6.560,2.860,1.240,3117268992,2061197312,2400661504,5249552384,0,0,0,0,0,0,0,0,1073737728,0,8736,391541,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,4,27,26,0,0,0,0,0,0,0,0,0,0
1771315586.050,0.506,0.632,98.862,0,0,0,0,0,0,0,0,0,0,3117268992,2061197312,2400661504,5249552384,1961,2541,0,0,0,6.560,2.860,1.240,1182,748,2,0,0,0,1,0,10,0,6.560,2.860,1.240,3117268992,2061197312,2400661504,5249552384,0,0,0,0,0,0,0,0,1073737728,0,8736,391543,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,1,28,24,0,0,0,0,0,0,0,0,0,0
1771315587.051,1.648,1.141,97.212,0,0,0,0,0,0,0,0,0,0,3117514752,2060939264,2400669696,5249363968,2566,3385,0,0,0,6.560,2.860,1.240,1503,970,48,0,0,0,3,0,19,0,6.560,2.860,1.240,3117514752,2060939264,2400669696,5249363968,0,0,0,0,0,0,0,0,1073737728,0,8736,391586,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,22,127,186,0,0,0,0,0,0,0,0,0,0
