"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","bcc20dd67129",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260217075857/ktor-exposed-r2dbc-dsl/fortune/stats.txt",,,,"Date:","17 Feb 2026 08:17:24 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1771316244.021,22.766,10.096,66.853,0.285,0,7269304.089,21036363.357,1927492.995,0,0,0,0,0,3876335616,1261633536,2439749632,4472123392,10555.614,45805.042,3,0,6.849,74.740,41.250,17.980,3470.987,2984.691,109.748,1.826,160.668,2.896,14.696,0.020,10.504,0.030,74.740,41.250,17.980,3876335616,1261633536,2439749632,4472123392,3,0,6.849,174.331,22.067,3.342,0,0,1073737728,0,8192,391334,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,2.603,6578.150,5618.643,5984.157,2.114,0.087,0,0,0,0,0,0,0,0
1771316245.021,40.342,31.012,28.384,0.263,0,0,4882432,0,0,672,0,0,0,3890020352,1247879168,2439819264,4458561536,23339,70137,3,0,102,70.360,40.900,17.990,11490,6486,232,2,84,0,17,0,86,0,70.360,40.900,17.990,3890020352,1247879168,2439819264,4458561536,6,0,102,0,90,0,0,0,1073737728,0,8256,391595,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9633,22080,22375,1.600,0,0,0,0,0,0,0,0,0
1771316246.022,44.650,31.704,23.646,0,0,0,0,0,0,336,0,0,0,3884662784,1253236736,2439819264,4463919104,28142,87451,9,0,1,70.360,40.900,17.990,15293,6757,2,0,0,0,1,0,2,0,70.360,40.900,17.990,3884662784,1253236736,2439819264,4463919104,9,0,1,0,0,0,0,0,1073737728,0,8256,391595,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,303,367,63,0,0,0,0,0,0,0,0,0,0
1771316247.022,39.782,29.973,30.245,0,0,0,0,0,0,336,0,0,0,3870789632,1267109888,2439819264,4477792256,43210,124721,3,0,0,70.360,40.900,17.990,31164,6283,17,45,0,0,1,0,24,0,70.360,40.900,17.990,3870789632,1267109888,2439819264,4477792256,4,0,0,0,0,0,0,0,1073737728,0,8256,391592,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,153,303,182,0,0,0,0,0,0,0,0,0,0
1771316248.021,38.889,24.786,36.325,0,0,0,0,0,0,0,0,0,0,3867209728,1270689792,2439819264,4481372160,69772,189722,11,0,1,70.360,40.900,17.990,58070,5925,57,0,0,0,1,0,20,0,70.360,40.900,17.990,3867209728,1270689792,2439819264,4481372160,6,0,1,0,0,0,0,0,1073737728,0,8256,391635,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,73,193,156,0,0,0,0,0,0,0,0,0,0
1771316249.022,39.014,24.366,36.620,0,0,0,0,0,0,0,0,0,0,3867201536,1270689792,2439827456,4481372160,72133,197482,8,0,0,70.360,40.900,17.990,59932,6164,28,0,0,0,2,0,6,0,70.360,40.900,17.990,3867201536,1270689792,2439827456,4481372160,9,0,0,0,0,0,0,0,1073737728,0,8224,391599,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,37,74,35,0,0,0,0,0,0,0,0,0,0
1771316250.024,8.612,6.041,85.347,0,0,0,786432,0,0,0,0,0,0,3833106432,1304776704,2439831552,4515471360,19097,49116,0,0,1,64.960,40.270,17.910,15640,2020,31,0,6,0,26,0,9,0,64.960,40.270,17.910,3833106432,1304776704,2439831552,4515471360,1,0,1,0,3,0,0,0,1073737728,0,8224,391575,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,126,124,7995,0.200,0,0,0,0,0,0,0,0,0
1771316251.027,0.627,0.502,98.871,0,0,0,0,0,0,0,0,0,0,3833102336,1304776704,2439835648,4515471360,1371,1661,1,0,0,64.960,40.270,17.910,765,589,4,0,0,0,2,0,2,0,64.960,40.270,17.910,3833102336,1304776704,2439835648,4515471360,2,0,0,0,0,0,0,0,1073737728,0,8224,391575,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7,30,25,0,0,0,0,0,0,0,0,0,0
1771316252.023,2.020,0.505,97.475,0,0,0,0,0,0,0,0,0,0,3820920832,1316958208,2439835648,4527652864,859,815,0,0,0,64.960,40.270,17.910,364,482,2,0,0,0,1,0,7,0,64.960,40.270,17.910,3820920832,1316958208,2439835648,4527652864,0,0,0,0,0,0,0,0,1073737728,0,8224,391577,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4,28,48,0,0,0,0,0,0,0,0,0,0
1771316253.027,0.125,0.249,99.626,0,0,0,0,0,0,0,0,0,0,3820912640,1316958208,2439843840,4527652864,327,437,0,0,0,64.960,40.270,17.910,175,136,4,0,0,0,3,0,6,0,64.960,40.270,17.910,3820912640,1316958208,2439843840,4527652864,0,0,0,0,0,0,0,0,1073737728,0,8224,391575,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,27,25,0,0,0,0,0,0,0,0,0,0
