"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","bcc20dd67129",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260217075857/ktor-exposed-r2dbc-dsl/query/stats.txt",,,,"Date:","17 Feb 2026 08:08:30 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1771315710.365,13.294,6.555,79.789,0.362,0,9811537.731,24654349.071,2599527.819,0,0,0,0,0,3149717504,2028150784,2400825344,5217423360,8981.364,33876.754,2,0,8.493,31.220,13.460,5.330,3723.058,2090.203,143.568,2.297,212.063,3.905,18.120,0.027,11.378,0.035,31.220,13.460,5.330,3158351872,2019516416,2400825344,5208788992,3,0,8.498,235.298,25.964,4.505,0,0,1073737728,0,7104,391351,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,3.512,4287.473,6488.589,7245.092,2.085,0.117,0,0,0,0,0,0,0,0
1771315711.366,38.298,30.452,31.117,0.133,0,32768,3047424,0,0,672,0,0,0,3208790016,1969004544,2400870400,5158408192,29998,78719,9,0,58,31.220,13.460,5.330,18838,6130,63,2,63,0,17,0,62,0,31.220,13.460,5.330,3208790016,1969004544,2400870400,5158408192,9,0,55,1,60,0,0,0,1073737728,0,7104,391579,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,12416,18994,11999,1.500,0,0,0,0,0,0,0,0,0
1771315712.367,40.746,32.490,26.764,0,0,0,0,0,0,336,0,0,0,3209019392,1968775168,2400870400,5158178816,36242,97462,5,0,0,31.220,13.460,5.330,23758,6477,2,0,0,0,1,0,6,0,31.220,13.460,5.330,3209019392,1968775168,2400870400,5158178816,4,0,0,0,0,0,0,0,1073737728,0,7104,391577,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,81,160,696,0,0,0,0,0,0,0,0,0,0
1771315713.366,37.675,25.770,36.555,0,0,0,0,0,0,336,0,0,0,3200614400,1977180160,2400870400,5166583808,68102,172323,6,0,0,31.220,13.460,5.330,57034,6079,22,43,0,0,1,0,17,0,31.220,13.460,5.330,3200614400,1977180160,2400870400,5166583808,6,0,0,0,0,0,0,0,1073737728,0,7104,391572,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,931,1085,3026,0,0,0,0,0,0,0,0,0,0
1771315714.366,38.384,23.232,38.384,0,0,0,0,0,0,0,0,0,0,3200860160,1976934400,2400870400,5166338048,80190,200144,7,0,0,29.440,13.380,5.350,69266,6075,2,0,0,0,1,0,2,0,29.440,13.380,5.350,3200860160,1976934400,2400870400,5166338048,6,0,0,0,0,0,0,0,1073737728,0,7104,391572,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,41,40,0,0,0,0,0,0,0,0,0,0
1771315715.366,37.106,24.212,38.682,0,0,0,0,0,0,0,0,0,0,3202539520,1975246848,2400878592,5164658688,79423,197221,14,0,1,29.440,13.380,5.350,68732,6065,2,0,0,0,2,0,2,0,29.440,13.380,5.350,3202539520,1975246848,2400878592,5164658688,7,0,1,0,0,0,0,0,1073737728,0,7104,391572,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1087,548,3105,0,0,0,0,0,0,0,0,0,0
1771315716.368,4.956,3.177,91.868,0,0,0,425984,0,0,0,0,0,0,3166334976,2011447296,2400882688,5200859136,11009,26036,0,0,2,29.440,13.380,5.350,9153,1207,12,0,5,0,26,0,9,0,29.440,13.380,5.350,3166334976,2011447296,2400882688,5200859136,0,0,2,0,2,0,0,0,1073737728,0,7104,391559,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,147,143,1577,0.200,0,0,0,0,0,0,0,0,0
1771315717.367,3.431,0.762,95.807,0,0,0,0,0,0,0,0,0,0,3167748096,2010030080,2400886784,5199441920,1543,1863,0,0,0,29.440,13.380,5.350,750,697,53,0,0,0,2,0,21,0,29.440,13.380,5.350,3167748096,2010030080,2400886784,5199441920,0,0,0,0,0,0,0,0,1073737728,0,7168,391602,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,95,163,105,0,0,0,0,0,0,0,0,0,0
1771315718.369,1.763,0.630,97.607,0,0,0,0,0,0,0,0,0,0,3168006144,2009772032,2400886784,5199183872,1016,1114,0,0,0,29.440,13.380,5.350,516,494,2,0,0,0,1,0,2,0,29.440,13.380,5.350,3168006144,2009772032,2400886784,5199183872,0,0,0,0,0,0,0,0,1073737728,0,7168,391602,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,54,76,25,0,0,0,0,0,0,0,0,0,0
