"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","bcc20dd67129",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260217075857/ktor-exposed-r2dbc-dsl/update/stats.txt",,,,"Date:","17 Feb 2026 08:15:27 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1771316127.409,18.294,8.393,72.998,0.315,0,8351731.396,21014672.894,2214504.108,0,0,0,0,0,3505307648,1672052736,2401013760,4862160896,9350.477,39640.940,5,0,7.646,52.190,26.180,10.850,3581.040,2545.961,123.984,2.025,181.458,3.327,16.160,0.023,10.848,0.032,52.190,26.180,10.850,3505307648,1672052736,2401013760,4862160896,2,0,7.646,200.290,22.545,3.839,0,0,1073737728,0,7168,391329,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,2.990,4030.750,5967.751,6505.203,1.795,0.100,0,0,0,0,0,0,0,0
1771316128.410,40.476,27.910,31.481,0.132,0,0,6160384,0,0,672,0,0,0,3508846592,1668407296,2401087488,4858675200,23707,60123,3,0,65,52.190,26.180,10.850,13559,6018,181,2,89,0,17,0,104,0,52.190,26.180,10.850,3508846592,1668407296,2401087488,4858675200,3,0,65,0,99,0,0,0,1073737728,0,7200,391631,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,11589,14798,10662,1.600,0,0,0,0,0,0,0,0,0
1771316129.410,44.371,30.199,25.430,0,0,0,2031616,0,0,336,0,0,0,3512430592,1664823296,2401087488,4855091200,27995,70766,10,0,0,48.730,25.890,10.840,16524,6547,2,0,10,0,1,0,2,0,48.730,25.890,10.840,3512430592,1664823296,2401087488,4855091200,10,0,0,0,10,0,0,0,1073737728,0,7200,391631,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3948,1161,187,0.400,0,0,0,0,0,0,0,0,0
1771316130.410,40.331,24.171,35.497,0,0,0,2490368,0,0,336,0,0,0,3515224064,1662017536,2401099776,4852285440,47089,115259,6,0,0,48.730,25.890,10.840,36908,5837,49,47,8,0,1,0,27,0,48.730,25.890,10.840,3515224064,1662017536,2401099776,4852285440,9,0,0,0,8,0,0,0,1073737728,0,7200,391581,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3609,1067,168,0.300,0,0,0,0,0,0,0,0,0
1771316131.410,39.485,20.315,40.200,0,0,0,4784128,0,0,0,0,0,0,3491524608,1685696512,2401120256,4875964416,67482,165368,11,0,0,48.730,25.890,10.840,57636,5674,4,0,10,0,1,0,7,0,48.730,25.890,10.840,3491524608,1685696512,2401120256,4875964416,10,0,0,0,10,0,0,0,1073737728,0,7200,391583,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2537,155,5793,0,0,0,0,0,0,0,0,0,0
1771316132.410,38.210,22.017,39.773,0,0,0,5701632,0,0,0,0,0,0,3491958784,1685237760,2401144832,4875505664,71984,176890,6,0,0,48.730,25.890,10.840,62078,5695,2,0,10,0,2,0,6,0,48.730,25.890,10.840,3491958784,1685237760,2401144832,4875505664,3,0,0,0,10,0,0,0,1073737728,0,7200,391581,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1866,168,145,0.100,0,0,0,0,0,0,0,0,0
1771316133.412,7.243,3.431,89.199,0.127,0,0,2293760,0,0,0,0,0,0,3486023680,1691168768,2401148928,4881457152,12213,28372,0,0,2,48.730,25.890,10.840,10100,1348,24,0,11,0,26,0,4,0,48.730,25.890,10.840,3486023680,1691168768,2401148928,4881457152,0,0,2,0,8,0,0,0,1073737728,0,7168,391566,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,441,670,1557,0.100,0,0,0,0,0,0,0,0,0
1771316134.411,0.504,0.378,99.118,0,0,0,0,0,0,0,0,0,0,3486019584,1691168768,2401153024,4881457152,1049,1303,0,0,0,45.070,25.510,10.800,612,427,2,0,0,0,2,0,2,0,45.070,25.510,10.800,3486019584,1691168768,2401153024,4881457152,0,0,0,0,0,0,0,0,1073737728,0,7168,391566,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,25,25,0,0,0,0,0,0,0,0,0,0
1771316135.410,1.523,0.761,97.716,0,0,0,0,0,0,0,0,0,0,3481141248,1696047104,2401153024,4886335488,2516,3092,0,0,0,45.070,25.510,10.800,1424,1070,2,0,0,0,1,0,2,0,45.070,25.510,10.800,3481141248,1696047104,2401153024,4886335488,0,0,0,0,0,0,0,0,1073737728,0,7168,391566,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,19,25,48,0,0,0,0,0,0,0,0,0,0
