"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","b7353b923e2b",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260204112810/vertx-web-kotlinx-exposed-r2dbc-postgresql/update/stats.txt",,,,"Date:","04 Feb 2026 11:32:25 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770204745.110,11.362,1.536,86.270,0.831,0,30421827.132,75775151.156,6888044.636,0,0,0,0,0,1626935296,3131019264,2852818944,6700810240,6607.042,8855.731,0,0,9.840,2.150,1.490,0.640,3822.493,1650.889,274.251,1.574,559.493,10.386,159.812,0.076,66.380,0.064,2.150,1.490,0.640,1626935296,3131019264,2852818944,6700810240,0,0,9.840,613.570,69.126,12.040,0,0,1073737728,0,832,376458,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,9.919,3726.682,15753.392,18928.910,4.488,0.297,0,0,0,0,0,0,0,0
1770204746.111,76.561,14.268,9.045,0.127,0,6422528,10682368,0,0,672,0,0,0,1695850496,3061096448,2853801984,6631796736,16829,86307,14,0,40,2.150,1.490,0.640,2126,7272,75,0,75,0,17,0,42,0,2.150,1.490,0.640,1695850496,3061096448,2853801984,6631796736,14,0,40,13,68,0,0,0,1073737728,0,864,376649,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,6,10086,39877,24055,3.100,0,0,0,0,0,0,0,0,0
1770204747.111,77.344,19.401,3.255,0,0,0,15663104,0,0,336,0,0,0,1799770112,2956951552,2854027264,6527725568,17142,124565,10,0,0,2.150,1.490,0.640,466,7455,5,0,10,0,1,0,2,0,2.150,1.490,0.640,1799770112,2956951552,2854027264,6527725568,10,0,0,0,10,0,0,0,1073737728,0,864,376649,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,6123,43580,19080,4.500,0,0,0,0,0,0,0,0,0
1770204748.111,65.949,27.215,6.709,0.127,0,0,29687808,0,0,336,0,0,0,1778954240,2977406976,2854387712,6548242432,13304,231727,12,0,0,2.150,1.490,0.640,3575,7491,2,0,10,0,1,0,2,0,2.150,1.490,0.640,1778954240,2977406976,2854387712,6548242432,11,0,0,0,10,0,0,0,1073737728,0,864,376648,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,7706,178,8770,2.200,0,0,0,0,0,0,0,0,0
1770204749.111,52.111,20.844,27.045,0,0,0,21102592,0,0,0,0,0,0,1768271872,2987892736,2854584320,6558883840,43143,190848,7,0,0,2.150,1.490,0.640,34392,5931,2,0,10,0,1,0,2,0,2.150,1.490,0.640,1768271872,2987892736,2854584320,6558883840,6,0,0,0,10,0,0,0,1073737728,0,864,376648,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1408,79,4649,0.800,0,0,0,0,0,0,0,0,0
1770204750.111,44.748,17.326,37.926,0,0,0,13369344,0,0,0,0,0,0,1761890304,2994184192,2854674432,6565224448,63756,156802,8,0,0,2.380,1.550,0.660,55099,5039,4,0,10,0,2,0,2,0,2.380,1.550,0.660,1761890304,2994184192,2854674432,6565224448,7,0,0,0,10,0,0,0,1073737728,0,864,376648,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,506,76,3105,0.500,0,0,0,0,0,0,0,0,0
1770204751.116,3.258,1.253,95.363,0.125,0,557056,2457600,0,0,0,0,0,0,1709850624,3046137856,2854760448,6617317376,5216,12555,0,0,1,2.380,1.550,0.660,4351,525,24,0,10,0,26,0,4,0,2.380,1.550,0.660,1709850624,3046137856,2854760448,6617317376,0,0,1,2,6,0,0,0,1073737728,0,864,376634,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,161,148,1584,0.500,0,0,0,0,0,0,0,0,0
1770204752.112,0.251,0.126,99.623,0,0,0,0,0,0,0,0,0,0,1709846528,3046137856,2854764544,6617317376,287,334,0,0,0,2.380,1.550,0.660,146,135,2,0,0,0,2,0,2,0,2.380,1.550,0.660,1709846528,3046137856,2854764544,6617317376,0,0,0,0,0,0,0,0,1073737728,0,864,376634,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,2,28,24,0,0,0,0,0,0,0,0,0,0
1770204753.112,0.251,0.377,99.372,0,0,0,0,0,0,0,0,0,0,1710866432,3045117952,2854764544,6616297472,1345,1772,0,0,1,2.380,1.550,0.660,793,539,4,0,0,0,1,0,2,0,2.380,1.550,0.660,1710866432,3045117952,2854764544,6616297472,0,0,1,0,0,0,0,0,1073737728,0,864,376634,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,161,149,31,0,0,0,0,0,0,0,0,0,0
